k,query_id,aspect,n_relevant,sim_pooled,sim_maxcard,ndcg10_pooled,ndcg10_maxcard,recall10_pooled,recall10_maxcard
1,q00000,engineering,3,0.375965,0.375965,0.505128,0.505128,1.0,1.0
1,q00001,logistics,6,0.356636,0.356636,0.692017,0.692017,0.666667,0.666667
1,q00002,legal,4,0.466673,0.466673,0.559009,0.559009,0.75,0.75
1,q00003,marketing,5,0.474333,0.474333,0.989606,0.989606,1.0,1.0
1,q00004,research,3,0.36035,0.36035,0.88546,0.88546,1.0,1.0
1,q00005,legal,4,0.465957,0.465957,0.529436,0.529436,0.5,0.5
1,q00006,engineering,5,0.426785,0.426785,0.932517,0.932517,1.0,1.0
1,q00007,facilities,1,0.577429,0.577429,0.63093,0.63093,1.0,1.0
1,q00008,engineering,2,0.626557,0.626557,0.624051,0.624051,1.0,1.0
1,q00009,research,3,0.404712,0.404712,0.671386,0.671386,0.666667,0.666667
1,q00010,personnel,4,0.48494,0.48494,0.246302,0.246302,0.25,0.25
1,q00011,research,4,0.642602,0.642602,0.715663,0.715663,1.0,1.0
1,q00012,marketing,3,0.312044,0.312044,0.765361,0.765361,0.666667,0.666667
1,q00013,logistics,3,0.666921,0.666921,0.967468,0.967468,1.0,1.0
1,q00014,finance,1,0.539036,0.539036,0.63093,0.63093,1.0,1.0
1,q00015,legal,5,0.54464,0.54464,0.504378,0.504378,0.6,0.6
1,q00016,logistics,6,0.392632,0.392632,0.520532,0.520532,0.5,0.5
1,q00017,personnel,5,0.684759,0.684759,0.932517,0.932517,1.0,1.0
1,q00018,personnel,6,0.572139,0.572139,0.792382,0.792382,0.833333,0.833333
1,q00019,research,3,0.698046,0.698046,0.88546,0.88546,1.0,1.0
1,q00020,research,4,0.616898,0.616898,0.739747,0.739747,1.0,1.0
1,q00021,facilities,5,0.592423,0.592423,0.797405,0.797405,0.8,0.8
1,q00022,personnel,4,0.463613,0.463613,0.520507,0.520507,0.5,0.5
1,q00023,procurement,3,0.433472,0.433472,0.610546,0.610546,0.666667,0.666667
1,q00024,security,6,0.582341,0.582341,0.74091,0.74091,0.666667,0.666667
1,q00025,finance,4,0.486077,0.486077,0.636682,0.636682,0.5,0.5
1,q00026,logistics,3,0.388756,0.388756,0.765361,0.765361,0.666667,0.666667
1,q00027,marketing,2,0.220565,0.220565,0.306574,0.306574,0.5,0.5
1,q00028,engineering,2,0.390474,0.390474,0.919721,0.919721,1.0,1.0
1,q00029,personnel,5,0.576869,0.576869,0.621794,0.621794,0.6,0.6
1,q00030,procurement,2,0.603067,0.603067,0.564092,0.564092,1.0,1.0
1,q00031,facilities,2,0.648663,0.648663,0.806574,0.806574,1.0,1.0
1,q00032,procurement,2,0.242706,0.242706,0.0,0.0,0.0,0.0
1,q00033,marketing,5,0.549747,0.549747,0.884053,0.884053,1.0,1.0
1,q00034,personnel,1,0.644358,0.644358,1.0,1.0,1.0,1.0
1,q00035,engineering,3,0.520448,0.520448,1.0,1.0,1.0,1.0
1,q00036,facilities,6,0.571888,0.571888,0.759305,0.759305,0.833333,0.833333
1,q00037,engineering,5,0.448464,0.448464,0.639945,0.639945,0.6,0.6
1,q00038,personnel,5,0.542161,0.542161,0.704079,0.704079,0.8,0.8
1,q00039,marketing,2,0.389362,0.389362,0.877215,0.877215,1.0,1.0
1,q00040,personnel,4,0.512799,0.512799,0.246302,0.246302,0.25,0.25
1,q00041,facilities,7,0.616709,0.616709,0.684223,0.684223,0.714286,0.714286
1,q00042,marketing,4,0.285786,0.285786,0.666505,0.666505,1.0,1.0
1,q00043,personnel,4,0.539276,0.539276,0.493945,0.493945,0.75,0.75
1,q00044,personnel,4,0.512799,0.512799,0.246302,0.246302,0.25,0.25
1,q00045,marketing,3,0.397089,0.397089,0.431734,0.431734,0.666667,0.666667
1,q00046,research,3,0.488378,0.488378,0.598894,0.598894,1.0,1.0
1,q00047,security,6,0.40141,0.40141,0.534182,0.534182,0.666667,0.666667
1,q00048,personnel,1,0.599538,0.599538,0.5,0.5,1.0,1.0
1,q00049,facilities,6,0.572533,0.572533,0.560152,0.560152,0.666667,0.666667
1,q00050,marketing,3,0.320256,0.320256,0.636439,0.636439,0.666667,0.666667
1,q00051,engineering,4,0.436011,0.436011,0.970929,0.970929,1.0,1.0
1,q00052,facilities,2,0.573436,0.573436,0.81753,0.81753,1.0,1.0
1,q00053,personnel,4,0.539276,0.539276,0.493945,0.493945,0.75,0.75
1,q00054,personnel,1,0.622643,0.622643,0.63093,0.63093,1.0,1.0
1,q00055,procurement,1,0.336035,0.336035,0.333333,0.333333,1.0,1.0
1,q00056,finance,5,0.633603,0.633603,0.868795,0.868795,0.8,0.8
1,q00057,facilities,5,0.572898,0.572898,0.485229,0.485229,0.4,0.4
1,q00058,personnel,4,0.579379,0.579379,0.586877,0.586877,1.0,1.0
1,q00059,marketing,4,0.419115,0.419115,0.944718,0.944718,1.0,1.0
1,q00060,personnel,1,0.644358,0.644358,1.0,1.0,1.0,1.0
1,q00061,logistics,5,0.506213,0.506213,0.761802,0.761802,0.8,0.8
1,q00062,security,3,0.47582,0.47582,0.315201,0.315201,0.666667,0.666667
1,q00063,finance,6,0.535039,0.535039,0.805847,0.805847,0.833333,0.833333
1,q00064,marketing,5,0.474333,0.474333,0.989606,0.989606,1.0,1.0
1,q00065,research,3,0.3723,0.3723,0.817981,0.817981,1.0,1.0
1,q00066,marketing,4,0.335784,0.335784,0.666505,0.666505,1.0,1.0
1,q00067,procurement,6,0.571045,0.571045,0.823389,0.823389,0.833333,0.833333
1,q00068,marketing,3,0.34782,0.34782,0.234639,0.234639,0.333333,0.333333
1,q00069,procurement,4,0.427442,0.427442,0.842142,0.842142,1.0,1.0
1,q00070,engineering,5,0.432864,0.432864,0.480866,0.480866,0.6,0.6
1,q00071,engineering,5,0.578033,0.578033,0.966985,0.966985,1.0,1.0
1,q00072,engineering,2,0.382325,0.382325,0.877215,0.877215,1.0,1.0
1,q00073,security,4,0.437867,0.437867,0.95583,0.95583,1.0,1.0
1,q00074,personnel,4,0.539276,0.539276,0.493945,0.493945,0.75,0.75
1,q00075,personnel,4,0.463613,0.463613,0.520507,0.520507,0.5,0.5
1,q00076,finance,5,0.475789,0.475789,0.684352,0.684352,0.6,0.6
1,q00077,finance,2,0.54752,0.54752,0.501266,0.501266,1.0,1.0
1,q00078,legal,2,0.644259,0.644259,0.831555,0.831555,1.0,1.0
1,q00079,procurement,3,0.375117,0.375117,0.798861,0.798861,1.0,1.0
1,q00080,marketing,4,0.322644,0.322644,0.558508,0.558508,0.5,0.5
1,q00081,finance,6,0.63423,0.63423,0.97403,0.97403,1.0,1.0
1,q00082,security,4,0.39223,0.39223,0.970929,0.970929,1.0,1.0
1,q00083,facilities,3,0.581732,0.581732,0.671386,0.671386,0.666667,0.666667
1,q00084,procurement,4,0.504896,0.504896,0.698415,0.698415,0.75,0.75
1,q00085,personnel,4,0.491939,0.491939,0.168128,0.168128,0.25,0.25
1,q00086,research,3,0.494801,0.494801,0.343374,0.343374,0.666667,0.666667
1,q00087,research,2,0.442277,0.442277,0.204382,0.204382,0.5,0.5
1,q00088,legal,3,0.636842,0.636842,0.860344,0.860344,1.0,1.0
1,q00089,finance,1,0.424808,0.424808,0.289065,0.289065,1.0,1.0
1,q00090,procurement,5,0.415249,0.415249,0.550253,0.550253,0.6,0.6
1,q00091,marketing,4,0.322644,0.322644,0.558508,0.558508,0.5,0.5
1,q00092,research,5,0.719222,0.719222,0.868795,0.868795,0.8,0.8
1,q00093,logistics,1,0.519576,0.519576,0.430677,0.430677,1.0,1.0
1,q00094,finance,5,0.574405,0.574405,0.966834,0.966834,1.0,1.0
1,q00095,security,3,0.530689,0.530689,0.469279,0.469279,0.333333,0.333333
1,q00096,engineering,2,0.442572,0.442572,1.0,1.0,1.0,1.0
1,q00097,personnel,3,0.588313,0.588313,0.666373,0.666373,1.0,1.0
1,q00098,legal,4,0.466673,0.466673,0.559009,0.559009,0.75,0.75
1,q00099,facilities,5,0.563894,0.563894,0.49126,0.49126,0.6,0.6
