query_id,n_relevant,bm25_ndcg10,bm25_recall10,bm25_recall2,bm25_success10,dense-pooled_ndcg10,dense-pooled_recall10,dense-pooled_recall2,dense-pooled_success10,dense-chunk_ndcg10,dense-chunk_recall10,dense-chunk_recall2,dense-chunk_success10,dense-multicard_ndcg10,dense-multicard_recall10,dense-multicard_recall2,dense-multicard_success10,hybrid-rrf_ndcg10,hybrid-rrf_recall10,hybrid-rrf_recall2,hybrid-rrf_success10
query_0,2,1.0,1.0,1.0,1.0,0.613147,0.5,0.5,1.0,0.543771,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_1,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.237198,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_2,2,1.0,1.0,1.0,1.0,0.613147,0.5,0.5,1.0,0.831555,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_3,2,1.0,1.0,1.0,1.0,0.491149,1.0,0.0,1.0,0.306574,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_4,2,1.0,1.0,1.0,1.0,0.204382,0.5,0.0,1.0,0.177239,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_5,2,1.0,1.0,1.0,1.0,0.193426,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_6,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.306574,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_7,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_8,2,1.0,1.0,1.0,1.0,0.613147,0.5,0.5,1.0,0.613147,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_9,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_10,2,1.0,1.0,1.0,1.0,0.386853,0.5,0.5,1.0,0.306574,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_11,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_12,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_13,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.624051,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_14,2,1.0,1.0,1.0,1.0,0.386853,0.5,0.5,1.0,0.831555,1.0,0.5,1.0,0.613147,0.5,0.5,1.0,0.81753,1.0,0.5,1.0
query_15,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_16,2,1.0,1.0,1.0,1.0,0.193426,0.5,0.0,1.0,0.613147,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_17,2,1.0,1.0,1.0,1.0,0.877215,1.0,0.5,1.0,0.919721,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_18,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919721,1.0,0.5,1.0,1.0,1.0,1.0,1.0
query_19,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_20,2,1.0,1.0,1.0,1.0,0.386853,0.5,0.5,1.0,0.613147,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_21,2,1.0,1.0,1.0,1.0,0.877215,1.0,0.5,1.0,0.693426,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
