query_id,n_relevant,bm25_ndcg10,bm25_recall10,bm25_recall100,bm25_success10,bm25_judged10,dense-pooled_ndcg10,dense-pooled_recall10,dense-pooled_recall100,dense-pooled_success10,dense-pooled_judged10,dense-chunk_ndcg10,dense-chunk_recall10,dense-chunk_recall100,dense-chunk_success10,dense-chunk_judged10,dense-multicard-extractive_ndcg10,dense-multicard-extractive_recall10,dense-multicard-extractive_recall100,dense-multicard-extractive_success10,dense-multicard-extractive_judged10,dense-multicard-template_ndcg10,dense-multicard-template_recall10,dense-multicard-template_recall100,dense-multicard-template_success10,dense-multicard-template_judged10,dense-multicard-lossy_ndcg10,dense-multicard-lossy_recall10,dense-multicard-lossy_recall100,dense-multicard-lossy_success10,dense-multicard-lossy_judged10,hybrid-rrf_ndcg10,hybrid-rrf_recall10,hybrid-rrf_recall100,hybrid-rrf_success10,hybrid-rrf_judged10
1,1,0.0,0.0,0.0,0.0,0.0,0.386853,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
5,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2,0.218407,0.5,1.0,1.0,0.1,0.491149,1.0,1.0,1.0,0.2,0.580279,1.0,1.0,1.0,0.2,0.441307,1.0,1.0,1.0,0.2,0.448644,1.0,1.0,1.0,0.2,0.510956,1.0,1.0,1.0,0.2,0.237198,0.5,1.0,1.0,0.1
42,1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
48,1,0.63093,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
49,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
50,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
51,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
