query_id,top_k_alpha_ndcg,top_k_s_recall,top_k_ndcg10,top_k_recall10,top_k_ild,top_k_distractor_rate,mmr_0.7_alpha_ndcg,mmr_0.7_s_recall,mmr_0.7_ndcg10,mmr_0.7_recall10,mmr_0.7_ild,mmr_0.7_distractor_rate,mmr_0.3_alpha_ndcg,mmr_0.3_s_recall,mmr_0.3_ndcg10,mmr_0.3_recall10,mmr_0.3_ild,mmr_0.3_distractor_rate,dpp_alpha_ndcg,dpp_s_recall,dpp_ndcg10,dpp_recall10,dpp_ild,dpp_distractor_rate,cluster_rr_alpha_ndcg,cluster_rr_s_recall,cluster_rr_ndcg10,cluster_rr_recall10,cluster_rr_ild,cluster_rr_distractor_rate,outlier_0.2_alpha_ndcg,outlier_0.2_s_recall,outlier_0.2_ndcg10,outlier_0.2_recall10,outlier_0.2_ild,outlier_0.2_distractor_rate,outlier_0.4_alpha_ndcg,outlier_0.4_s_recall,outlier_0.4_ndcg10,outlier_0.4_recall10,outlier_0.4_ild,outlier_0.4_distractor_rate
q0000,0.72911,0.6,1.0,0.166667,0.265919,0.0,0.789141,0.6,1.0,0.166667,0.286136,0.0,0.855452,0.8,1.0,0.166667,0.297834,0.0,0.722205,0.6,1.0,0.166667,0.310816,0.0,0.759526,0.6,1.0,0.166667,0.273046,0.0,0.799179,0.8,1.0,0.166667,0.269751,0.0,0.86723,1.0,1.0,0.166667,0.286623,0.0
q0001,0.910357,1.0,1.0,0.166667,0.175077,0.0,0.884183,0.8,1.0,0.166667,0.214969,0.0,0.94235,1.0,1.0,0.166667,0.269589,0.0,0.95109,1.0,1.0,0.166667,0.273823,0.0,0.972766,1.0,1.0,0.166667,0.223,0.0,0.852483,0.8,1.0,0.166667,0.181224,0.0,0.873219,0.8,1.0,0.166667,0.213111,0.0
q0002,0.84942,0.8,1.0,0.166667,0.231159,0.0,0.761298,0.6,1.0,0.166667,0.272991,0.0,0.839278,0.8,1.0,0.166667,0.337438,0.0,0.869985,0.8,1.0,0.166667,0.350415,0.0,0.83488,0.8,1.0,0.166667,0.243419,0.0,0.819285,0.8,1.0,0.166667,0.211489,0.0,0.757887,0.6,1.0,0.166667,0.242946,0.0
q0003,0.604168,0.4,1.0,0.166667,0.277678,0.0,0.629477,0.4,1.0,0.166667,0.294127,0.0,0.829984,0.8,1.0,0.166667,0.343236,0.0,0.910363,1.0,1.0,0.166667,0.355179,0.0,0.599176,0.4,1.0,0.166667,0.298563,0.0,0.743079,0.8,1.0,0.166667,0.298537,0.0,0.811345,0.8,1.0,0.166667,0.327163,0.0
q0004,0.567905,0.6,1.0,0.166667,0.159998,0.0,0.585508,0.6,1.0,0.166667,0.176579,0.0,0.819701,0.8,1.0,0.166667,0.254057,0.0,0.852166,0.8,1.0,0.166667,0.261903,0.0,0.751821,0.8,1.0,0.166667,0.198442,0.0,0.567905,0.6,1.0,0.166667,0.183741,0.0,0.660291,0.6,1.0,0.166667,0.22804,0.0
q0005,0.825777,0.8,1.0,0.166667,0.206914,0.0,0.920095,1.0,1.0,0.166667,0.243752,0.0,0.941668,1.0,1.0,0.166667,0.311171,0.0,0.903134,0.8,1.0,0.166667,0.303003,0.0,0.933033,1.0,1.0,0.166667,0.250234,0.0,0.749425,0.6,1.0,0.166667,0.180445,0.0,0.842722,0.8,1.0,0.166667,0.246615,0.0
q0006,0.836908,0.666667,0.936379,0.15,0.167664,0.1,0.948754,1.0,1.0,0.166667,0.28476,0.0,0.875309,0.833333,0.863015,0.133333,0.288044,0.2,0.856349,0.833333,0.866948,0.133333,0.320496,0.2,0.899186,0.833333,1.0,0.166667,0.223653,0.0,0.910572,0.833333,1.0,0.166667,0.178957,0.0,0.907762,0.833333,1.0,0.166667,0.212141,0.0
q0007,0.482532,0.333333,1.0,0.166667,0.272803,0.0,0.499626,0.333333,1.0,0.166667,0.272803,0.0,0.822624,0.666667,1.0,0.166667,0.345869,0.0,0.877634,0.833333,1.0,0.166667,0.36971,0.0,0.468753,0.333333,1.0,0.166667,0.303705,0.0,0.632022,0.666667,1.0,0.166667,0.247111,0.0,0.699843,0.666667,1.0,0.166667,0.24424,0.0
q0008,0.942613,0.8,1.0,0.166667,0.27924,0.0,0.966227,0.8,1.0,0.166667,0.291072,0.0,0.95375,0.8,1.0,0.166667,0.306131,0.0,0.975527,0.8,1.0,0.166667,0.31531,0.0,0.990315,0.8,1.0,0.166667,0.278368,0.0,0.953225,0.8,1.0,0.166667,0.283501,0.0,0.953225,0.8,1.0,0.166667,0.288432,0.0
q0009,0.614124,0.6,1.0,0.166667,0.222785,0.0,0.643184,0.6,1.0,0.166667,0.268548,0.0,0.899432,1.0,1.0,0.166667,0.341587,0.0,0.972766,1.0,1.0,0.166667,0.351066,0.0,0.596971,0.6,1.0,0.166667,0.266062,0.0,0.653677,0.6,1.0,0.166667,0.251919,0.0,0.760591,0.8,1.0,0.166667,0.307307,0.0
q0010,0.685612,0.5,1.0,0.166667,0.341087,0.0,0.791428,0.75,1.0,0.166667,0.38389,0.0,0.94468,1.0,0.936379,0.15,0.41541,0.1,0.891612,1.0,0.905212,0.15,0.425801,0.1,0.928339,1.0,0.930569,0.15,0.400896,0.1,0.685612,0.5,1.0,0.166667,0.374441,0.0,0.768493,0.75,1.0,0.166667,0.371726,0.0
q0011,0.487859,0.4,1.0,0.166667,0.252384,0.0,0.598417,0.4,1.0,0.166667,0.262326,0.0,0.808507,0.8,1.0,0.166667,0.261028,0.0,0.894666,1.0,1.0,0.166667,0.276034,0.0,0.505474,0.4,1.0,0.166667,0.236026,0.0,0.529322,0.4,1.0,0.166667,0.248266,0.0,0.658364,0.6,1.0,0.166667,0.272197,0.0
q0012,0.695945,1.0,0.694765,0.133333,0.242447,0.2,0.725906,1.0,0.706544,0.133333,0.272129,0.2,0.762065,1.0,0.779908,0.15,0.325926,0.1,0.747234,1.0,0.779908,0.15,0.353351,0.1,0.696824,1.0,0.694765,0.133333,0.266661,0.2,0.696824,1.0,0.694765,0.133333,0.257684,0.2,0.594626,0.75,0.694765,0.133333,0.232474,0.2
q0013,0.64691,0.5,0.933746,0.15,0.207428,0.1,0.609158,0.333333,1.0,0.166667,0.233246,0.0,0.780514,0.666667,1.0,0.166667,0.288942,0.0,0.911652,0.833333,1.0,0.166667,0.310446,0.0,0.705297,0.5,1.0,0.166667,0.236064,0.0,0.668778,0.5,1.0,0.166667,0.258565,0.0,0.755725,0.666667,1.0,0.166667,0.245459,0.0
q0014,0.8237,0.833333,1.0,0.166667,0.196605,0.0,0.82171,0.666667,1.0,0.166667,0.216145,0.0,0.8576,0.666667,1.0,0.166667,0.259516,0.0,0.929378,0.833333,1.0,0.166667,0.240631,0.0,0.833148,0.833333,1.0,0.166667,0.227092,0.0,0.710918,0.5,1.0,0.166667,0.225036,0.0,0.833749,0.833333,1.0,0.166667,0.243323,0.0
