task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,judged_covered,judged_coverage_rate,judged_beyond_selection,unsupported_word_rate,output_words,cached
q0000,relevance,machine,5,3,3,0.6,2,0.4,0,0.434783,56,1
q0000,relevance,human,5,3,3,0.6,3,0.6,0,0.387097,49,1
q0000,harvest,machine,5,5,3,0.6,3,0.6,0,0.481481,56,1
q0000,harvest,human,5,5,3,0.6,2,0.4,0,0.36,38,1
q0001,relevance,machine,4,2,2,0.5,2,0.5,0,0.0,110,1
q0001,relevance,human,4,2,1,0.25,2,0.5,0,0.368421,40,1
q0001,harvest,machine,4,2,2,0.5,2,0.5,0,0.4375,88,1
q0001,harvest,human,4,2,1,0.25,1,0.25,0,0.318182,48,1
q0002,relevance,machine,4,1,1,0.25,0,0.0,0,0.529412,109,1
q0002,relevance,human,4,1,1,0.25,1,0.25,0,0.428571,38,1
q0002,harvest,machine,4,3,0,0.0,1,0.25,0,0.076923,61,1
q0002,harvest,human,4,3,0,0.0,1,0.25,0,0.333333,40,1
q0003,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.428571,58,1
q0003,relevance,human,6,2,1,0.166667,2,0.333333,0,0.4,32,1
q0003,harvest,machine,6,5,0,0.0,2,0.333333,0,0.5,91,1
q0003,harvest,human,6,5,0,0.0,2,0.333333,0,0.315789,33,1
q0004,relevance,machine,5,1,1,0.2,1,0.2,0,0.470588,92,1
q0004,relevance,human,5,1,0,0.0,1,0.2,0,0.551724,48,1
q0004,harvest,machine,5,3,0,0.0,0,0.0,0,0.5,73,1
q0004,harvest,human,5,3,0,0.0,0,0.0,0,0.133333,31,1
q0005,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.24,72,1
q0005,relevance,human,6,2,0,0.0,2,0.333333,0,0.157895,41,1
q0005,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.095238,43,1
q0005,harvest,human,6,3,1,0.166667,2,0.333333,0,0.0,35,1
q0006,relevance,machine,5,1,1,0.2,1,0.2,0,0.439024,129,1
q0006,relevance,human,5,1,0,0.0,1,0.2,0,0.470588,63,1
q0006,harvest,machine,5,4,0,0.0,1,0.2,0,0.476923,228,1
q0006,harvest,human,5,4,0,0.0,1,0.2,0,0.296296,55,1
q0007,relevance,machine,6,1,3,0.5,2,0.333333,1,0.142857,124,1
q0007,relevance,human,6,1,1,0.166667,2,0.333333,1,0.416667,45,1
q0007,harvest,machine,6,3,1,0.166667,2,0.333333,1,0.148148,83,1
q0007,harvest,human,6,3,1,0.166667,2,0.333333,1,0.4,53,1
q0008,relevance,machine,4,1,0,0.0,0,0.0,0,0.541667,69,1
q0008,relevance,human,4,1,0,0.0,1,0.25,0,0.62963,45,1
q0008,harvest,machine,4,2,1,0.25,0,0.0,0,0.372549,197,1
q0008,harvest,human,4,2,0,0.0,0,0.0,0,0.447368,54,1
q0009,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.588235,149,1
q0009,relevance,human,6,2,1,0.166667,2,0.333333,0,0.56,55,1
q0009,harvest,machine,6,4,2,0.333333,2,0.333333,0,0.416667,86,1
q0009,harvest,human,6,4,1,0.166667,2,0.333333,0,0.441176,52,1
q0010,relevance,machine,5,2,2,0.4,2,0.4,0,0.344828,101,1
q0010,relevance,human,5,2,2,0.4,2,0.4,0,0.190476,61,1
q0010,harvest,machine,5,3,1,0.2,2,0.4,0,0.142857,65,1
q0010,harvest,human,5,3,2,0.4,2,0.4,0,0.136364,54,1
q0011,relevance,machine,6,2,1,0.166667,2,0.333333,0,0.285714,285,1
q0011,relevance,human,6,2,0,0.0,2,0.333333,0,0.653846,42,1
q0011,harvest,machine,6,3,3,0.5,1,0.166667,0,0.365079,434,1
q0011,harvest,human,6,3,1,0.166667,0,0.0,0,0.4,45,1
q0012,relevance,machine,6,1,0,0.0,1,0.166667,0,0.344828,120,1
q0012,relevance,human,6,1,0,0.0,1,0.166667,0,0.566667,63,1
