task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,judged_covered,judged_coverage_rate,judged_beyond_selection,unsupported_word_rate,output_words,cached
q0000,relevance,machine,5,3,3,0.6,1,0.2,0,0.434783,56,0
q0000,relevance,human,5,3,3,0.6,0,0.0,0,0.387097,49,0
q0000,harvest,machine,5,5,3,0.6,0,0.0,0,0.481481,56,0
q0000,harvest,human,5,5,3,0.6,2,0.4,0,0.36,38,0
q0001,relevance,machine,4,2,2,0.5,2,0.5,0,0.0,110,0
q0001,relevance,human,4,2,1,0.25,2,0.5,0,0.368421,40,0
q0001,harvest,machine,4,2,2,0.5,2,0.5,0,0.4375,88,0
q0001,harvest,human,4,2,1,0.25,0,0.0,0,0.318182,48,0
q0002,relevance,machine,4,1,1,0.25,0,0.0,0,0.529412,109,0
q0002,relevance,human,4,1,1,0.25,1,0.25,0,0.428571,38,0
q0002,harvest,machine,4,3,0,0.0,1,0.25,0,0.076923,61,0
q0002,harvest,human,4,3,0,0.0,1,0.25,0,0.333333,40,0
q0003,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.428571,58,0
q0003,relevance,human,6,2,1,0.166667,2,0.333333,0,0.4,32,0
q0003,harvest,machine,6,5,0,0.0,0,0.0,0,0.5,91,0
q0003,harvest,human,6,5,0,0.0,1,0.166667,0,0.315789,33,0
q0004,relevance,machine,5,1,1,0.2,1,0.2,0,0.470588,92,0
q0004,relevance,human,5,1,0,0.0,2,0.4,1,0.551724,48,0
q0004,harvest,machine,5,3,0,0.0,0,0.0,0,0.5,73,0
q0004,harvest,human,5,3,0,0.0,0,0.0,0,0.133333,31,0
q0005,relevance,machine,6,2,2,0.333333,0,0.0,0,0.24,72,0
q0005,relevance,human,6,2,0,0.0,0,0.0,0,0.157895,41,0
q0005,harvest,machine,6,3,2,0.333333,1,0.166667,0,0.095238,43,0
q0005,harvest,human,6,3,1,0.166667,1,0.166667,0,0.0,35,0
q0006,relevance,machine,5,1,1,0.2,0,0.0,0,0.439024,129,0
q0006,relevance,human,5,1,0,0.0,1,0.2,0,0.470588,63,0
q0006,harvest,machine,5,4,0,0.0,1,0.2,0,0.476923,228,0
q0006,harvest,human,5,4,0,0.0,1,0.2,0,0.296296,55,0
q0007,relevance,machine,6,1,3,0.5,0,0.0,0,0.142857,124,0
q0007,relevance,human,6,1,1,0.166667,0,0.0,0,0.416667,45,0
q0007,harvest,machine,6,3,1,0.166667,2,0.333333,1,0.148148,83,0
q0007,harvest,human,6,3,1,0.166667,1,0.166667,0,0.4,53,0
q0008,relevance,machine,4,1,0,0.0,0,0.0,0,0.541667,69,0
q0008,relevance,human,4,1,0,0.0,0,0.0,0,0.62963,45,0
q0008,harvest,machine,4,2,1,0.25,0,0.0,0,0.372549,197,0
q0008,harvest,human,4,2,0,0.0,0,0.0,0,0.447368,54,0
q0009,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.588235,149,0
q0009,relevance,human,6,2,1,0.166667,1,0.166667,0,0.56,55,0
q0009,harvest,machine,6,4,2,0.333333,0,0.0,0,0.416667,86,0
q0009,harvest,human,6,4,1,0.166667,0,0.0,0,0.441176,52,0
q0010,relevance,machine,5,2,2,0.4,1,0.2,0,0.344828,101,0
q0010,relevance,human,5,2,2,0.4,2,0.4,0,0.190476,61,0
q0010,harvest,machine,5,3,1,0.2,2,0.4,0,0.142857,65,0
q0010,harvest,human,5,3,2,0.4,1,0.2,0,0.136364,54,0
q0011,relevance,machine,6,2,1,0.166667,1,0.166667,0,0.285714,285,0
q0011,relevance,human,6,2,0,0.0,0,0.0,0,0.653846,42,0
q0011,harvest,machine,6,3,3,0.5,1,0.166667,0,0.365079,434,0
q0011,harvest,human,6,3,1,0.166667,0,0.0,0,0.4,45,0
q0012,relevance,machine,6,1,0,0.0,1,0.166667,0,0.344828,120,0
q0012,relevance,human,6,1,0,0.0,0,0.0,0,0.566667,63,0
q0012,harvest,machine,6,4,0,0.0,1,0.166667,0,0.571429,97,0
q0012,harvest,human,6,4,0,0.0,1,0.166667,0,0.421053,46,0
q0013,relevance,machine,6,2,1,0.166667,0,0.0,0,0.424242,87,0
q0013,relevance,human,6,2,1,0.166667,0,0.0,0,0.421053,37,0
q0013,harvest,machine,6,5,1,0.166667,1,0.166667,0,0.0,60,0
q0013,harvest,human,6,5,0,0.0,1,0.166667,0,0.28,38,0
q0014,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.428571,111,0
q0014,relevance,human,6,2,2,0.333333,0,0.0,0,0.181818,58,0
q0014,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.52,50,0
q0014,harvest,human,6,3,2,0.333333,0,0.0,0,0.333333,28,0
q0015,relevance,machine,5,3,4,0.8,1,0.2,0,0.323077,326,0
q0015,relevance,human,5,3,0,0.0,1,0.2,0,0.45098,80,0
q0015,harvest,machine,5,4,2,0.4,2,0.4,0,0.523256,440,0
q0015,harvest,human,5,4,0,0.0,0,0.0,0,0.555556,73,0
q0016,relevance,machine,4,1,1,0.25,0,0.0,0,0.24,61,0
q0016,relevance,human,4,1,0,0.0,0,0.0,0,0.2,36,0
q0016,harvest,machine,4,3,1,0.25,0,0.0,0,0.235294,36,0
q0016,harvest,human,4,3,0,0.0,1,0.25,0,0.375,28,0
q0017,relevance,machine,6,1,0,0.0,1,0.166667,0,0.375,63,0
q0017,relevance,human,6,1,0,0.0,1,0.166667,0,0.764706,60,0
q0017,harvest,machine,6,3,1,0.166667,0,0.0,0,0.304348,67,0
q0017,harvest,human,6,3,0,0.0,1,0.166667,0,0.411765,31,0
q0018,relevance,machine,5,2,1,0.2,2,0.4,0,0.702128,131,0
q0018,relevance,human,5,2,0,0.0,0,0.0,0,0.724138,51,0
q0018,harvest,machine,5,4,1,0.2,0,0.0,0,0.606061,95,0
q0018,harvest,human,5,4,1,0.2,0,0.0,0,0.5,50,0
q0019,relevance,machine,4,2,2,0.5,0,0.0,0,0.5,88,0
q0019,relevance,human,4,2,1,0.25,1,0.25,0,0.47619,35,0
q0019,harvest,machine,4,3,2,0.5,2,0.5,0,0.142857,61,0
q0019,harvest,human,4,3,1,0.25,1,0.25,0,0.363636,37,0
q0020,relevance,machine,4,3,4,1.0,1,0.25,0,0.385714,384,0
q0020,relevance,human,4,3,4,1.0,2,0.5,1,0.153846,59,0
q0020,harvest,machine,4,3,4,1.0,1,0.25,0,0.178571,252,0
q0020,harvest,human,4,3,2,0.5,0,0.0,0,0.469388,68,0
q0021,relevance,machine,6,1,1,0.166667,0,0.0,0,0.071429,136,0
q0021,relevance,human,6,1,1,0.166667,1,0.166667,0,0.366667,58,0
q0021,harvest,machine,6,3,1,0.166667,0,0.0,0,0.137931,88,0
q0021,harvest,human,6,3,1,0.166667,1,0.166667,0,0.214286,64,0
q0022,relevance,machine,5,1,1,0.2,1,0.2,0,0.4375,81,0
q0022,relevance,human,5,1,1,0.2,1,0.2,0,0.346154,50,0
q0022,harvest,machine,5,3,1,0.2,1,0.2,0,0.575,81,0
q0022,harvest,human,5,3,1,0.2,1,0.2,0,0.575758,54,0
q0023,relevance,machine,3,1,1,0.333333,1,0.333333,0,0.0,123,0
q0023,relevance,human,3,1,1,0.333333,1,0.333333,0,0.315789,49,0
q0023,harvest,machine,3,2,1,0.333333,1,0.333333,0,0.208333,92,0
q0023,harvest,human,3,2,1,0.333333,0,0.0,0,0.142857,46,0
q0024,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.368421,115,0
q0024,relevance,human,6,2,1,0.166667,1,0.166667,0,0.25,55,0
q0024,harvest,machine,6,4,1,0.166667,0,0.0,0,0.28125,87,0
q0024,harvest,human,6,4,1,0.166667,1,0.166667,0,0.12,50,0
q0025,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.584906,147,0
q0025,relevance,human,6,1,0,0.0,1,0.166667,0,0.458333,38,0
q0025,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.571429,126,0
q0025,harvest,human,6,3,1,0.166667,1,0.166667,0,0.344828,69,0
q0026,relevance,machine,6,2,2,0.333333,0,0.0,0,0.294118,44,0
q0026,relevance,human,6,2,2,0.333333,0,0.0,0,0.444444,31,0
q0026,harvest,machine,6,4,2,0.333333,2,0.333333,0,0.724138,68,0
q0026,harvest,human,6,4,1,0.166667,2,0.333333,0,0.4,46,0
q0027,relevance,machine,5,1,1,0.2,1,0.2,0,0.538462,102,0
q0027,relevance,human,5,1,1,0.2,1,0.2,0,0.071429,24,0
q0027,harvest,machine,5,2,0,0.0,1,0.2,0,0.548387,51,0
q0027,harvest,human,5,2,0,0.0,1,0.2,0,0.0,18,0
q0028,relevance,machine,6,1,2,0.333333,0,0.0,0,0.25,93,0
q0028,relevance,human,6,1,2,0.333333,0,0.0,0,0.466667,50,0
q0028,harvest,machine,6,3,2,0.333333,0,0.0,0,0.043478,68,0
q0028,harvest,human,6,3,2,0.333333,0,0.0,0,0.230769,61,0
q0029,relevance,machine,5,2,2,0.4,1,0.2,0,0.666667,82,0
q0029,relevance,human,5,2,2,0.4,2,0.4,0,0.529412,30,0
q0029,harvest,machine,5,4,2,0.4,2,0.4,0,0.56,56,0
q0029,harvest,human,5,4,2,0.4,1,0.2,0,0.4375,26,0
q0030,relevance,machine,4,3,0,0.0,1,0.25,0,0.321429,158,0
q0030,relevance,human,4,3,1,0.25,0,0.0,0,0.333333,49,0
q0030,harvest,machine,4,3,2,0.5,0,0.0,0,0.5,122,0
q0030,harvest,human,4,3,3,0.75,2,0.5,0,0.321429,55,0
q0031,relevance,machine,4,3,3,0.75,0,0.0,0,0.666667,81,0
q0031,relevance,human,4,3,0,0.0,1,0.25,0,0.625,42,0
q0031,harvest,machine,4,3,1,0.25,1,0.25,0,0.185185,67,0
q0031,harvest,human,4,3,0,0.0,2,0.5,0,0.484848,46,0
q0032,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.410256,153,0
q0032,relevance,human,6,1,0,0.0,1,0.166667,0,0.607143,52,0
q0032,harvest,machine,6,3,0,0.0,1,0.166667,0,0.466667,98,0
q0032,harvest,human,6,3,0,0.0,1,0.166667,0,0.666667,33,0
q0033,relevance,machine,5,3,3,0.6,0,0.0,0,0.387097,116,0
q0033,relevance,human,5,3,2,0.4,1,0.2,0,0.391304,34,0
q0033,harvest,machine,5,4,3,0.6,1,0.2,0,0.444444,98,0
q0033,harvest,human,5,4,3,0.6,1,0.2,0,0.157895,42,0
q0034,relevance,machine,4,1,1,0.25,1,0.25,0,0.413793,70,0
q0034,relevance,human,4,1,1,0.25,1,0.25,0,0.392857,59,0
q0034,harvest,machine,4,4,1,0.25,1,0.25,0,0.210526,60,0
q0034,harvest,human,4,4,1,0.25,1,0.25,0,0.5,35,0
q0035,relevance,machine,5,1,1,0.2,1,0.2,0,0.536585,124,0
q0035,relevance,human,5,1,0,0.0,1,0.2,0,0.333333,49,0
q0035,harvest,machine,5,3,1,0.2,0,0.0,0,0.4375,77,0
q0035,harvest,human,5,3,1,0.2,1,0.2,0,0.142857,40,0
q0036,relevance,machine,4,1,1,0.25,1,0.25,0,0.357143,68,0
q0036,relevance,human,4,1,1,0.25,1,0.25,0,0.32,43,0
q0036,harvest,machine,4,3,1,0.25,1,0.25,0,0.35,45,0
q0036,harvest,human,4,3,0,0.0,0,0.0,0,0.403846,73,0
q0037,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.6,89,0
q0037,relevance,human,6,2,2,0.333333,2,0.333333,0,0.48,58,0
q0037,harvest,machine,6,4,1,0.166667,2,0.333333,0,0.516129,73,0
q0037,harvest,human,6,4,2,0.333333,2,0.333333,0,0.315789,36,0
q0038,relevance,machine,6,2,2,0.333333,0,0.0,0,0.5,117,0
q0038,relevance,human,6,2,0,0.0,2,0.333333,0,0.566667,46,0
q0038,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.136364,78,0
q0038,harvest,human,6,3,1,0.166667,2,0.333333,0,0.3,46,0
q0039,relevance,machine,5,2,2,0.4,0,0.0,0,0.56,128,0
q0039,relevance,human,5,2,0,0.0,1,0.2,0,0.707317,59,0
q0039,harvest,machine,5,3,0,0.0,1,0.2,0,0.609756,86,0
q0039,harvest,human,5,3,1,0.2,0,0.0,0,0.333333,45,0
q0040,relevance,machine,3,1,1,0.333333,1,0.333333,0,0.321429,59,0
q0040,relevance,human,3,1,0,0.0,0,0.0,0,0.333333,29,0
q0040,harvest,machine,3,3,0,0.0,0,0.0,0,0.48,56,0
q0040,harvest,human,3,3,0,0.0,1,0.333333,0,0.259259,44,0
q0041,relevance,machine,6,2,1,0.166667,1,0.166667,0,0.230769,66,0
q0041,relevance,human,6,2,1,0.166667,1,0.166667,0,0.333333,61,0
q0041,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.451613,76,0
q0041,harvest,human,6,3,1,0.166667,0,0.0,0,0.409091,44,0
q0042,relevance,machine,6,3,2,0.333333,1,0.166667,0,0.296296,74,0
q0042,relevance,human,6,3,2,0.333333,1,0.166667,0,0.210526,42,0
q0042,harvest,machine,6,4,2,0.333333,0,0.0,0,0.269231,60,0
q0042,harvest,human,6,4,2,0.333333,1,0.166667,0,0.111111,39,0
q0043,relevance,machine,4,2,2,0.5,2,0.5,0,0.365079,412,0
