task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,unsupported_word_rate,output_words,cached
q0000,relevance,machine,5,3,5,1.0,0.222222,48,0
q0000,relevance,human,5,3,5,1.0,0.433333,52,0
q0000,harvest,machine,5,5,5,1.0,0.35,34,0
q0000,harvest,human,5,5,5,1.0,0.444444,43,0
q0001,relevance,machine,4,2,3,0.75,0.26087,50,0
q0001,relevance,human,4,2,3,0.75,0.409091,43,0
q0001,harvest,machine,4,2,3,0.75,0.384615,60,0
q0001,harvest,human,4,2,3,0.75,0.363636,48,0
q0002,relevance,machine,4,1,1,0.25,0.333333,55,0
q0002,relevance,human,4,1,1,0.25,0.428571,44,0
q0002,harvest,machine,4,3,1,0.25,0.567568,76,0
q0002,harvest,human,4,3,1,0.25,0.590909,46,0
q0003,relevance,machine,6,2,4,0.666667,0.37037,55,0
q0003,relevance,human,6,2,4,0.666667,0.380952,47,0
q0003,harvest,machine,6,5,2,0.333333,0.375,54,0
q0003,harvest,human,6,5,2,0.333333,0.545455,40,0
q0004,relevance,machine,5,1,3,0.6,0.238095,59,0
q0004,relevance,human,5,1,1,0.2,0.571429,49,0
q0004,harvest,machine,5,3,2,0.4,0.238095,68,0
q0004,harvest,human,5,3,2,0.4,0.133333,31,0
q0005,relevance,machine,6,2,6,1.0,0.321429,66,0
q0005,relevance,human,6,2,6,1.0,0.15,46,0
q0005,harvest,machine,6,3,6,1.0,0.1,43,0
q0005,harvest,human,6,3,6,1.0,0.052632,37,0
