qid,qtype,arm,turn_r5,turn_r10,turn_ndcg10,sess_r5
e47becba,single-session-user,turn,0.5,0.5,0.2640681225725909,1.0
e47becba,single-session-user,sentence,1.0,1.0,1.0,1.0
e47becba,single-session-user,cards_hand,1.0,1.0,1.0,1.0
e47becba,single-session-user,pos_hand,1.0,1.0,1.0,1.0
e47becba,single-session-user,cards_m11,1.0,1.0,1.0,1.0
e47becba,single-session-user,pos_m11,1.0,1.0,1.0,1.0
e47becba,single-session-user,cards_m13,1.0,1.0,1.0,1.0
e47becba,single-session-user,pos_m13,1.0,1.0,1.0,1.0
e47becba,single-session-user,cards_m17,1.0,1.0,1.0,1.0
e47becba,single-session-user,pos_m17,1.0,1.0,1.0,1.0
e47becba,single-session-user,bm25_turn,0.5,0.5,0.3065735963827292,1.0
e47becba,single-session-user,bm25_cards_hand,0.5,1.0,0.45560514958746035,1.0
e47becba,single-session-user,rrf_turn,0.5,0.5,0.6131471927654584,1.0
e47becba,single-session-user,rrf_sentence,1.0,1.0,0.8772153153380493,1.0
e47becba,single-session-user,rrf_cards_hand,1.0,1.0,1.0,1.0
e47becba,single-session-user,rrf_cards_m11,1.0,1.0,0.8772153153380493,1.0
e47becba,single-session-user,rrf_cards_m13,1.0,1.0,0.8772153153380493,1.0
e47becba,single-session-user,rrf_cards_m17,1.0,1.0,0.8772153153380493,1.0
e47becba,single-session-user,rrf_turn_route,0.5,0.5,0.6131471927654584,1.0
e47becba,single-session-user,dense_session_mean,,,,0.0
e47becba,single-session-user,bm25_session,,,,1.0
118b2229,single-session-user,turn,1.0,1.0,0.5,1.0
118b2229,single-session-user,sentence,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,cards_hand,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,pos_hand,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,cards_m11,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,pos_m11,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,cards_m13,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,pos_m13,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,cards_m17,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,pos_m17,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,bm25_turn,1.0,1.0,0.5,1.0
118b2229,single-session-user,bm25_cards_hand,1.0,1.0,0.5,1.0
118b2229,single-session-user,rrf_turn,1.0,1.0,0.5,1.0
118b2229,single-session-user,rrf_sentence,1.0,1.0,0.5,1.0
118b2229,single-session-user,rrf_cards_hand,1.0,1.0,0.5,1.0
118b2229,single-session-user,rrf_cards_m11,1.0,1.0,0.43067655807339306,1.0
118b2229,single-session-user,rrf_cards_m13,1.0,1.0,0.5,1.0
