query_id,pool,n_relevant,L2_generic,L4_corpus,L5_full,L0_pooled,L1_chunks
q00000,security,18,0.073364,0.0,0.202483,0.0,0.173667
q00001,procurement,27,0.567043,0.790951,0.428365,0.29849,0.624232
q00002,legal,26,0.469,1.0,1.0,0.224663,0.930569
q00003,legal,25,0.444853,0.563788,0.532621,0.066254,0.381134
q00004,procurement,26,0.220092,0.439389,0.551785,0.399569,0.154574
q00005,procurement,29,0.68045,0.29849,0.378599,0.358954,0.498572
q00006,procurement,21,0.138862,0.718363,0.791727,0.249664,0.718342
q00007,security,33,0.444097,1.0,0.425208,0.608297,0.650033
q00008,procurement,23,0.0,0.432318,0.268455,0.330138,0.195189
q00009,legal,31,0.930569,1.0,1.0,0.750637,1.0
q00010,security,31,0.647054,1.0,0.921602,0.558076,0.936379
q00011,security,24,0.522496,0.800694,0.756448,0.503607,0.778807
q00012,security,30,0.085143,0.358954,0.860382,0.0,0.357076
q00013,security,26,0.353881,0.777872,0.383633,0.274265,0.620397
q00014,legal,19,0.399569,0.936379,0.930569,0.248908,0.866948
q00015,legal,27,0.617764,0.791727,0.936379,0.544676,0.742125
q00016,security,24,0.574337,0.936379,0.700773,0.467122,0.775337
q00017,security,31,0.278198,0.775239,0.580148,0.0,0.29849
q00018,procurement,28,0.535254,0.678049,0.870125,0.358954,0.643121
q00019,legal,27,0.746705,1.0,1.0,0.477967,0.857205
q00020,legal,24,0.542364,0.271914,0.268737,0.221193,0.52521
q00021,procurement,22,0.353881,0.605985,0.415281,0.330138,0.384594
q00022,security,23,0.253295,0.066254,0.358954,0.0,0.637152
q00023,legal,27,0.617764,0.791727,0.936379,0.544676,0.742125
q00024,security,31,0.701973,0.800694,0.930569,0.605985,0.855348
q00025,legal,38,0.742125,0.926636,0.866948,0.627409,0.689829
q00026,security,27,0.701973,0.914857,0.407415,0.168152,0.642187
q00027,security,33,0.444097,1.0,0.425208,0.608297,0.650033
q00028,legal,38,0.742125,0.926636,0.866948,0.627409,0.689829
q00029,legal,24,0.863015,1.0,0.933746,0.416382,0.866948
q00030,security,31,0.654722,1.0,0.921602,0.588467,0.921602
q00031,security,33,0.444097,1.0,0.425208,0.608297,0.650033
q00032,legal,24,0.796761,0.860382,0.933746,0.233651,0.779908
q00033,procurement,24,0.205117,0.800694,0.393278,0.293456,0.517363
q00034,procurement,29,0.358954,0.286346,0.0,0.0,0.358954
q00035,procurement,27,0.567043,0.790951,0.428365,0.29849,0.624232
