query_id,pool,n_relevant,T_A,T_B,workload
q00000,security,18,0.202483,0.0,A
q00001,procurement,27,0.428365,0.408536,A
q00002,legal,26,1.0,0.617764,A
q00003,legal,25,0.532621,0.582939,A
q00004,procurement,26,0.551785,0.0,A
q00005,procurement,29,0.378599,0.208294,A
q00006,procurement,21,0.791727,0.495939,A
q00007,security,33,0.425208,0.602506,A
q00008,procurement,23,0.268455,0.613653,A
q00009,legal,31,1.0,0.855348,A
q00010,security,31,0.921602,0.800694,A
q00011,security,24,0.756448,1.0,A
q00012,security,30,0.860382,1.0,A
q00013,security,26,0.383633,0.63322,A
q00014,legal,19,0.930569,0.647336,A
q00015,legal,27,0.936379,0.72733,A
q00016,security,24,0.700773,1.0,A
q00017,security,31,0.580148,0.719118,A
q00018,procurement,28,0.870125,0.217261,A
q00019,legal,27,1.0,0.690648,A
q00020,legal,24,0.268737,0.510716,A
q00021,procurement,22,0.415281,0.630043,A
q00022,security,23,0.358954,0.648932,A
q00023,legal,27,0.936379,0.72733,A
q00024,security,31,0.930569,0.811556,A
q00025,legal,38,0.866948,0.870125,A
q00026,security,27,0.407415,1.0,A
q00027,security,33,0.425208,0.602506,A
q00028,legal,38,0.866948,0.870125,A
q00029,legal,24,0.933746,0.777872,A
q00030,security,31,0.921602,0.705905,A
q00031,security,33,0.425208,0.602506,A
q00032,legal,24,0.933746,0.680905,A
q00033,procurement,24,0.393278,0.542364,A
q00034,procurement,29,0.0,0.0,A
q00035,procurement,27,0.428365,0.408536,A
q00036,legal,27,0.930569,0.750336,A
q00037,procurement,17,0.0,0.204834,A
q00038,legal,22,0.933746,0.674936,A
q00039,legal,24,0.268737,0.510716,A
q00040,security,19,0.503324,0.602052,A
q00041,security,33,0.35971,0.510069,A
q00042,procurement,23,0.35971,0.428385,A
q00043,procurement,27,0.444097,0.72733,A
q00044,security,30,0.926636,1.0,A
q00045,security,30,0.926636,1.0,A
q00046,procurement,32,0.926636,0.547398,A
q00047,legal,24,0.863015,0.711618,A
q00048,legal,27,1.0,0.870125,A
q00049,security,31,0.611795,0.722295,A
q00050,legal,25,0.517363,0.677273,A
q00051,procurement,22,0.094788,0.422575,A
q00052,security,22,0.220092,0.722295,A
q00053,security,18,0.202483,0.0,A
q00054,security,18,0.202483,0.0,A
q00055,legal,25,0.930569,0.750336,A
q00056,procurement,24,0.393278,0.542364,A
q00057,security,27,0.450566,1.0,A
q00058,legal,27,0.930569,0.750336,A
q00059,legal,26,1.0,0.617764,A
q00060,legal,32,1.0,0.933746,A
q00061,legal,24,0.851236,0.422095,A
q00062,legal,31,1.0,0.863015,A
q00063,legal,24,0.453743,0.4819,A
q00064,procurement,27,0.428365,0.408536,A
q00065,legal,26,1.0,0.547398,A
q00066,legal,24,0.247031,0.456997,A
q00067,procurement,27,0.444097,0.72733,A
q00068,legal,31,0.596498,0.220092,A
q00069,legal,19,0.930569,0.647336,A
q00070,procurement,29,0.432318,0.538431,A
q00071,security,31,0.580148,0.719118,A
q00072,procurement,23,0.289523,0.507718,A
q00073,procurement,29,0.069431,0.179477,A
q00074,security,19,0.396392,0.611795,A
q00075,legal,27,1.0,0.690648,A
q00076,security,24,0.700773,1.0,A
q00077,procurement,29,0.905212,0.227938,A
q00078,procurement,28,0.870125,0.217261,A
q00079,procurement,28,0.72733,0.220092,A
q00080,legal,38,0.905212,0.933746,A
q00081,security,23,0.498572,0.790951,A
q00082,procurement,27,0.428365,0.408536,A
q00083,security,19,0.396392,0.611795,A
q00084,security,33,0.094788,0.347629,A
q00085,procurement,29,0.905212,0.227938,A
q00086,legal,22,0.933746,0.674936,A
q00087,procurement,23,0.0,0.0,A
q00088,security,22,0.681681,0.936379,A
q00089,security,19,0.503324,0.602052,A
q00090,procurement,27,0.078398,0.073364,A
q00091,security,18,0.202483,0.0,A
q00092,security,18,0.388244,0.138862,A
q00093,security,26,0.358954,0.637152,A
q00094,legal,24,0.933746,0.777872,A
q00095,procurement,32,0.926636,0.532141,A
q00096,security,33,0.374666,0.495459,A
q00097,legal,25,0.363341,0.469,A
q00098,security,19,0.503324,0.602052,A
q00099,legal,28,0.791727,0.775337,A
q00100,legal,27,0.785916,0.690648,A
q00101,legal,25,0.517363,0.677273,A
q00102,procurement,23,0.283713,0.469,A
q00103,security,31,0.930569,0.811556,A
q00104,legal,26,1.0,0.547398,A
q00105,security,27,0.450566,1.0,A
q00106,procurement,29,0.0,0.334051,A
q00107,procurement,29,0.378599,0.208294,A
q00108,legal,25,0.930569,0.750336,A
q00109,procurement,32,1.0,0.429141,A
q00110,security,24,0.700773,1.0,A
q00111,procurement,26,0.930569,0.358954,A
q00112,procurement,21,0.791727,0.495939,A
q00113,security,18,0.388244,0.138862,A
q00114,security,23,0.358954,0.648932,A
q00115,legal,31,1.0,0.863015,A
q00116,procurement,29,0.069431,0.179477,A
q00117,procurement,29,0.358954,0.138862,A
q00118,legal,28,0.791727,0.775337,A
q00119,procurement,23,0.283713,0.469,A
q00120,procurement,29,0.069431,0.179477,A
q00121,procurement,17,0.0,0.378599,A
q00122,procurement,21,0.715186,0.437352,A
q00123,legal,25,1.0,0.930569,A
q00124,legal,38,0.866948,0.870125,A
q00125,legal,25,0.517363,0.677273,A
q00126,procurement,21,0.791727,0.495939,A
q00127,procurement,22,0.415281,0.630043,A
q00128,security,31,0.693663,0.8237,A
q00129,legal,32,1.0,0.836459,A
q00130,legal,19,0.930569,0.647336,A
q00131,legal,28,0.772062,0.652088,A
q00132,procurement,29,0.358954,0.138862,A
q00133,security,18,0.388244,0.138862,A
q00134,security,42,0.627409,0.860382,A
q00135,legal,32,0.933746,0.914857,A
q00136,procurement,23,0.35971,0.428385,A
q00137,security,33,0.425208,0.602506,A
q00138,security,31,0.930569,0.811556,A
q00139,security,30,0.860382,1.0,A
q00140,procurement,27,0.428365,0.408536,A
q00141,security,23,0.492006,0.712552,A
q00142,security,42,0.627409,0.860382,A
q00143,security,31,0.921602,0.705905,A
q00144,security,31,0.611795,0.722295,A
q00145,procurement,24,0.393278,0.542364,A
q00146,security,19,0.503324,0.602052,A
q00147,procurement,22,0.415281,0.630043,A
q00148,legal,19,0.866948,0.696938,A
q00149,security,31,0.693663,0.8237,A
q00000,engineering,26,1.0,1.0,B
q00001,facilities,25,0.781805,1.0,B
q00002,logistics,25,0.538431,0.205117,B
q00003,logistics,20,0.510069,0.581082,B
q00004,facilities,23,0.554143,0.703407,B
q00005,facilities,36,1.0,1.0,B
q00006,facilities,21,0.425208,0.147829,B
q00007,engineering,35,1.0,1.0,B
q00008,facilities,29,0.864315,1.0,B
q00009,logistics,31,0.38317,0.094788,B
q00010,engineering,31,1.0,1.0,B
q00011,engineering,21,0.848603,0.889954,B
q00012,engineering,22,1.0,1.0,B
q00013,engineering,35,1.0,1.0,B
q00014,logistics,33,0.422095,0.327307,B
q00015,logistics,20,0.765593,0.696162,B
q00016,engineering,21,1.0,0.930569,B
q00017,engineering,29,1.0,0.930569,B
q00018,facilities,27,1.0,1.0,B
