query_id,pool,n_relevant,random,relevance,stratified,corpus,minority
q00000,marketing,17,0.358954,0.138862,0.283713,skewed,1
q00001,finance,82,1.0,1.0,1.0,skewed,0
q00002,engineering,32,1.0,1.0,1.0,skewed,0
q00003,procurement,4,0.60962,0.636682,0.441492,skewed,1
q00004,facilities,10,0.930569,0.777872,0.936379,skewed,1
q00005,legal,127,1.0,1.0,1.0,skewed,0
q00006,marketing,15,0.220092,0.429141,0.41245,skewed,1
q00007,engineering,42,1.0,1.0,1.0,skewed,0
q00008,facilities,13,1.0,0.800694,1.0,skewed,1
q00009,engineering,43,1.0,1.0,1.0,skewed,0
q00010,legal,111,1.0,1.0,1.0,skewed,0
q00011,legal,106,1.0,1.0,1.0,skewed,0
q00012,finance,84,1.0,1.0,1.0,skewed,0
q00013,engineering,47,1.0,1.0,1.0,skewed,0
q00014,facilities,11,1.0,0.696938,0.936379,skewed,1
q00015,procurement,2,0.806574,0.613147,0.613147,skewed,1
q00016,personnel,27,0.681206,0.785916,0.870125,skewed,0
q00017,logistics,102,1.0,1.0,1.0,skewed,0
q00018,logistics,103,1.0,1.0,1.0,skewed,0
q00019,legal,117,1.0,1.0,1.0,skewed,0
q00020,research,8,0.412532,0.252943,0.252943,skewed,1
q00021,engineering,42,1.0,1.0,1.0,skewed,0
q00022,engineering,40,1.0,1.0,1.0,skewed,0
q00023,finance,67,1.0,0.778807,1.0,skewed,0
q00024,personnel,39,0.861138,1.0,1.0,skewed,0
q00025,procurement,1,0.0,1.0,1.0,skewed,1
q00026,marketing,15,0.0,0.0,0.0,skewed,1
q00027,marketing,16,0.793584,0.331694,0.31488,skewed,1
q00028,marketing,15,0.654722,0.44174,0.343697,skewed,1
q00029,logistics,103,1.0,1.0,1.0,skewed,0
q00030,finance,72,1.0,1.0,1.0,skewed,0
q00031,engineering,43,0.870125,1.0,1.0,skewed,0
q00032,logistics,114,1.0,1.0,1.0,skewed,0
q00033,marketing,15,0.654722,0.44174,0.343697,skewed,1
q00034,personnel,47,1.0,0.796761,1.0,skewed,0
q00035,personnel,27,0.863015,0.637152,1.0,skewed,0
q00036,research,8,0.684798,0.73804,0.793212,skewed,1
q00037,finance,79,1.0,1.0,1.0,skewed,0
q00038,logistics,93,0.936379,0.933746,0.870125,skewed,0
q00039,security,2,1.0,0.613147,0.0,skewed,1
q00040,logistics,93,1.0,1.0,1.0,skewed,0
q00041,finance,72,0.933746,0.721802,0.936379,skewed,0
q00042,finance,84,1.0,1.0,0.936379,skewed,0
q00043,security,2,0.613147,0.386853,0.0,skewed,1
q00044,legal,131,0.921602,0.826813,0.921602,skewed,0
q00045,facilities,11,0.72733,0.498572,0.374666,skewed,1
q00046,legal,127,1.0,1.0,1.0,skewed,0
q00047,research,7,0.476005,0.692079,0.672456,skewed,1
q00048,research,6,0.493523,0.432926,0.151301,skewed,1
q00049,procurement,1,1.0,1.0,1.0,skewed,1
q00050,security,3,0.852928,0.812653,0.584788,skewed,1
q00051,security,6,0.983805,1.0,0.849359,skewed,1
q00052,marketing,26,0.784617,0.72733,0.852171,skewed,1
q00053,research,6,0.657778,0.453904,0.493523,skewed,1
q00054,facilities,10,0.870125,0.866948,0.796761,skewed,1
q00055,procurement,1,1.0,1.0,1.0,skewed,1
q00056,research,6,0.302602,0.853481,0.650232,skewed,1
q00057,research,12,0.870125,0.577425,0.656303,skewed,1
q00058,finance,72,1.0,1.0,1.0,skewed,0
q00059,procurement,1,0.0,1.0,1.0,skewed,1
q00060,logistics,101,0.686715,0.778807,0.72733,skewed,0
q00061,procurement,1,0.0,1.0,1.0,skewed,1
q00062,marketing,17,0.358954,0.063621,0.283713,skewed,1
q00063,engineering,43,1.0,1.0,1.0,skewed,0
q00064,security,4,1.0,0.831872,0.831872,skewed,1
q00065,security,5,0.544193,0.539297,0.87529,skewed,1
q00066,facilities,12,0.933746,0.936379,0.936379,skewed,1
q00067,legal,105,0.654722,0.652864,0.724153,skewed,0
q00068,security,3,0.703918,0.625705,0.296082,skewed,1
q00069,engineering,52,1.0,1.0,1.0,skewed,0
q00070,procurement,4,0.60962,0.636682,0.441492,skewed,1
