workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,legal,16,0.698796,0.57369
A,q00001,security,19,0.305235,0.358954
A,q00002,legal,15,0.372591,0.271088
A,q00003,security,12,0.715186,0.581082
A,q00004,legal,14,0.312049,0.538886
A,q00005,procurement,14,0.393278,0.642187
A,q00006,security,28,1.0,0.796761
A,q00007,legal,20,0.926636,0.841493
A,q00008,security,19,0.627507,0.614107
A,q00009,procurement,18,0.0,0.0
A,q00010,procurement,20,0.358954,0.563788
A,q00011,legal,20,0.870125,0.790951
A,q00012,security,12,0.563788,0.542364
A,q00013,procurement,17,0.42884,0.31488
A,q00014,procurement,17,0.469756,0.353144
A,q00015,procurement,14,0.425208,0.563788
A,q00016,security,18,0.371489,0.110046
A,q00017,security,13,0.393758,0.355777
A,q00018,legal,18,0.693761,0.526428
A,q00019,procurement,17,0.548333,0.517461
A,q00020,procurement,20,0.0,0.289523
A,q00021,security,18,0.31488,0.220092
A,q00022,legal,14,0.567043,0.61683
A,q00023,procurement,16,0.330138,0.29849
A,q00024,legal,20,0.860382,0.538431
A,q00025,procurement,11,0.0,0.415281
A,q00026,security,18,0.393278,0.220092
A,q00027,legal,18,0.563788,0.305235
A,q00028,procurement,18,0.563788,0.469
A,q00029,legal,20,0.711618,0.706584
A,q00030,procurement,16,0.305235,0.283713
A,q00031,security,28,0.936379,0.630043
A,q00032,security,18,0.384311,0.283713
A,q00033,procurement,18,0.542364,0.778807
A,q00034,procurement,16,0.253295,0.0
A,q00035,legal,9,0.845519,0.58459
A,q00036,security,28,0.936379,0.630043
A,q00037,security,19,0.358954,0.453743
A,q00038,procurement,11,0.0,0.453743
A,q00039,security,13,0.393758,0.355777
A,q00040,procurement,20,0.138862,0.408536
A,q00041,legal,20,0.870125,0.790951
A,q00042,security,17,0.220092,0.151762
A,q00043,legal,9,0.850896,0.740898
A,q00044,legal,20,0.863015,0.800694
A,q00045,procurement,18,0.58875,0.648932
A,q00046,legal,20,0.863015,0.800694
A,q00047,procurement,11,0.069431,0.220092
A,q00048,security,19,0.358954,0.453743
A,q00049,legal,20,0.778807,0.785916
A,q00050,security,18,0.31488,0.220092
A,q00051,procurement,17,0.469756,0.353144
A,q00052,legal,10,0.535254,0.330138
A,q00053,legal,14,0.312049,0.538886
A,q00054,procurement,20,0.358954,0.532141
A,q00055,procurement,16,0.358954,0.283713
A,q00056,security,18,0.371489,0.110046
A,q00057,legal,15,0.708441,0.49464
A,q00058,procurement,16,0.428385,0.0
A,q00059,procurement,18,0.554143,0.432318
A,q00060,legal,20,0.870125,0.930569
A,q00061,procurement,11,0.138862,0.469
A,q00062,procurement,16,0.330138,0.29849
A,q00063,security,12,0.563788,0.542364
A,q00064,legal,27,0.785916,0.930569
A,q00065,security,12,0.563788,0.542364
A,q00066,procurement,14,0.303082,0.453743
A,q00067,legal,10,0.425208,0.31488
A,q00068,procurement,18,0.563788,0.469
A,q00069,security,17,0.220092,0.094788
A,q00070,procurement,16,0.330138,0.29849
A,q00071,procurement,17,0.41245,0.637152
A,q00072,security,12,0.611795,0.330138
A,q00073,procurement,20,0.358954,0.563788
A,q00074,security,24,0.705905,0.765593
A,q00075,procurement,16,0.428385,0.0
A,q00076,procurement,18,0.542364,0.778807
A,q00077,legal,13,0.598875,0.195189
A,q00078,legal,15,0.866948,0.49829
A,q00079,legal,14,0.539187,0.596538
A,q00080,security,13,0.393758,0.355777
A,q00081,legal,20,0.870125,0.930569
A,q00082,legal,27,0.785916,0.930569
A,q00083,procurement,18,0.0,0.0
A,q00084,legal,20,0.926636,0.800694
A,q00085,security,18,0.330138,0.220092
A,q00086,legal,20,0.860382,0.538431
A,q00087,procurement,11,0.0,0.29849
A,q00088,security,19,0.305235,0.358954
A,q00089,procurement,20,0.0,0.220092
A,q00090,security,24,0.705905,0.765593
A,q00091,security,19,0.563788,0.60514
A,q00092,procurement,20,0.358954,0.532141
A,q00093,security,13,0.393758,0.355777
A,q00094,procurement,18,0.542364,0.778807
A,q00095,security,9,0.101229,0.117523
A,q00096,security,13,0.620397,0.642187
A,q00097,legal,20,0.778807,0.785916
A,q00098,legal,15,0.708441,0.49464
A,q00099,security,18,0.330138,0.220092
A,q00100,security,28,0.936379,0.630043
A,q00101,legal,20,0.933746,0.863015
A,q00102,legal,14,0.567043,0.61683
A,q00103,procurement,16,0.253295,0.0
A,q00104,legal,18,0.563788,0.305235
A,q00105,security,13,0.519997,0.637152
A,q00106,procurement,11,0.069431,0.220092
A,q00107,legal,13,0.648932,0.233651
A,q00108,legal,13,0.722295,0.488829
A,q00109,security,28,0.936379,0.857981
A,q00110,legal,20,0.926636,0.800694
A,q00111,procurement,16,0.358954,0.283713
A,q00112,security,22,0.648932,0.138862
A,q00113,legal,20,0.863015,0.800694
A,q00114,procurement,14,0.208294,0.493679
A,q00115,security,12,0.715186,0.581082
A,q00116,procurement,17,0.49829,0.648932
A,q00117,procurement,18,0.563788,0.469
A,q00118,security,12,0.715186,0.581082
A,q00119,security,17,0.841591,0.549434
A,q00120,legal,27,0.785916,0.930569
A,q00121,procurement,18,0.542364,0.778807
A,q00122,legal,13,0.722295,0.488829
A,q00123,procurement,16,0.073364,0.0
A,q00124,legal,15,0.588467,0.358954
A,q00125,legal,16,0.836459,0.653147
A,q00126,security,13,0.358954,0.224006
A,q00127,security,12,0.532621,0.0
A,q00128,security,13,0.519997,0.637152
A,q00129,legal,10,0.535254,0.330138
A,q00130,legal,13,0.598875,0.195189
A,q00131,security,22,0.648932,0.138862
A,q00132,procurement,14,0.393278,0.642187
A,q00133,security,19,0.358954,0.453743
A,q00134,procurement,11,0.0,0.453743
A,q00135,security,19,0.637152,0.650513
A,q00136,procurement,20,0.358954,0.563788
A,q00137,security,12,0.613653,0.069431
A,q00138,procurement,16,0.358954,0.283713
A,q00139,legal,16,0.836459,0.653147
A,q00140,security,17,0.220092,0.173187
A,q00141,legal,20,0.778807,0.785916
A,q00142,security,18,0.384311,0.283713
A,q00143,security,18,0.371489,0.110046
A,q00144,legal,20,0.933746,0.863015
A,q00145,legal,16,0.836459,0.653147
A,q00146,security,28,1.0,0.796761
A,q00147,security,28,0.936379,0.630043
A,q00148,procurement,16,0.453743,0.220092
A,q00149,security,17,0.220092,0.151762
A,q00150,security,18,0.384311,0.283713
A,q00151,procurement,16,0.253295,0.0
A,q00152,legal,20,0.930569,1.0
A,q00153,security,13,0.620397,0.642187
A,q00154,security,13,0.620397,0.642187
A,q00155,procurement,17,0.469756,0.353144
A,q00156,security,12,0.423331,0.0
A,q00157,legal,20,0.870125,0.930569
A,q00158,security,24,0.722295,0.742125
A,q00159,procurement,13,0.563788,0.358954
A,q00160,procurement,17,0.548333,0.517461
A,q00161,procurement,17,0.41245,0.637152
A,q00162,legal,15,0.496676,0.491526
A,q00163,security,24,0.777872,0.836459
A,q00164,legal,20,0.933746,0.863015
A,q00165,legal,20,0.926636,0.841493
A,q00166,legal,15,0.372591,0.271088
A,q00167,security,17,0.330138,0.391703
A,q00168,security,12,0.611795,0.330138
A,q00169,legal,18,0.563788,0.305235
A,q00170,legal,13,0.598875,0.195189
A,q00171,legal,15,0.708441,0.49464
A,q00172,procurement,18,0.0,0.0
A,q00173,legal,10,0.425208,0.31488
A,q00174,legal,9,0.845519,0.58459
A,q00175,security,19,0.637152,0.650513
A,q00176,legal,16,0.698796,0.57369
A,q00177,legal,16,0.142795,0.513529
A,q00178,security,22,0.648932,0.138862
A,q00179,procurement,13,0.613653,0.31488
A,q00180,security,22,0.648932,0.138862
A,q00181,security,17,0.220092,0.094788
A,q00182,legal,15,0.866948,0.49829
A,q00183,legal,20,0.860382,0.538431
A,q00184,security,12,0.563788,0.542364
A,q00185,security,22,0.648932,0.138862
A,q00186,security,13,0.358954,0.224006
A,q00187,legal,20,0.870125,0.930569
A,q00188,legal,27,0.722295,1.0
A,q00189,legal,15,0.588467,0.358954
A,q00190,procurement,18,0.542364,0.778807
A,q00191,legal,15,0.496676,0.491526
A,q00192,legal,15,0.855348,0.469
A,q00193,legal,10,0.535254,0.330138
A,q00194,procurement,11,0.0,0.453743
A,q00195,procurement,20,0.358954,0.532141
A,q00196,security,19,0.563788,0.60514
A,q00197,legal,14,0.312049,0.538886
A,q00198,procurement,16,0.428385,0.0
A,q00199,procurement,20,0.0,0.289523
B,q00000,logistics,19,0.779171,0.870125
B,q00001,engineering,14,0.864315,0.718363
B,q00002,logistics,20,0.637152,0.936379
B,q00003,engineering,13,0.637152,0.760559
B,q00004,logistics,16,0.648932,1.0
B,q00005,facilities,23,0.61804,1.0
B,q00006,engineering,23,0.800694,0.793584
B,q00007,logistics,19,0.47479,0.538431
B,q00008,engineering,16,0.864315,0.687017
B,q00009,facilities,15,0.870125,1.0
B,q00010,facilities,23,0.705808,1.0
B,q00011,logistics,15,0.425208,0.453743
B,q00012,engineering,13,0.63322,0.74167
B,q00013,facilities,19,0.542364,0.763193
B,q00014,facilities,21,0.722295,0.933746
B,q00015,facilities,22,0.61225,1.0
B,q00016,engineering,14,0.841591,0.936379
B,q00017,engineering,14,0.921602,0.866948
B,q00018,logistics,16,0.501749,0.627507
B,q00019,facilities,21,0.472933,0.61683
B,q00020,facilities,13,0.617764,0.68045
B,q00021,engineering,15,0.926636,0.863015
B,q00022,logistics,16,0.61683,0.583715
B,q00023,facilities,18,0.715186,1.0
B,q00024,logistics,13,0.712552,0.608317
B,q00025,facilities,18,0.627507,0.936379
B,q00026,engineering,14,0.779908,0.800694
B,q00027,logistics,16,0.415281,0.605505
B,q00028,facilities,21,0.905212,0.793584
B,q00029,logistics,13,0.576971,0.703407
