workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.066254,0.066254
A,q00001,procurement,27,0.330138,0.358954
A,q00002,legal,26,0.936379,0.712552
A,q00003,legal,25,0.532141,0.554143
A,q00004,procurement,26,0.330138,0.283713
A,q00005,procurement,29,0.715186,0.488547
A,q00006,procurement,21,0.463644,0.094788
A,q00007,security,33,0.562193,0.715551
A,q00008,procurement,23,0.073364,0.510716
A,q00009,legal,31,0.930569,0.926636
A,q00010,security,31,0.669126,0.481535
A,q00011,security,24,0.444097,0.290625
A,q00012,security,30,0.469,0.371854
A,q00013,security,26,0.437352,0.328241
A,q00014,legal,19,0.627507,0.55826
A,q00015,legal,27,0.926636,0.752969
A,q00016,security,24,0.510352,0.35971
A,q00017,security,31,0.570859,0.220092
A,q00018,procurement,28,0.611019,0.305235
A,q00019,legal,27,1.0,0.696938
A,q00020,legal,24,0.334807,0.447735
A,q00021,procurement,22,0.930569,0.598875
A,q00022,security,23,0.220092,0.303082
A,q00023,legal,27,0.926636,0.752969
A,q00024,security,31,0.554899,0.57369
A,q00025,legal,38,0.848603,0.804811
A,q00026,security,27,0.248908,0.224006
A,q00027,security,33,0.562193,0.715551
A,q00028,legal,38,0.848603,0.804811
A,q00029,legal,24,0.860382,0.712552
A,q00030,security,31,0.617284,0.473387
A,q00031,security,33,0.562193,0.715551
A,q00032,legal,24,0.841493,0.637152
A,q00033,procurement,24,0.519997,0.396392
A,q00034,procurement,29,0.632541,0.0
A,q00035,procurement,27,0.330138,0.358954
A,q00036,legal,27,0.866948,0.684837
A,q00037,procurement,17,0.085143,0.151762
A,q00038,legal,22,1.0,0.930569
A,q00039,legal,24,0.334807,0.447735
A,q00040,security,19,0.371854,0.580148
A,q00041,security,33,0.396392,0.245731
A,q00042,procurement,23,0.0,0.453743
A,q00043,procurement,27,0.691128,0.248908
A,q00044,security,30,0.535254,0.441285
A,q00045,security,30,0.535254,0.441285
A,q00046,procurement,32,0.576669,0.548154
A,q00047,legal,24,0.845426,0.693663
A,q00048,legal,27,0.933746,0.930569
A,q00049,security,31,0.661831,0.29849
A,q00050,legal,25,0.551785,0.500973
A,q00051,procurement,22,0.444097,0.318794
A,q00052,security,22,0.400023,0.591927
A,q00053,security,18,0.066254,0.066254
A,q00054,security,18,0.066254,0.066254
A,q00055,legal,25,0.716287,0.674936
A,q00056,procurement,24,0.519997,0.396392
A,q00057,security,27,0.517363,0.283713
A,q00058,legal,27,0.866948,0.684837
A,q00059,legal,26,0.936379,0.712552
A,q00060,legal,32,1.0,0.870125
A,q00061,legal,24,0.572756,0.438108
A,q00062,legal,31,0.864315,0.785916
A,q00063,legal,24,0.136985,0.236905
A,q00064,procurement,27,0.330138,0.358954
A,q00065,legal,26,0.870125,0.665291
A,q00066,legal,24,0.36678,0.482637
A,q00067,procurement,27,0.691128,0.248908
A,q00068,legal,31,0.393561,0.385413
A,q00069,legal,19,0.627507,0.55826
A,q00070,procurement,29,0.718363,0.476847
A,q00071,security,31,0.570859,0.220092
A,q00072,procurement,23,0.151762,0.538431
A,q00073,procurement,29,0.179477,0.222128
A,q00074,security,19,0.29849,0.428385
A,q00075,legal,27,1.0,0.696938
A,q00076,security,24,0.510352,0.35971
A,q00077,procurement,29,0.731263,0.278198
A,q00078,procurement,28,0.611019,0.305235
A,q00079,procurement,28,0.563788,0.220092
A,q00080,legal,38,0.905212,0.69684
A,q00081,security,23,0.138862,0.261808
A,q00082,procurement,27,0.330138,0.358954
A,q00083,security,19,0.29849,0.428385
A,q00084,security,33,0.347912,0.142795
A,q00085,procurement,29,0.731263,0.278198
A,q00086,legal,22,1.0,0.930569
A,q00087,procurement,23,0.334051,0.094788
A,q00088,security,22,0.637152,0.642187
A,q00089,security,19,0.371854,0.580148
A,q00090,procurement,27,0.0,0.248908
A,q00091,security,18,0.066254,0.066254
A,q00092,security,18,0.069431,0.142019
A,q00093,security,26,0.358954,0.248908
A,q00094,legal,24,0.860382,0.712552
A,q00095,procurement,32,0.472894,0.488349
A,q00096,security,33,0.353598,0.289523
A,q00097,legal,25,0.371835,0.563788
A,q00098,security,19,0.371854,0.580148
A,q00099,legal,28,0.750336,0.74167
A,q00100,legal,27,0.793584,0.532897
A,q00101,legal,25,0.551785,0.500973
A,q00102,procurement,23,0.248908,0.358954
A,q00103,security,31,0.554899,0.57369
A,q00104,legal,26,0.870125,0.665291
A,q00105,security,27,0.517363,0.283713
A,q00106,procurement,29,0.085143,0.422575
A,q00107,procurement,29,0.715186,0.488547
A,q00108,legal,25,0.716287,0.674936
A,q00109,procurement,32,0.671759,0.315163
A,q00110,security,24,0.510352,0.35971
A,q00111,procurement,26,0.31834,0.47479
A,q00112,procurement,21,0.463644,0.094788
A,q00113,security,18,0.069431,0.142019
A,q00114,security,23,0.220092,0.303082
A,q00115,legal,31,0.784617,0.83578
A,q00116,procurement,29,0.179477,0.222128
A,q00117,procurement,29,0.648932,0.358954
A,q00118,legal,28,0.750336,0.74167
A,q00119,procurement,23,0.248908,0.358954
A,q00120,procurement,29,0.179477,0.222128
A,q00121,procurement,17,0.289523,0.428385
A,q00122,procurement,21,0.063621,0.0
A,q00123,legal,25,0.889954,0.777872
A,q00124,legal,38,0.848603,0.804811
A,q00125,legal,25,0.551785,0.500973
A,q00126,procurement,21,0.463644,0.094788
A,q00127,procurement,22,0.930569,0.598875
A,q00128,security,31,0.718363,0.330138
A,q00129,legal,32,0.866948,0.785916
A,q00130,legal,19,0.627507,0.55826
A,q00131,legal,28,0.57369,0.700095
A,q00132,procurement,29,0.648932,0.358954
A,q00133,security,18,0.069431,0.142019
A,q00134,security,42,0.371854,0.671759
A,q00135,legal,32,0.936379,0.784617
A,q00136,procurement,23,0.0,0.453743
A,q00137,security,33,0.562193,0.715551
A,q00138,security,31,0.554899,0.57369
A,q00139,security,30,0.469,0.371854
A,q00140,procurement,27,0.330138,0.358954
A,q00141,security,23,0.220092,0.278198
A,q00142,security,42,0.371854,0.671759
A,q00143,security,31,0.617284,0.473387
A,q00144,security,31,0.661831,0.29849
A,q00145,procurement,24,0.519997,0.396392
A,q00146,security,19,0.371854,0.580148
A,q00147,procurement,22,0.930569,0.598875
A,q00148,legal,19,0.690194,0.493679
A,q00149,security,31,0.718363,0.330138
B,q00000,engineering,26,0.800694,0.800694
B,q00001,facilities,25,0.784982,1.0
B,q00002,logistics,25,0.358954,0.220092
B,q00003,logistics,20,0.286346,0.236905
B,q00004,facilities,23,0.43463,0.870125
