workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.158507,0.063621
A,q00001,procurement,27,0.503607,0.620397
A,q00002,legal,26,0.864315,0.722295
A,q00003,legal,25,0.437352,0.72733
A,q00004,procurement,26,0.293456,0.29849
A,q00005,procurement,29,0.72733,0.538431
A,q00006,procurement,21,0.647054,0.43511
A,q00007,security,33,1.0,0.689829
A,q00008,procurement,23,0.611795,0.785916
A,q00009,legal,31,1.0,0.866948
A,q00010,security,31,1.0,0.926636
A,q00011,security,24,0.936379,0.358954
A,q00012,security,30,1.0,0.538431
A,q00013,security,26,0.711618,0.253295
A,q00014,legal,19,0.866948,0.722295
A,q00015,legal,27,1.0,0.696938
A,q00016,security,24,1.0,0.371489
A,q00017,security,31,1.0,0.286346
A,q00018,procurement,28,0.778807,0.358954
A,q00019,legal,27,1.0,0.630043
A,q00020,legal,24,0.562193,0.321496
A,q00021,procurement,22,0.793584,0.698796
A,q00022,security,23,0.532621,0.507718
A,q00023,legal,27,1.0,0.696938
A,q00024,security,31,1.0,0.83578
A,q00025,legal,38,1.0,0.777872
A,q00026,security,27,1.0,0.605505
A,q00027,security,33,1.0,0.689829
A,q00028,legal,38,1.0,0.777872
A,q00029,legal,24,0.796761,0.686715
A,q00030,security,31,1.0,0.857981
A,q00031,security,33,1.0,0.689829
A,q00032,legal,24,0.747935,0.583715
A,q00033,procurement,24,0.690194,0.58875
A,q00034,procurement,29,0.69684,0.349967
A,q00035,procurement,27,0.503607,0.620397
A,q00036,legal,27,0.863015,0.278481
A,q00037,procurement,17,0.563788,0.453743
A,q00038,legal,22,0.936379,0.836459
A,q00039,legal,24,0.562193,0.321496
A,q00040,security,19,0.469,0.456899
A,q00041,security,33,0.72733,0.435475
A,q00042,procurement,23,0.627409,0.453743
A,q00043,procurement,27,0.715186,0.596538
A,q00044,security,30,1.0,0.627409
A,q00045,security,30,1.0,0.627409
A,q00046,procurement,32,0.857981,0.722295
A,q00047,legal,24,0.745302,0.647054
A,q00048,legal,27,0.936379,0.718363
A,q00049,security,31,0.820069,0.274548
A,q00050,legal,25,0.415281,0.820069
A,q00051,procurement,22,0.517461,0.364744
A,q00052,security,22,0.800694,0.620397
A,q00053,security,18,0.158507,0.063621
A,q00054,security,18,0.158507,0.063621
A,q00055,legal,25,0.224006,0.781984
A,q00056,procurement,24,0.690194,0.58875
A,q00057,security,27,1.0,0.648932
A,q00058,legal,27,0.863015,0.278481
A,q00059,legal,26,0.864315,0.722295
A,q00060,legal,32,1.0,1.0
A,q00061,legal,24,0.577149,0.866948
A,q00062,legal,31,1.0,0.863015
A,q00063,legal,24,0.138862,0.866948
A,q00064,procurement,27,0.503607,0.620397
A,q00065,legal,26,0.866948,0.722295
A,q00066,legal,24,0.393561,0.400023
A,q00067,procurement,27,0.715186,0.596538
A,q00068,legal,31,0.793584,0.481535
A,q00069,legal,19,0.866948,0.722295
A,q00070,procurement,29,0.793584,0.318794
A,q00071,security,31,1.0,0.286346
A,q00072,procurement,23,0.699474,0.513529
A,q00073,procurement,29,0.0,0.063621
A,q00074,security,19,0.532621,0.415281
A,q00075,legal,27,1.0,0.630043
A,q00076,security,24,1.0,0.371489
A,q00077,procurement,29,0.702728,0.343697
A,q00078,procurement,28,0.778807,0.358954
A,q00079,procurement,28,0.870125,0.358954
A,q00080,legal,38,1.0,0.796761
A,q00081,security,23,0.538431,0.574337
A,q00082,procurement,27,0.503607,0.620397
A,q00083,security,19,0.532621,0.415281
A,q00084,security,33,0.253295,0.179931
A,q00085,procurement,29,0.702728,0.343697
A,q00086,legal,22,0.936379,0.836459
A,q00087,procurement,23,0.133052,0.604686
A,q00088,security,22,1.0,0.699474
A,q00089,security,19,0.469,0.456899
A,q00090,procurement,27,0.330138,0.0
A,q00091,security,18,0.158507,0.063621
A,q00092,security,18,0.547853,0.151762
A,q00093,security,26,0.800694,0.218016
A,q00094,legal,24,0.796761,0.686715
A,q00095,procurement,32,0.642187,0.687017
A,q00096,security,33,0.598875,0.57116
A,q00097,legal,25,0.287626,0.396392
A,q00098,security,19,0.469,0.456899
A,q00099,legal,28,0.750637,0.535254
A,q00100,legal,27,0.665193,0.683538
A,q00101,legal,25,0.415281,0.820069
A,q00102,procurement,23,0.576669,0.563788
A,q00103,security,31,1.0,0.83578
A,q00104,legal,26,0.866948,0.722295
A,q00105,security,27,1.0,0.648932
A,q00106,procurement,29,0.437352,0.358954
A,q00107,procurement,29,0.72733,0.538431
A,q00108,legal,25,0.224006,0.781984
A,q00109,procurement,32,0.784617,0.718363
A,q00110,security,24,1.0,0.371489
A,q00111,procurement,26,0.248908,0.384311
A,q00112,procurement,21,0.647054,0.43511
A,q00113,security,18,0.547853,0.151762
A,q00114,security,23,0.532621,0.507718
A,q00115,legal,31,1.0,0.848603
A,q00116,procurement,29,0.0,0.063621
A,q00117,procurement,29,0.72733,0.469
A,q00118,legal,28,0.750637,0.535254
A,q00119,procurement,23,0.576669,0.563788
A,q00120,procurement,29,0.0,0.063621
A,q00121,procurement,17,0.791727,0.532621
A,q00122,procurement,21,0.457675,0.444097
A,q00123,legal,25,0.866948,0.848238
A,q00124,legal,38,1.0,0.777872
A,q00125,legal,25,0.415281,0.820069
A,q00126,procurement,21,0.647054,0.43511
A,q00127,procurement,22,0.793584,0.698796
A,q00128,security,31,1.0,0.408536
