query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,legal,16,0.642187,0.698796,0.358954,0.778807
q00001,security,19,0.0,0.305235,0.220092,0.094788
q00002,legal,15,0.293437,0.372591,0.094788,0.261443
q00003,security,12,0.61225,0.715186,0.444097,0.718363
q00004,legal,14,0.316916,0.312049,0.0,0.0
q00005,procurement,14,0.35971,0.393278,0.31488,0.307015
q00006,security,28,0.532621,1.0,0.602328,0.921602
q00007,legal,20,0.857205,0.926636,0.601572,0.784617
q00008,security,19,0.44222,0.627507,0.473387,0.793584
q00009,procurement,18,0.142795,0.0,0.0,0.094788
q00010,procurement,20,0.936379,0.358954,0.358954,0.550966
q00011,legal,20,0.936379,0.870125,0.252841,0.778807
q00012,security,12,0.49464,0.563788,0.432318,0.466642
q00013,procurement,17,0.532141,0.42884,0.378783,0.539641
q00014,procurement,17,0.648932,0.469756,0.158409,0.563788
q00015,procurement,14,0.289977,0.425208,0.195189,0.453743
q00016,security,18,0.383633,0.371489,0.0,0.18341
q00017,security,13,0.393561,0.393758,0.415281,0.563788
q00018,legal,18,0.765593,0.693761,0.399569,0.542818
q00019,procurement,17,0.648932,0.548333,0.078398,0.72733
q00020,procurement,20,0.400023,0.0,0.078398,0.330138
q00021,security,18,0.220092,0.31488,0.0,0.535254
q00022,legal,14,0.453743,0.567043,0.0,0.371835
q00023,procurement,16,0.532621,0.330138,0.0,0.094788
q00024,legal,20,0.860382,0.860382,0.359409,0.580148
q00025,procurement,11,0.31488,0.0,0.069431,0.293456
q00026,security,18,0.31488,0.393278,0.0,0.280882
q00027,legal,18,0.796761,0.563788,0.293456,0.322272
q00028,procurement,18,0.712552,0.563788,0.233651,0.731447
q00029,legal,20,0.841493,0.711618,0.135685,0.357813
q00030,procurement,16,0.18341,0.305235,0.0,0.138862
q00031,security,28,0.677273,0.936379,0.577149,1.0
q00032,security,18,0.330138,0.384311,0.147829,0.538886
q00033,procurement,18,0.648932,0.542364,0.358954,0.544221
q00034,procurement,16,0.583618,0.253295,0.0,0.271088
q00035,legal,9,0.839314,0.845519,0.31877,0.498327
q00036,security,28,0.677273,0.936379,0.577149,1.0
