query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.0,0.158507,0.0,0.18341
q00001,procurement,27,0.930569,0.503607,0.29849,0.532621
q00002,legal,26,1.0,0.864315,0.224663,0.936379
q00003,legal,25,0.648932,0.437352,0.066254,0.503607
q00004,procurement,26,0.479382,0.293456,0.399569,0.220092
q00005,procurement,29,0.870125,0.72733,0.358954,0.608317
q00006,procurement,21,0.699474,0.647054,0.249664,0.286692
q00007,security,33,0.863015,1.0,0.599329,0.779171
q00008,procurement,23,0.857205,0.611795,0.330138,0.271088
q00009,legal,31,1.0,1.0,0.750637,1.0
q00010,security,31,0.870125,1.0,0.558076,0.936379
q00011,security,24,0.343697,0.936379,0.500973,0.598395
q00012,security,30,0.72733,1.0,0.0,0.538431
q00013,security,26,0.066254,0.711618,0.274265,0.358954
q00014,legal,19,0.936379,0.866948,0.248908,0.708441
q00015,legal,27,0.933746,1.0,0.544676,0.826333
q00016,security,24,0.542364,1.0,0.529444,0.63901
q00017,security,31,0.623574,1.0,0.0,0.401605
q00018,procurement,28,0.930569,0.778807,0.358954,0.222128
q00019,legal,27,1.0,1.0,0.477967,0.936379
q00020,legal,24,0.604686,0.562193,0.221193,0.56537
q00021,procurement,22,0.870125,0.793584,0.283713,0.346951
q00022,security,23,0.56537,0.532621,0.0,0.356232
q00023,legal,27,0.933746,1.0,0.544676,0.826333
q00024,security,31,0.864315,1.0,0.605985,0.706584
q00025,legal,38,0.936379,1.0,0.627409,0.841493
q00026,security,27,0.623574,1.0,0.188444,0.286346
q00027,security,33,0.863015,1.0,0.599329,0.779171
q00028,legal,38,0.936379,1.0,0.627409,0.841493
q00029,legal,24,1.0,0.796761,0.416382,0.757382
q00030,security,31,0.793584,1.0,0.588467,0.926636
q00031,security,33,0.863015,1.0,0.599329,0.779171
q00032,legal,24,0.866948,0.747935,0.233651,0.653049
q00033,procurement,24,0.49464,0.690194,0.293456,0.370636
q00034,procurement,29,0.848238,0.69684,0.0,0.094788
q00035,procurement,27,0.930569,0.503607,0.29849,0.532621
q00036,legal,27,0.936379,0.863015,0.425208,0.860382
q00037,procurement,17,0.554143,0.563788,0.066254,0.248908
q00038,legal,22,1.0,0.936379,0.283713,0.841591
q00039,legal,24,0.604686,0.562193,0.221193,0.56537
q00040,security,19,0.362111,0.469,0.283713,0.4819
q00041,security,33,0.627409,0.72733,0.078398,0.078398
q00042,procurement,23,0.72733,0.627409,0.355777,0.217261
q00043,procurement,27,1.0,0.715186,0.078398,0.532141
q00044,security,30,0.793584,1.0,0.085143,0.484712
q00045,security,30,0.793584,1.0,0.085143,0.484712
q00046,procurement,32,0.800694,0.857981,0.538431,0.478422
q00047,legal,24,0.855348,0.745302,0.375768,0.605985
q00048,legal,27,1.0,0.936379,0.434175,0.936379
q00049,security,31,0.563788,0.820069,0.289523,0.448669
q00050,legal,25,0.642187,0.415281,0.094788,0.367921
q00051,procurement,22,0.563788,0.517461,0.138862,0.220092
q00052,security,22,0.72733,0.800694,0.357076,0.417061
q00053,security,18,0.0,0.158507,0.0,0.18341
q00054,security,18,0.0,0.158507,0.0,0.18341
q00055,legal,25,0.914857,0.224006,0.532141,0.498271
q00056,procurement,24,0.49464,0.690194,0.293456,0.370636
q00057,security,27,0.648932,1.0,0.358954,0.135685
q00058,legal,27,0.936379,0.863015,0.425208,0.860382
q00059,legal,26,1.0,0.864315,0.224663,0.936379
q00060,legal,32,1.0,1.0,0.472157,1.0
q00061,legal,24,0.841591,0.577149,0.094788,0.586116
q00062,legal,31,1.0,1.0,0.68045,1.0
q00063,legal,24,0.437352,0.138862,0.085143,0.204834
q00064,procurement,27,0.930569,0.503607,0.29849,0.532621
q00065,legal,26,1.0,0.866948,0.18341,0.926636
q00066,legal,24,0.359409,0.393561,0.142019,0.445101
q00067,procurement,27,1.0,0.715186,0.078398,0.532141
q00068,legal,31,0.747935,0.793584,0.358954,0.686715
q00069,legal,19,0.936379,0.866948,0.248908,0.708441
q00070,procurement,29,0.763095,0.793584,0.069431,0.488829
q00071,security,31,0.623574,1.0,0.0,0.401605
q00072,procurement,23,0.796761,0.699474,0.374666,0.406639
q00073,procurement,29,0.581082,0.0,0.205117,0.085143
q00074,security,19,0.55826,0.532621,0.220092,0.590727
q00075,legal,27,1.0,1.0,0.477967,0.936379
q00076,security,24,0.542364,1.0,0.529444,0.63901
q00077,procurement,29,0.852171,0.702728,0.215383,0.355777
q00078,procurement,28,0.930569,0.778807,0.358954,0.222128
q00079,procurement,28,1.0,0.870125,0.220092,0.220092
q00080,legal,38,0.933746,1.0,0.602052,0.933746
