query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.0,0.0,0.133052,0.110046
q00001,procurement,27,0.542364,0.668306,0.384311,0.629364
q00002,legal,26,0.930569,0.936379,0.161043,0.800694
q00003,legal,25,0.611019,0.460013,0.066254,0.678504
q00004,procurement,26,0.204834,0.204834,0.399569,0.29849
q00005,procurement,29,0.642187,0.289523,0.220092,0.636474
q00006,procurement,21,0.179477,0.316916,0.163541,0.220092
q00007,security,33,0.637152,0.863015,0.299905,0.472933
q00008,procurement,23,0.224006,0.286346,0.0,0.31834
q00009,legal,31,0.870125,1.0,0.750637,0.784982
q00010,security,31,0.790951,0.72733,0.593361,1.0
q00011,security,24,0.378501,0.362887,0.384311,0.535254
q00012,security,30,0.289523,0.535254,0.085143,0.396392
q00013,security,26,0.422575,0.47479,0.278198,0.457675
q00014,legal,19,0.722295,0.763095,0.248908,0.703407
q00015,legal,27,0.921602,1.0,0.544676,0.785916
q00016,security,24,0.289523,0.289523,0.400023,0.620762
q00017,security,31,0.289523,0.368856,0.0,0.195189
q00018,procurement,28,0.422575,0.151762,0.358954,0.432318
q00019,legal,27,1.0,1.0,0.517461,0.715551
q00020,legal,24,0.456997,0.492461,0.151762,0.453743
q00021,procurement,22,0.69684,0.368856,0.094788,0.623574
q00022,security,23,0.385048,0.608317,0.0,0.142795
q00023,legal,27,0.921602,1.0,0.544676,0.785916
q00024,security,31,0.889954,0.693663,0.65948,0.756902
q00025,legal,38,0.936379,0.914857,0.630043,0.718363
q00026,security,27,0.488645,0.358954,0.094788,0.085143
q00027,security,33,0.637152,0.863015,0.299905,0.472933
q00028,legal,38,0.936379,0.914857,0.630043,0.718363
q00029,legal,24,0.863015,1.0,0.416382,0.65948
q00030,security,31,0.857205,0.712552,0.602052,0.936379
q00031,security,33,0.637152,0.863015,0.299905,0.472933
q00032,legal,24,0.781984,0.936379,0.233651,0.646119
q00033,procurement,24,0.570404,0.383633,0.283713,0.456899
q00034,procurement,29,0.554143,0.094788,0.0,0.142795
q00035,procurement,27,0.542364,0.668306,0.384311,0.629364
q00036,legal,27,0.914857,0.933746,0.492006,0.791727
q00037,procurement,17,0.110046,0.220092,0.073364,0.063621
q00038,legal,22,0.926636,1.0,0.283713,0.67587
q00039,legal,24,0.456997,0.492461,0.151762,0.453743
q00040,security,19,0.466642,0.432318,0.293456,0.554143
q00041,security,33,0.408536,0.0,0.221193,0.349967
q00042,procurement,23,0.31488,0.358954,0.283233,0.451865
q00043,procurement,27,0.563788,0.078398,0.094788,0.563788
q00044,security,30,0.305235,0.683084,0.289523,0.49464
q00045,security,30,0.305235,0.683084,0.289523,0.49464
q00046,procurement,32,0.356596,0.526428,0.538431,0.857981
q00047,legal,24,0.770204,0.933746,0.375768,0.506321
q00048,legal,27,0.933746,1.0,0.434175,0.781984
q00049,security,31,0.293456,0.428385,0.133052,0.554143
q00050,legal,25,0.547398,0.473387,0.094788,0.444097
q00051,procurement,22,0.358954,0.0,0.138862,0.353144
q00052,security,22,0.590727,0.4819,0.168152,0.796761
q00053,security,18,0.0,0.0,0.133052,0.110046
q00054,security,18,0.0,0.0,0.133052,0.110046
q00055,legal,25,0.930569,0.841591,0.478902,0.451667
q00056,procurement,24,0.570404,0.383633,0.283713,0.456899
q00057,security,27,0.444097,0.358954,0.289523,0.271914
q00058,legal,27,0.914857,0.933746,0.492006,0.791727
q00059,legal,26,0.930569,0.936379,0.161043,0.800694
q00060,legal,32,1.0,1.0,0.43511,0.930569
q00061,legal,24,0.608317,0.576688,0.094788,0.477967
q00062,legal,31,0.866948,0.933746,0.68045,0.700773
q00063,legal,24,0.30316,0.29026,0.085143,0.094788
q00064,procurement,27,0.542364,0.668306,0.384311,0.629364
q00065,legal,26,0.800694,0.800694,0.110046,0.793584
q00066,legal,24,0.458412,0.472894,0.142019,0.432318
q00067,procurement,27,0.563788,0.078398,0.094788,0.563788
q00068,legal,31,0.709375,0.608297,0.220092,0.457675
q00069,legal,19,0.722295,0.763095,0.248908,0.703407
q00070,procurement,29,0.693663,0.72733,0.063621,0.271914
q00071,security,31,0.289523,0.368856,0.0,0.195189
q00072,procurement,23,0.289523,0.383633,0.173187,0.44222
q00073,procurement,29,0.248908,0.220092,0.220092,0.0
q00074,security,19,0.510069,0.358954,0.220092,0.617764
q00075,legal,27,1.0,1.0,0.517461,0.715551
q00076,security,24,0.289523,0.289523,0.400023,0.620762
q00077,procurement,29,0.617284,0.722295,0.151762,0.0
q00078,procurement,28,0.422575,0.151762,0.358954,0.432318
q00079,procurement,28,0.604686,0.0,0.220092,0.066254
q00080,legal,38,0.936379,0.930569,0.746705,0.866948
q00081,security,23,0.25881,0.60514,0.066254,0.221193
q00082,procurement,27,0.542364,0.668306,0.384311,0.629364
q00083,security,19,0.510069,0.358954,0.220092,0.617764
q00084,security,33,0.31834,0.0,0.073364,0.242618
q00085,procurement,29,0.617284,0.722295,0.151762,0.0
q00086,legal,22,0.926636,1.0,0.283713,0.67587
q00087,procurement,23,0.31488,0.31488,0.0,0.330138
q00088,security,22,0.613653,0.49464,0.243552,0.756902
q00089,security,19,0.466642,0.432318,0.293456,0.554143
q00090,procurement,27,0.0,0.0,0.0,0.135685
q00091,security,18,0.0,0.0,0.133052,0.110046
q00092,security,18,0.0,0.069431,0.085143,0.188444
q00093,security,26,0.469,0.527106,0.218195,0.388244
q00094,legal,24,0.863015,1.0,0.416382,0.65948
q00095,procurement,32,0.357813,0.492282,0.538431,0.703407
q00096,security,33,0.457675,0.078398,0.236905,0.217261
q00097,legal,25,0.400671,0.396738,0.066254,0.312529
q00098,security,19,0.466642,0.432318,0.293456,0.554143
q00099,legal,28,0.770204,0.855348,0.399569,0.841493
q00100,legal,27,0.889954,0.644223,0.138862,0.39486
q00101,legal,25,0.547398,0.473387,0.094788,0.444097
q00102,procurement,23,0.453743,0.396392,0.138862,0.110046
q00103,security,31,0.889954,0.693663,0.65948,0.756902
q00104,legal,26,0.800694,0.800694,0.110046,0.793584
q00105,security,27,0.444097,0.358954,0.289523,0.271914
q00106,procurement,29,0.444097,0.283713,0.217261,0.530546
q00107,procurement,29,0.642187,0.289523,0.220092,0.636474
q00108,legal,25,0.930569,0.841591,0.478902,0.451667
q00109,procurement,32,0.352946,0.523929,0.523174,0.61683
q00110,security,24,0.289523,0.289523,0.400023,0.620762
q00111,procurement,26,0.431996,0.43463,0.532621,0.633297
q00112,procurement,21,0.179477,0.316916,0.163541,0.220092
q00113,security,18,0.0,0.069431,0.085143,0.188444
q00114,security,23,0.385048,0.608317,0.0,0.142795
q00115,legal,31,0.870125,0.851236,0.608317,0.74167
q00116,procurement,29,0.248908,0.220092,0.220092,0.0
q00117,procurement,29,0.627409,0.305235,0.424926,0.460013
q00118,legal,28,0.770204,0.855348,0.399569,0.841493
q00119,procurement,23,0.453743,0.396392,0.138862,0.110046
q00120,procurement,29,0.248908,0.220092,0.220092,0.0
q00121,procurement,17,0.349967,0.293456,0.078398,0.367921
q00122,procurement,21,0.0,0.0,0.094788,0.220092
q00123,legal,25,1.0,0.930569,0.472933,0.639944
q00124,legal,38,0.936379,0.914857,0.630043,0.718363
q00125,legal,25,0.547398,0.473387,0.094788,0.444097
q00126,procurement,21,0.179477,0.316916,0.163541,0.220092
q00127,procurement,22,0.69684,0.368856,0.094788,0.623574
q00128,security,31,0.330138,0.469,0.142019,0.636376
q00129,legal,32,0.870125,0.866948,0.383633,0.848238
q00130,legal,19,0.722295,0.763095,0.248908,0.703407
q00131,legal,28,0.573972,0.642187,0.44092,0.706584
q00132,procurement,29,0.627409,0.305235,0.424926,0.460013
q00133,security,18,0.0,0.069431,0.085143,0.188444
q00134,security,42,1.0,0.800694,0.605985,1.0
q00135,legal,32,1.0,0.769526,0.678504,0.657899
q00136,procurement,23,0.31488,0.358954,0.283233,0.451865
q00137,security,33,0.637152,0.863015,0.299905,0.472933
q00138,security,31,0.889954,0.693663,0.65948,0.756902
q00139,security,30,0.289523,0.535254,0.085143,0.396392
q00140,procurement,27,0.542364,0.668306,0.384311,0.629364
q00141,security,23,0.375768,0.617284,0.0,0.222128
q00142,security,42,1.0,0.800694,0.605985,1.0
q00143,security,31,0.857205,0.712552,0.602052,0.936379
q00144,security,31,0.293456,0.428385,0.133052,0.554143
q00145,procurement,24,0.570404,0.383633,0.283713,0.456899
q00146,security,19,0.466642,0.432318,0.293456,0.554143
q00147,procurement,22,0.69684,0.368856,0.094788,0.623574
q00148,legal,19,0.648932,0.643768,0.179931,0.503607
q00149,security,31,0.330138,0.469,0.142019,0.636376
