query_id,pool,n_relevant,C0_sample_only,C1_business_context,C2_context_plus_metadata,C3_narrow_objective,L0_pooled,L1_chunks
q00000,logistics,16,0.547398,0.445101,0.444097,0.330138,0.205117,0.586892
q00001,engineering,17,1.0,0.793584,1.0,1.0,0.864315,1.0
q00002,logistics,16,0.469,0.248908,0.358954,0.403502,0.220092,0.469
q00003,engineering,14,0.563788,0.563788,0.453064,0.542364,0.432318,0.563788
q00004,legal,14,0.388244,0.362887,0.094788,0.519997,0.0,0.0
q00005,procurement,18,0.378599,0.527106,0.289523,0.25833,0.173187,0.469454
q00006,engineering,13,0.35971,0.469,0.444097,0.444097,0.415281,0.453743
q00007,logistics,15,0.715186,0.469,0.605985,0.542364,0.16422,0.532141
q00008,finance,21,0.800694,0.711618,0.718363,0.403483,0.523251,0.863015
q00009,security,13,0.510352,0.400023,0.239441,0.648932,0.110046,0.476071
q00010,procurement,16,0.444097,0.220092,0.220092,0.248908,0.0,0.0
q00011,legal,20,0.793584,0.772838,0.765593,0.690194,0.691128,0.632541
q00012,engineering,15,0.703407,0.605985,0.675416,0.687195,0.49118,0.790951
q00013,security,28,0.793584,0.636659,0.444097,0.841591,0.753814,0.936379
q00014,procurement,14,0.073364,0.085143,0.063621,0.069431,0.094788,0.0
q00015,security,17,0.158409,0.094788,0.330138,0.220092,0.0,0.396392
q00016,engineering,14,0.796761,0.83578,0.785916,0.841591,0.242618,0.527106
q00017,finance,20,0.870125,0.860382,0.866948,0.220092,0.212226,0.715551
q00018,legal,16,0.870125,0.793584,0.914857,0.728912,0.362111,0.722295
q00019,procurement,16,0.358954,0.063621,0.31488,0.078398,0.069431,0.0
q00020,security,19,0.627507,0.469,0.0,0.437352,0.220092,0.547398
q00021,finance,17,0.785916,0.711618,0.715551,0.510352,0.208294,0.388225
q00022,legal,20,0.784982,0.933746,0.683538,0.781805,0.337208,0.848603
q00023,procurement,16,0.358954,0.432318,0.49464,0.358954,0.0,0.0
q00024,legal,27,0.738557,0.608317,0.933746,0.61225,0.538431,0.331239
q00025,security,24,0.866948,0.519997,0.845426,0.473572,0.675416,0.757382
q00026,engineering,20,0.800694,0.800694,0.791727,0.793584,0.519997,0.778807
q00027,legal,16,0.796761,0.78855,0.722295,0.591927,0.358954,0.67587
q00028,security,17,0.31488,0.148764,0.163541,0.293437,0.094788,0.094788
q00029,legal,13,0.42884,0.586116,0.417061,0.532141,0.358954,0.396392
q00030,procurement,18,0.438108,0.432318,0.29849,0.286692,0.136985,0.358954
q00031,engineering,23,0.800694,0.718363,0.648932,0.718363,0.400023,0.793584
q00032,finance,17,0.870125,0.768227,0.706584,0.602506,0.390927,0.409951
q00033,security,12,0.453064,0.293456,0.611019,0.56537,0.378501,0.308872
q00034,procurement,16,0.501749,0.538886,0.532621,0.424926,0.0,0.094788
q00035,legal,15,0.299227,0.366703,0.275847,0.094788,0.151397,0.498271
q00036,engineering,23,0.800694,0.718363,0.648932,0.718363,0.400023,0.793584
q00037,engineering,15,0.715186,0.800694,0.683538,0.563788,0.613653,0.72733
q00038,security,24,0.857205,0.437352,0.836459,0.589428,0.677728,0.550113
q00039,finance,20,0.870125,0.860382,0.866948,0.220092,0.212226,0.715551
q00040,procurement,17,0.283713,0.283713,0.138862,0.078398,0.078398,0.078398
q00041,legal,20,0.793584,0.772838,0.765593,0.690194,0.691128,0.632541
q00042,finance,11,0.453064,0.179931,0.384311,0.0,0.066254,0.138862
q00043,legal,15,0.870125,0.762416,0.848603,0.796761,0.321951,0.769526
q00044,legal,20,0.800694,0.763095,0.678504,0.831848,0.620762,0.648932
q00045,security,13,0.444097,0.318794,0.179931,0.648932,0.094788,0.669126
q00046,legal,20,0.800694,0.763095,0.678504,0.831848,0.620762,0.648932
q00047,security,18,0.110046,0.138862,0.063621,0.0,0.069431,0.148764
q00048,engineering,15,0.715186,0.800694,0.683538,0.563788,0.613653,0.72733
q00049,logistics,13,0.330138,0.403502,0.519997,0.147829,0.495939,0.453743
q00050,finance,15,0.523251,0.800694,0.770204,0.49829,0.617284,0.722295
q00051,procurement,16,0.362111,0.151397,0.220092,0.0,0.0,0.0
q00052,logistics,25,0.396392,0.415281,0.630043,0.611795,0.513508,0.767027
q00053,legal,20,0.598395,0.623554,0.449887,0.747935,0.135685,0.457182
q00054,procurement,16,0.432318,0.220092,0.220092,0.248908,0.0,0.094788
q00055,procurement,11,0.138862,0.138862,0.378599,0.173667,0.147829,0.142795
q00056,engineering,14,0.796761,0.83578,0.785916,0.841591,0.242618,0.527106
q00057,logistics,18,0.305235,0.358954,0.293456,0.224006,0.063621,0.563788
q00058,procurement,16,0.522496,0.444097,0.408536,0.484712,0.0,0.110046
q00059,security,18,0.409951,0.220092,0.220092,0.147829,0.069431,0.49118
q00060,logistics,13,0.220092,0.29849,0.349967,0.066254,0.212226,0.289523
q00061,security,17,0.1763,0.718363,0.273587,0.700773,0.593361,0.863015
q00062,procurement,13,0.195189,0.343697,0.305235,0.293456,0.179931,0.138862
q00063,engineering,14,0.503324,0.523174,0.371835,0.542364,0.253295,0.478422
q00064,legal,20,0.72733,0.793584,0.627409,0.648932,0.18341,0.785916
q00065,engineering,14,0.503324,0.523174,0.371835,0.542364,0.253295,0.478422
q00066,security,19,0.708441,0.447254,0.493679,0.698796,0.473387,0.826333
q00067,logistics,18,0.60514,0.358954,0.168152,0.415281,0.129875,0.760559
q00068,security,18,0.302404,0.220092,0.110046,0.066254,0.0,0.339841
q00069,finance,11,0.481535,0.217261,0.422575,0.0,0.0,0.220092
q00070,procurement,13,0.195189,0.343697,0.305235,0.293456,0.179931,0.138862
q00071,security,13,0.687017,0.456997,0.310171,0.297369,0.451865,0.627409
q00072,engineering,15,0.72733,0.648932,0.718363,0.712552,0.434175,0.790951
q00073,procurement,17,0.580602,0.532141,0.138862,0.400023,0.378783,0.469
q00074,finance,11,0.554143,0.563788,0.522496,0.220092,0.248908,0.31488
q00075,procurement,13,0.400023,0.268553,0.38196,0.290625,0.212226,0.293456
q00076,security,12,0.453064,0.293456,0.611019,0.56537,0.378501,0.308872
q00077,legal,18,0.554143,0.747935,0.501749,0.696938,0.293456,0.517363
q00078,logistics,19,0.701973,0.605985,0.696938,0.527106,0.424926,0.561911
q00079,legal,14,0.74119,0.637152,0.480681,0.777872,0.0,0.61225
q00080,finance,20,0.870125,0.860382,0.866948,0.220092,0.212226,0.715551
q00081,logistics,13,0.220092,0.29849,0.349967,0.066254,0.212226,0.289523
q00082,legal,20,0.72733,0.793584,0.627409,0.648932,0.18341,0.785916
q00083,security,12,0.567043,0.400023,0.680905,0.469,0.432318,0.31488
q00084,logistics,16,0.617764,0.519997,0.289523,0.517363,0.078398,0.49464
q00085,finance,15,0.615406,0.800694,0.763193,0.63322,0.703407,0.785916
q00086,legal,27,0.738557,0.608317,0.933746,0.61225,0.538431,0.331239
q00087,security,18,0.085143,0.138862,0.063621,0.0,0.110046,0.063621
q00088,engineering,15,0.777872,0.870125,0.796761,0.648932,0.632541,0.796761
