seed,workload,query_id,pool,n_relevant,T_A,T_B
17,A,q00000,legal,16,0.864315,0.538431
17,A,q00001,security,19,0.0,0.305235
17,A,q00002,legal,15,0.364744,0.439389
17,A,q00003,security,12,0.444097,0.501749
17,A,q00004,legal,14,0.369336,0.611795
17,A,q00005,procurement,14,0.535254,0.538411
17,A,q00006,security,28,1.0,0.933746
17,A,q00007,legal,20,0.864315,1.0
17,A,q00008,security,19,0.451865,0.49464
17,A,q00009,procurement,18,0.0,0.0
17,A,q00010,procurement,20,0.562193,0.620397
17,A,q00011,legal,20,1.0,0.921602
17,A,q00012,security,12,0.396392,0.522496
17,A,q00013,procurement,17,0.721519,0.293456
17,A,q00014,procurement,17,0.648932,0.358954
17,A,q00015,procurement,14,0.16422,0.620397
17,A,q00016,security,18,0.248908,0.1763
17,A,q00017,security,13,0.218016,0.220092
17,A,q00018,legal,18,0.668306,0.362111
17,A,q00019,procurement,17,0.648932,0.432318
17,A,q00020,procurement,20,0.500973,0.110046
17,A,q00021,security,18,0.220092,0.353144
17,A,q00022,legal,14,0.586795,0.583433
17,A,q00023,procurement,16,0.532621,0.289523
17,A,q00024,legal,20,0.845426,0.715186
17,A,q00025,procurement,11,0.078398,0.358954
17,A,q00026,security,18,0.358954,0.29849
17,A,q00027,legal,18,0.724153,0.349967
17,A,q00028,procurement,18,0.627409,0.595762
17,A,q00029,legal,20,0.782739,0.623574
17,A,q00030,procurement,16,0.31834,0.358954
17,A,q00031,security,28,0.852171,0.930569
17,A,q00032,security,18,0.349967,0.429141
17,A,q00033,procurement,18,0.563788,0.542364
17,A,q00034,procurement,16,0.501749,0.358954
17,A,q00035,legal,9,0.767171,0.55872
17,A,q00036,security,28,0.852171,0.930569
17,A,q00037,security,19,0.0,0.358954
17,A,q00038,procurement,11,0.220092,0.358954
17,A,q00039,security,13,0.218016,0.220092
17,A,q00040,procurement,20,0.428385,0.330138
17,A,q00041,legal,20,1.0,0.921602
17,A,q00042,security,17,0.453743,0.517363
17,A,q00043,legal,9,0.817611,0.484571
17,A,q00044,legal,20,1.0,0.841591
17,A,q00045,procurement,18,0.608618,0.547398
17,A,q00046,legal,20,1.0,0.841591
17,A,q00047,procurement,11,0.248908,0.283713
17,A,q00048,security,19,0.0,0.358954
17,A,q00049,legal,20,1.0,0.78855
17,A,q00050,security,18,0.220092,0.353144
17,A,q00051,procurement,17,0.648932,0.358954
17,A,q00052,legal,10,0.469,0.425208
17,A,q00053,legal,14,0.369336,0.611795
17,A,q00054,procurement,20,0.523174,0.453743
17,A,q00055,procurement,16,0.343018,0.110046
17,A,q00056,security,18,0.248908,0.1763
17,A,q00057,legal,15,0.785916,0.608618
17,A,q00058,procurement,16,0.658181,0.330138
17,A,q00059,procurement,18,0.620397,0.602506
17,A,q00060,legal,20,1.0,0.718363
17,A,q00061,procurement,11,0.1763,0.477967
17,A,q00062,procurement,16,0.532621,0.289523
17,A,q00063,security,12,0.396392,0.522496
17,A,q00064,legal,27,1.0,0.781805
17,A,q00065,security,12,0.396392,0.522496
17,A,q00066,procurement,14,0.0,0.371489
17,A,q00067,legal,10,0.453743,0.358954
17,A,q00068,procurement,18,0.627409,0.595762
17,A,q00069,security,17,0.453743,0.507718
17,A,q00070,procurement,16,0.532621,0.289523
17,A,q00071,procurement,17,0.478704,0.790951
17,A,q00072,security,12,0.384311,0.078398
17,A,q00073,procurement,20,0.562193,0.620397
17,A,q00074,security,24,0.488547,0.580148
17,A,q00075,procurement,16,0.658181,0.330138
17,A,q00076,procurement,18,0.563788,0.542364
17,A,q00077,legal,13,0.623574,0.362887
17,A,q00078,legal,15,0.756448,0.863015
17,A,q00079,legal,14,0.696162,0.538886
17,A,q00080,security,13,0.218016,0.220092
17,A,q00081,legal,20,1.0,0.718363
17,A,q00082,legal,27,1.0,0.781805
17,A,q00083,procurement,18,0.0,0.0
17,A,q00084,legal,20,0.930569,0.857205
17,A,q00085,security,18,0.220092,0.434175
17,A,q00086,legal,20,0.845426,0.715186
17,A,q00087,procurement,11,0.268553,0.066254
17,A,q00088,security,19,0.0,0.305235
17,A,q00089,procurement,20,0.498572,0.110046
17,A,q00090,security,24,0.488547,0.580148
17,A,q00091,security,19,0.449887,0.630043
17,A,q00092,procurement,20,0.523174,0.453743
17,A,q00093,security,13,0.218016,0.220092
17,A,q00094,procurement,18,0.563788,0.542364
17,A,q00095,security,9,0.235046,0.352568
17,A,q00096,security,13,0.454498,0.648932
17,A,q00097,legal,20,1.0,0.78855
17,A,q00098,legal,15,0.785916,0.608618
17,A,q00099,security,18,0.220092,0.434175
17,A,q00100,security,28,0.852171,0.930569
17,A,q00101,legal,20,0.926636,0.785916
17,A,q00102,legal,14,0.586795,0.583433
17,A,q00103,procurement,16,0.501749,0.358954
17,A,q00104,legal,18,0.724153,0.349967
17,A,q00105,security,13,0.381134,0.637152
17,A,q00106,procurement,11,0.248908,0.283713
17,A,q00107,legal,13,0.866948,0.415281
17,A,q00108,legal,13,0.933746,0.469
17,A,q00109,security,28,0.864315,1.0
17,A,q00110,legal,20,0.930569,0.857205
17,A,q00111,procurement,16,0.343018,0.110046
17,A,q00112,security,22,0.428385,0.425208
17,A,q00113,legal,20,1.0,0.841591
