qid,qtype,arm,budget,variants,joint_recall,candidate_joint_recall,session_joint_recall,turn_r10,turn_ndcg10,sess_r5,rendered_tokens,duplicate_share,n_candidates,n_rendered,n_truncated,truncated_evidence,missing,cut_evidence
gpt4_2f584639,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,4000,0.0,66,55,1,0,False,0
gpt4_2f584639,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,4000,0.0,100,19,1,0,False,0
gpt4_2f584639,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,4000,0.0,100,17,1,0,False,0
gpt4_2f584639,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,0.6052602440527057,1.0,4000,0.0,55,47,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,48,48,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_primary_norule,4000,,1.0,1.0,1.0,1.0,0.4911492931622974,1.0,4000,0.0,100,19,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,48,39,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,3686,0.0,51,51,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,48,48,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,0.5437713091520254,1.0,4000,0.0,51,47,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,48,48,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,48,48,1,0,False,0
gpt4_2f584639,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,0.6052602440527057,1.0,4000,0.0,55,47,1,0,False,0
gpt4_2f584639,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,6588,0.0,66,101,0,0,False,0
gpt4_2f584639,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,7992,0.0,100,53,0,0,False,0
gpt4_2f584639,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,7999,0.0,100,47,0,0,False,0
gpt4_2f584639,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,0.6052602440527057,1.0,4534,0.0,55,55,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4080,0.0,48,48,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,1.0,0.4911492931622974,1.0,8000,0.0,100,36,1,0,False,0
gpt4_2f584639,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4564,0.0,48,48,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,3686,0.0,51,51,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4080,0.0,48,48,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,0.5437713091520254,1.0,4315,0.0,51,51,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4080,0.0,48,48,0,0,False,0
gpt4_2f584639,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4080,0.0,48,48,0,0,False,0
gpt4_2f584639,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,1.0,0.6052602440527057,1.0,4534,0.0,55,55,0,0,False,0
gpt4_2f584639,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",1.0,1.0,1.0,0.5,0.3065735963827292,1.0,4000,0.0,221,2,1,1,False,0
gpt4_2f584639,temporal-reasoning,chandan_full,4000,shipped,1.0,1.0,1.0,0.5,0.3065735963827292,1.0,4000,0.0,221,2,1,1,False,0
gpt4_2f584639,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",1.0,1.0,1.0,0.5,0.3065735963827292,1.0,8000,0.0,221,4,1,0,False,0
gpt4_2f584639,temporal-reasoning,chandan_full,8000,shipped,1.0,1.0,1.0,0.5,0.3065735963827292,1.0,8000,0.0,221,4,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,0.7686741786309024,0.8333333333333334,4000,0.0,46,63,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,0.8333333333333334,0.5852404021106663,0.8333333333333334,4000,0.0,100,20,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_sentence_norule,4000,,0.0,1.0,1.0,0.6666666666666666,0.4941479988872082,0.8333333333333334,4000,0.0,100,16,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,0.8333333333333334,0.6581662238142739,0.8333333333333334,2779,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary_norule,4000,,0.0,1.0,0.0,0.6666666666666666,0.4210450676257571,0.8333333333333334,4000,0.0,100,16,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,0.6666666666666666,0.6508562437134188,0.8333333333333334,2489,0.0,37,37,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
