k,query_id,aspect,n_relevant,sim_pooled,sim_maxcard,ndcg10_pooled,ndcg10_oraclecard,ndcg10_inferredcard,ndcg10_chunk,recall10_pooled,recall10_maxcard
1,q00000,engineering,3,0.407379,0.407379,0.967468,0.967468,0.967468,0.946902,1.0,1.0
1,q00001,logistics,6,0.376791,0.376791,0.628322,0.628322,0.685095,0.641557,0.666667,0.666667
1,q00002,legal,4,0.459244,0.459244,0.61989,0.61989,0.627182,0.649223,1.0,1.0
1,q00003,marketing,5,0.42008,0.42008,0.868795,0.868795,0.446153,0.974743,0.8,0.8
1,q00004,research,3,0.376436,0.376436,0.967468,0.967468,0.932521,0.921787,1.0,1.0
1,q00005,legal,4,0.439235,0.439235,0.944718,0.944718,0.705357,0.970929,1.0,1.0
1,q00006,engineering,5,0.44522,0.44522,0.975788,0.975788,0.989606,1.0,1.0,1.0
1,q00007,facilities,1,0.5812,0.5812,1.0,1.0,1.0,1.0,1.0,1.0
1,q00008,engineering,2,0.651428,0.651428,1.0,1.0,1.0,1.0,1.0,1.0
1,q00009,research,3,0.324842,0.324842,0.0,0.0,1.0,0.0,0.0,0.0
1,q00010,personnel,4,0.469345,0.469345,0.766809,0.766809,0.944718,0.961999,0.75,0.75
1,q00011,research,4,0.574784,0.574784,0.56679,0.56679,0.6506,0.820715,1.0,1.0
1,q00012,marketing,3,0.231527,0.231527,0.469279,0.469279,0.469279,0.296082,0.333333,0.333333
1,q00013,logistics,3,0.643181,0.643181,0.88546,0.88546,0.732829,0.819427,1.0,1.0
1,q00014,finance,1,0.526299,0.526299,1.0,1.0,0.5,1.0,1.0,1.0
1,q00015,legal,5,0.527444,0.527444,0.495424,0.495424,0.495424,0.548951,0.8,0.8
1,q00016,logistics,6,0.374033,0.374033,0.812186,0.812186,0.63835,0.963487,0.833333,0.833333
1,q00017,personnel,5,0.64279,0.64279,0.981848,0.981848,0.960925,1.0,1.0,1.0
1,q00018,personnel,6,0.570466,0.570466,0.965137,0.965137,1.0,1.0,1.0,1.0
1,q00019,research,3,0.538059,0.538059,1.0,1.0,1.0,0.967468,1.0,1.0
1,q00020,research,4,0.556804,0.556804,0.587524,0.587524,0.803607,0.883824,1.0,1.0
1,q00021,facilities,5,0.543192,0.543192,0.608477,0.608477,0.966834,0.729922,1.0,1.0
1,q00022,personnel,4,0.525404,0.525404,0.922326,0.922326,0.759834,0.95583,1.0,1.0
1,q00023,procurement,3,0.473142,0.473142,0.932521,0.932521,1.0,1.0,1.0,1.0
1,q00024,security,6,0.557695,0.557695,0.957148,0.957148,0.944574,0.983805,1.0,1.0
1,q00025,finance,4,0.443355,0.443355,1.0,1.0,0.76064,0.982892,1.0,1.0
1,q00026,logistics,3,0.332981,0.332981,0.765361,0.765361,0.498189,1.0,0.666667,0.666667
1,q00027,marketing,2,0.264996,0.264996,0.264068,0.264068,0.0,0.0,0.5,0.5
1,q00028,engineering,2,0.427084,0.427084,1.0,1.0,1.0,1.0,1.0,1.0
1,q00029,personnel,5,0.491807,0.491807,0.447289,0.447289,0.413688,0.843538,0.6,0.6
1,q00030,procurement,2,0.530006,0.530006,0.797723,0.797723,0.797723,0.919721,1.0,1.0
1,q00031,facilities,2,0.628675,0.628675,1.0,1.0,0.877215,1.0,1.0,1.0
1,q00032,procurement,2,0.233821,0.233821,0.0,0.0,0.0,0.0,0.0,0.0
1,q00033,marketing,5,0.509363,0.509363,1.0,1.0,0.539297,1.0,1.0,1.0
1,q00034,personnel,1,0.654094,0.654094,1.0,1.0,1.0,1.0,1.0,1.0
1,q00035,engineering,3,0.484187,0.484187,1.0,1.0,1.0,1.0,1.0,1.0
1,q00036,facilities,6,0.587483,0.587483,0.993078,0.993078,0.892211,1.0,1.0,1.0
1,q00037,engineering,5,0.482088,0.482088,0.951231,0.951231,0.906825,0.906825,1.0,1.0
1,q00038,personnel,5,0.479884,0.479884,0.252016,0.252016,0.477972,0.843538,0.4,0.4
1,q00039,marketing,2,0.394374,0.394374,1.0,1.0,1.0,1.0,1.0,1.0
1,q00040,personnel,4,0.503913,0.503913,0.799175,0.799175,0.888584,0.970929,1.0,1.0
1,q00041,facilities,7,0.564502,0.564502,1.0,1.0,0.988801,1.0,1.0,1.0
1,q00042,marketing,4,0.243267,0.243267,1.0,1.0,0.949389,0.944718,1.0,1.0
1,q00043,personnel,4,0.492375,0.492375,0.95583,0.95583,0.884325,0.982892,1.0,1.0
1,q00044,personnel,4,0.503913,0.503913,0.799175,0.799175,0.888584,0.970929,1.0,1.0
1,q00045,marketing,3,0.326669,0.326669,0.625705,0.625705,0.765361,0.463242,0.666667,0.666667
1,q00046,research,3,0.490275,0.490275,1.0,1.0,0.906025,0.817981,1.0,1.0
1,q00047,security,6,0.478002,0.478002,0.792382,0.792382,0.822729,0.936171,0.833333,0.833333
1,q00048,personnel,1,0.638336,0.638336,1.0,1.0,1.0,1.0,1.0,1.0
1,q00049,facilities,6,0.58789,0.58789,0.993078,0.993078,0.86262,1.0,1.0,1.0
1,q00050,marketing,3,0.268542,0.268542,0.671386,0.671386,0.765361,0.604931,0.666667,0.666667
1,q00051,engineering,4,0.463086,0.463086,0.95583,0.95583,1.0,1.0,1.0,1.0
1,q00052,facilities,2,0.565647,0.565647,1.0,1.0,0.919721,1.0,1.0,1.0
1,q00053,personnel,4,0.492375,0.492375,0.95583,0.95583,0.884325,0.982892,1.0,1.0
1,q00054,personnel,1,0.589227,0.589227,1.0,1.0,1.0,1.0,1.0,1.0
1,q00055,procurement,1,0.363258,0.363258,0.386853,0.386853,1.0,0.0,1.0,1.0
1,q00056,finance,5,0.578435,0.578435,0.966834,0.966834,0.868795,1.0,1.0,1.0
1,q00057,facilities,5,0.53735,0.53735,0.981848,0.981848,0.970892,0.989606,1.0,1.0
1,q00058,personnel,4,0.567124,0.567124,0.80481,0.80481,0.904717,0.766809,0.75,0.75
1,q00059,marketing,4,0.370791,0.370791,0.787702,0.787702,0.636682,0.787702,0.75,0.75
1,q00060,personnel,1,0.654094,0.654094,1.0,1.0,1.0,1.0,1.0,1.0
1,q00061,logistics,5,0.474645,0.474645,0.974743,0.974743,0.950531,0.989606,1.0,1.0
1,q00062,security,3,0.503845,0.503845,0.852928,0.852928,0.852928,0.932521,1.0,1.0
1,q00063,finance,6,0.456166,0.456166,0.965137,0.965137,0.86262,0.935546,1.0,1.0
1,q00064,marketing,5,0.42008,0.42008,0.868795,0.868795,0.446153,0.974743,0.8,0.8
1,q00065,research,3,0.293668,0.293668,0.202107,0.202107,0.732829,0.0,0.333333,0.333333
1,q00066,marketing,4,0.287457,0.287457,0.982892,0.982892,0.849435,0.944718,1.0,1.0
1,q00067,procurement,6,0.574391,0.574391,0.892211,0.892211,0.983303,1.0,0.833333,0.833333
1,q00068,marketing,3,0.268779,0.268779,0.0,0.0,0.469279,0.469279,0.0,0.0
1,q00069,procurement,4,0.35311,0.35311,0.724626,0.724626,1.0,1.0,0.75,0.75
1,q00070,engineering,5,0.414355,0.414355,0.974743,0.974743,0.956591,1.0,1.0,1.0
1,q00071,engineering,5,0.563488,0.563488,1.0,1.0,1.0,1.0,1.0,1.0
1,q00072,engineering,2,0.435733,0.435733,1.0,1.0,1.0,0.850345,1.0,1.0
1,q00073,security,4,0.42138,0.42138,0.982892,0.982892,0.982892,1.0,1.0,1.0
1,q00074,personnel,4,0.492375,0.492375,0.95583,0.95583,0.884325,0.982892,1.0,1.0
1,q00075,personnel,4,0.525404,0.525404,0.922326,0.922326,0.759834,0.95583,1.0,1.0
1,q00076,finance,5,0.372873,0.372873,0.671064,0.671064,0.874855,0.77562,0.8,0.8
1,q00077,finance,2,0.509351,0.509351,0.60526,0.60526,1.0,1.0,1.0,1.0
1,q00078,legal,2,0.638453,0.638453,1.0,1.0,1.0,0.919721,1.0,1.0
1,q00079,procurement,3,0.372227,0.372227,0.88546,0.88546,0.921787,0.88546,1.0,1.0
1,q00080,marketing,4,0.311359,0.311359,0.636682,0.636682,0.558508,0.636682,0.5,0.5
1,q00081,finance,6,0.54295,0.54295,0.882937,0.882937,0.766888,1.0,0.833333,0.833333
1,q00082,security,4,0.410312,0.410312,0.982892,0.982892,0.949389,0.58557,1.0,1.0
1,q00083,facilities,3,0.555247,0.555247,0.845185,0.845185,1.0,0.697882,1.0,1.0
1,q00084,procurement,4,0.461825,0.461825,0.892754,0.892754,0.642281,0.871214,1.0,1.0
1,q00085,personnel,4,0.493468,0.493468,0.658916,0.658916,0.970929,0.833213,0.75,0.75
1,q00086,research,3,0.534898,0.534898,1.0,1.0,0.773746,0.967468,1.0,1.0
1,q00087,research,2,0.353652,0.353652,0.184576,0.184576,0.0,0.0,0.5,0.5
1,q00088,legal,3,0.616766,0.616766,1.0,1.0,1.0,0.913402,1.0,1.0
1,q00089,finance,1,0.448615,0.448615,1.0,1.0,0.430677,1.0,1.0,1.0
1,q00090,procurement,5,0.388616,0.388616,0.937413,0.937413,0.82972,0.106993,1.0,1.0
1,q00091,marketing,4,0.311359,0.311359,0.636682,0.636682,0.558508,0.636682,0.5,0.5
1,q00092,research,5,0.656574,0.656574,0.981848,0.981848,1.0,0.989606,1.0,1.0
1,q00093,logistics,1,0.548299,0.548299,1.0,1.0,0.63093,1.0,1.0,1.0
1,q00094,finance,5,0.51943,0.51943,0.868795,0.868795,0.868795,1.0,0.8,0.8
1,q00095,security,3,0.519753,0.519753,0.469279,0.469279,0.296082,0.469279,0.333333,0.333333
1,q00096,engineering,2,0.397052,0.397052,1.0,1.0,0.650921,1.0,1.0,1.0
