query_id,n_relevant,dense-pooled_ndcg10,dense-pooled_recall10,dense-pooled_recall100,dense-pooled_judged10,dense-chunk_ndcg10,dense-chunk_recall10,dense-chunk_recall100,dense-chunk_judged10,cards-static_ndcg10,cards-static_recall10,cards-static_recall100,cards-static_judged10,cards-llm_ndcg10,cards-llm_recall10,cards-llm_recall100,cards-llm_judged10
1,1,0.386853,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,0.1
3,1,0.5,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.5,1.0,1.0,0.1,0.430677,1.0,1.0,0.1
5,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
13,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36,2,0.491149,1.0,1.0,0.2,0.402983,1.0,1.0,0.2,0.441307,1.0,1.0,0.2,0.491149,1.0,1.0,0.2
42,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
48,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
49,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
50,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.1,0.5,1.0,1.0,0.1
51,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
53,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
54,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
56,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
57,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
70,2,0.0,0.0,1.0,0.0,0.193426,0.5,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
72,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1
75,1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,0.1,0.5,1.0,1.0,0.1
94,1,0.5,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
99,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1
100,1,0.5,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.30103,1.0,1.0,0.1,0.0,0.0,1.0,0.0
113,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
115,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
118,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1
124,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
127,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.289065,1.0,1.0,0.1,0.0,0.0,1.0,0.0
128,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
129,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
130,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
132,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,5,0.639945,0.6,1.0,0.3,0.383566,0.4,1.0,0.2,0.504378,0.6,1.0,0.3,0.629552,0.6,1.0,0.3
137,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
141,2,0.919721,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.850345,1.0,1.0,0.2,0.919721,1.0,1.0,0.2
142,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
143,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
146,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
148,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.5,1.0,1.0,0.1,0.430677,1.0,1.0,0.1
163,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1
171,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
179,4,0.95583,1.0,1.0,0.4,0.922326,1.0,1.0,0.4,0.748676,1.0,1.0,0.4,0.76064,1.0,1.0,0.4
180,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
183,1,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,0.5,1.0,1.0,0.1
185,1,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,0.315465,1.0,1.0,0.1,1.0,1.0,1.0,0.1
198,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1
208,1,0.5,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.1
212,1,0.356207,1.0,1.0,0.1,0.5,1.0,1.0,0.1,0.315465,1.0,1.0,0.1,0.386853,1.0,1.0,0.1
213,1,0.386853,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,0.333333,1.0,1.0,0.1,0.333333,1.0,1.0,0.1
216,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
217,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
218,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
219,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
230,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
232,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1
233,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
236,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
237,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.1
238,1,0.63093,1.0,1.0,0.1,0.315465,1.0,1.0,0.1,0.430677,1.0,1.0,0.1,0.5,1.0,1.0,0.1
239,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
248,1,0.5,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,0.1
249,1,0.5,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.1
261,2,0.204382,0.5,1.0,0.1,0.204382,0.5,1.0,0.1,0.218407,0.5,1.0,0.1,0.193426,0.5,1.0,0.1
268,1,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,0.386853,1.0,1.0,0.1
269,1,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,0.1,0.356207,1.0,1.0,0.1,0.315465,1.0,1.0,0.1
274,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
275,3,0.679731,1.0,1.0,0.3,0.66535,1.0,1.0,0.3,0.765361,0.666667,1.0,0.2,0.431734,0.666667,1.0,0.2
279,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
294,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
295,1,0.5,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,0.1
298,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1
300,1,0.430677,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.1
303,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
314,1,0.0,0.0,1.0,0.0,0.315465,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.315465,1.0,1.0,0.1
324,1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0
327,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
338,1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1
343,2,0.831555,1.0,1.0,0.2,0.877215,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.919721,1.0,1.0,0.2
350,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
354,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
362,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1
380,1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.5,1.0,1.0,0.1,0.5,1.0,1.0,0.1
384,1,0.0,0.0,1.0,0.0,0.289065,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
385,2,0.693426,1.0,1.0,0.2,0.693426,1.0,1.0,0.2,0.570642,1.0,1.0,0.2,0.693426,1.0,1.0,0.2
386,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
388,1,0.63093,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,0.1,0.63093,1.0,1.0,0.1
399,1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1
