item_index,label,gate_score,passed
1661,1,2.299531,1
6086,0,0.851708,1
1628,1,3.076424,1
287,1,3.238132,1
5167,0,-2.067649,0
4995,0,-2.263673,0
4569,0,-0.999534,1
5103,0,-0.465061,1
2630,1,1.082929,1
2176,1,1.671121,1
2682,1,2.288208,1
7559,0,-1.80933,0
1825,1,-0.244753,1
5832,0,-2.708306,0
3302,1,3.720528,1
1324,1,3.482271,1
5458,0,-1.401246,0
2534,1,-1.223576,1
7914,0,-1.608208,0
2852,1,0.197509,1
5925,0,-1.509806,0
6811,0,-0.260802,1
5999,0,-2.403284,0
7755,0,-0.573077,1
5114,0,-2.654105,0
5220,0,-3.874478,0
4042,0,-0.686579,1
5172,0,-0.454622,1
6512,0,-1.286404,0
7165,0,-2.255009,0
4711,0,-1.09719,1
7984,0,-0.185551,1
3753,1,2.116336,1
4138,0,-0.655049,1
3771,1,2.095026,1
3964,1,-1.592213,0
2410,1,-1.708514,0
841,1,0.161289,1
1107,1,1.221431,1
1469,1,-0.535202,1
1164,1,2.061457,1
4875,0,-0.725059,1
4293,0,-2.80509,0
1016,1,0.695023,1
1449,1,0.227007,1
4680,0,-3.152856,0
4652,0,-0.609619,1
6253,0,-2.756889,0
1243,1,1.854357,1
4252,0,-2.780233,0
1156,1,3.534231,1
1885,1,3.19379,1
3793,1,1.961725,1
2120,1,1.157648,1
1078,1,-0.408631,1
3458,1,3.346679,1
6333,0,1.040117,1
4229,0,-2.180593,0
404,1,2.88812,1
6159,0,-2.227615,0
4919,0,-2.830523,0
2851,1,1.452526,1
4348,0,-2.03917,0
2207,1,2.227474,1
7603,0,-1.887279,0
5625,0,-2.435143,0
5282,0,-0.678205,1
1197,1,3.002549,1
2371,1,1.391687,1
4279,0,-1.952376,0
5987,0,-0.358911,1
4224,0,-1.567598,0
5126,0,-1.14036,1
1200,1,3.294961,1
7737,0,-1.388157,0
2977,1,0.255215,1
2638,1,2.989826,1
799,1,1.248456,1
4128,0,-0.924193,1
293,1,-0.21516,1
7782,0,-1.750391,0
7763,0,-1.734469,0
7310,0,-2.528788,0
4292,0,-0.289529,1
6821,0,-2.338916,0
6767,0,-0.154424,1
7811,0,-1.509481,0
5302,0,-1.970852,0
3361,1,2.520309,1
6711,0,-1.3872,0
2149,1,3.066126,1
2164,1,2.273383,1
3443,1,2.955686,1
3500,1,0.671328,1
7113,0,-1.531747,0
7575,0,3.24808,1
2244,1,2.153017,1
3744,1,2.114773,1
5924,0,-1.20229,1
4421,0,-1.45901,0
138,1,0.607713,1
3625,1,3.215981,1
