task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,judged_covered,judged_coverage_rate,judged_beyond_selection,unsupported_word_rate,output_words,cached
q0000,relevance,machine,5,3,3,0.6,2,0.4,0,0.434783,56,1
q0000,relevance,human,5,3,3,0.6,3,0.6,0,0.387097,49,1
q0000,harvest,machine,5,5,3,0.6,3,0.6,0,0.481481,56,1
q0000,harvest,human,5,5,3,0.6,2,0.4,0,0.36,38,1
q0001,relevance,machine,4,2,2,0.5,2,0.5,0,0.0,110,1
q0001,relevance,human,4,2,1,0.25,2,0.5,0,0.368421,40,1
q0001,harvest,machine,4,2,2,0.5,2,0.5,0,0.4375,88,1
q0001,harvest,human,4,2,1,0.25,1,0.25,0,0.318182,48,1
q0002,relevance,machine,4,1,1,0.25,0,0.0,0,0.529412,109,1
q0002,relevance,human,4,1,1,0.25,1,0.25,0,0.428571,38,1
q0002,harvest,machine,4,3,0,0.0,1,0.25,0,0.076923,61,1
q0002,harvest,human,4,3,0,0.0,1,0.25,0,0.333333,40,1
q0003,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.428571,58,1
q0003,relevance,human,6,2,1,0.166667,2,0.333333,0,0.4,32,1
q0003,harvest,machine,6,5,0,0.0,2,0.333333,0,0.5,91,1
q0003,harvest,human,6,5,0,0.0,2,0.333333,0,0.315789,33,1
q0004,relevance,machine,5,1,1,0.2,1,0.2,0,0.470588,92,1
q0004,relevance,human,5,1,0,0.0,1,0.2,0,0.551724,48,1
q0004,harvest,machine,5,3,0,0.0,0,0.0,0,0.5,73,1
q0004,harvest,human,5,3,0,0.0,0,0.0,0,0.133333,31,1
q0005,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.24,72,1
q0005,relevance,human,6,2,0,0.0,2,0.333333,0,0.157895,41,1
q0005,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.095238,43,1
q0005,harvest,human,6,3,1,0.166667,2,0.333333,0,0.0,35,1
