query_id,pool,n_relevant,L0_pooled,I_instruction,L5_views
q00000,security,18,0.224006,0.229796,0.220092
q00001,procurement,27,0.318794,0.372591,0.779171
q00002,legal,26,0.539641,0.400671,1.0
q00003,legal,25,0.094788,0.305235,0.206416
q00004,procurement,26,0.330138,0.248908,0.427244
q00005,procurement,29,0.0,0.224006,0.233651
q00006,procurement,21,0.094788,0.0,0.18341
q00007,security,33,0.554143,0.453743,0.706563
q00008,procurement,23,0.188444,0.138862,0.469
q00009,legal,31,0.423331,0.239441,1.0
q00010,security,31,0.322272,0.678504,1.0
q00011,security,24,0.370636,0.538886,0.715186
q00012,security,30,0.403502,0.220092,0.930569
q00013,security,26,0.31488,0.195189,0.245731
q00014,legal,19,0.413128,0.233651,1.0
q00015,legal,27,0.0,0.110046,0.611795
q00016,security,24,0.434175,0.469454,1.0
q00017,security,31,0.136985,0.299905,0.466642
q00018,procurement,28,0.0,0.0,0.576323
q00019,legal,27,0.838957,0.60514,1.0
q00020,legal,24,0.363526,0.390927,0.349967
q00021,procurement,22,0.330138,0.129875,0.396392
q00022,security,23,0.205117,0.283233,0.520618
q00023,legal,27,0.0,0.110046,0.611795
q00024,security,31,0.74119,0.699474,0.914857
q00025,legal,38,0.826813,0.921602,0.684837
q00026,security,27,0.632541,0.368856,0.921602
q00027,security,33,0.554143,0.453743,0.706563
q00028,legal,38,0.826813,0.921602,0.684837
q00029,legal,24,0.44092,0.16422,1.0
q00030,security,31,0.388244,0.800694,0.936379
q00031,security,33,0.554143,0.453743,0.706563
q00032,legal,24,0.293437,0.138862,0.933746
q00033,procurement,24,0.312049,0.227938,0.432318
q00034,procurement,29,0.31488,0.358954,0.61683
q00035,procurement,27,0.318794,0.372591,0.779171
q00036,legal,27,0.711618,0.608317,1.0
q00037,procurement,17,0.252841,0.069431,0.715551
q00038,legal,22,0.511651,0.362887,0.705905
q00039,legal,24,0.363526,0.390927,0.349967
q00040,security,19,0.310171,0.069431,0.538431
q00041,security,33,0.133052,0.0,0.711618
q00042,procurement,23,0.457675,0.278481,0.253295
q00043,procurement,27,0.205117,0.469,0.863015
q00044,security,30,0.362887,0.289523,1.0
q00045,security,30,0.362887,0.289523,1.0
q00046,procurement,32,0.212226,0.466642,0.460813
q00047,legal,24,0.399569,0.268737,1.0
q00048,legal,27,0.085143,0.129875,0.589428
q00049,security,31,0.136985,0.330138,0.561713
q00050,legal,25,0.063621,0.173667,0.168152
q00051,procurement,22,0.0,0.073364,0.358954
q00052,security,22,0.441285,0.478422,0.653147
q00053,security,18,0.224006,0.229796,0.220092
q00054,security,18,0.224006,0.229796,0.220092
q00055,legal,25,0.8237,0.608317,1.0
q00056,procurement,24,0.312049,0.227938,0.432318
q00057,security,27,0.444097,0.358954,0.715186
q00058,legal,27,0.711618,0.608317,1.0
q00059,legal,26,0.539641,0.400671,1.0
q00060,legal,32,0.620762,0.613653,1.0
q00061,legal,24,0.478902,0.385048,0.926636
q00062,legal,31,0.319095,0.195189,1.0
q00063,legal,24,0.29849,0.220092,0.523929
q00064,procurement,27,0.318794,0.372591,0.779171
q00065,legal,26,0.442022,0.343018,0.936379
q00066,legal,24,0.400671,0.464291,0.399569
q00067,procurement,27,0.205117,0.469,0.863015
q00068,legal,31,0.532141,0.385893,0.905212
q00069,legal,19,0.413128,0.233651,1.0
q00070,procurement,29,0.547398,0.645755,0.851236
q00071,security,31,0.136985,0.299905,0.466642
q00072,procurement,23,0.208294,0.330138,0.179931
q00073,procurement,29,0.331694,0.078398,0.712552
q00074,security,19,0.422575,0.142019,0.797517
q00075,legal,27,0.838957,0.60514,1.0
q00076,security,24,0.434175,0.469454,1.0
q00077,procurement,29,0.432318,0.494357,0.611474
q00078,procurement,28,0.0,0.0,0.576323
q00079,procurement,28,0.49829,0.085143,0.603608
q00080,legal,38,0.770204,0.855348,0.64029
q00081,security,23,0.281658,0.393758,0.161043
q00082,procurement,27,0.318794,0.372591,0.779171
q00083,security,19,0.422575,0.142019,0.797517
q00084,security,33,0.220092,0.063621,0.507718
q00085,procurement,29,0.432318,0.494357,0.611474
q00086,legal,22,0.511651,0.362887,0.705905
q00087,procurement,23,0.252841,0.366703,0.59586
q00088,security,22,0.066254,0.362111,0.722295
q00089,security,19,0.310171,0.069431,0.538431
q00090,procurement,27,0.355777,0.473387,0.453743
q00091,security,18,0.224006,0.229796,0.220092
q00092,security,18,0.069431,0.078398,0.29849
q00093,security,26,0.396392,0.144652,0.129875
q00094,legal,24,0.44092,0.16422,1.0
q00095,procurement,32,0.138862,0.495939,0.533377
q00096,security,33,0.353144,0.0,0.61225
q00097,legal,25,0.215018,0.278481,0.138862
q00098,security,19,0.310171,0.069431,0.538431
q00099,legal,28,0.746705,0.693663,0.926636
q00100,legal,27,0.371489,0.078398,0.642187
q00101,legal,25,0.063621,0.173667,0.168152
q00102,procurement,23,0.205117,0.158409,0.437807
q00103,security,31,0.74119,0.699474,0.914857
q00104,legal,26,0.442022,0.343018,0.936379
q00105,security,27,0.444097,0.358954,0.715186
q00106,procurement,29,0.224006,0.161043,0.148764
q00107,procurement,29,0.0,0.224006,0.233651
q00108,legal,25,0.8237,0.608317,1.0
q00109,procurement,32,0.378599,0.393758,0.586795
q00110,security,24,0.434175,0.469454,1.0
q00111,procurement,26,0.368856,0.289523,0.772062
q00112,procurement,21,0.094788,0.0,0.18341
q00113,security,18,0.069431,0.078398,0.29849
q00114,security,23,0.205117,0.283233,0.520618
q00115,legal,31,0.484712,0.25881,1.0
q00116,procurement,29,0.331694,0.078398,0.712552
q00117,procurement,29,0.0,0.29849,0.31488
q00118,legal,28,0.746705,0.693663,0.926636
q00119,procurement,23,0.205117,0.158409,0.437807
q00120,procurement,29,0.331694,0.078398,0.712552
q00121,procurement,17,0.0,0.094788,0.564544
q00122,procurement,21,0.297369,0.066254,0.408536
q00123,legal,25,0.779171,0.654722,1.0
q00124,legal,38,0.826813,0.921602,0.684837
q00125,legal,25,0.063621,0.173667,0.168152
q00126,procurement,21,0.094788,0.0,0.18341
q00127,procurement,22,0.330138,0.129875,0.396392
q00128,security,31,0.179477,0.49464,0.603608
q00129,legal,32,0.637152,0.701973,1.0
q00130,legal,19,0.413128,0.233651,1.0
q00131,legal,28,0.705808,0.772062,0.905212
q00132,procurement,29,0.0,0.29849,0.31488
q00133,security,18,0.069431,0.078398,0.29849
q00134,security,42,0.293437,0.542364,0.698796
q00135,legal,32,0.864315,0.613653,1.0
q00136,procurement,23,0.457675,0.278481,0.253295
q00137,security,33,0.554143,0.453743,0.706563
q00138,security,31,0.74119,0.699474,0.914857
q00139,security,30,0.403502,0.220092,0.930569
q00140,procurement,27,0.318794,0.372591,0.779171
q00141,security,23,0.094788,0.289523,0.438108
q00142,security,42,0.293437,0.542364,0.698796
q00143,security,31,0.388244,0.800694,0.936379
q00144,security,31,0.136985,0.330138,0.561713
q00145,procurement,24,0.312049,0.227938,0.432318
q00146,security,19,0.310171,0.069431,0.538431
q00147,procurement,22,0.330138,0.129875,0.396392
q00148,legal,19,0.678504,0.422095,1.0
q00149,security,31,0.179477,0.49464,0.603608
1,,1,0.386853,0.0,0.0
3,,1,0.430677,1.0,0.0
5,,1,0.5,1.0,1.0
13,,1,0.0,0.0,0.0
36,,2,0.386853,0.306574,0.0
42,,1,1.0,1.0,1.0
48,,1,0.5,0.430677,1.0
49,,1,1.0,1.0,1.0
50,,1,1.0,1.0,1.0
51,,1,1.0,1.0,1.0
53,,1,1.0,1.0,1.0
54,,1,1.0,1.0,1.0
