workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.378501,0.563788
A,q00001,procurement,27,0.538886,0.424926
A,q00002,legal,26,0.936379,0.44803
A,q00003,legal,25,0.554143,0.453743
A,q00004,procurement,26,0.312529,0.0
A,q00005,procurement,29,0.570404,0.396392
A,q00006,procurement,21,0.25833,0.312049
A,q00007,security,33,0.591927,0.848603
A,q00008,procurement,23,0.29849,0.353144
A,q00009,legal,31,0.936379,0.451667
A,q00010,security,31,0.706584,0.696938
A,q00011,security,24,0.447254,0.161043
A,q00012,security,30,0.517363,0.371854
A,q00013,security,26,0.415281,0.330138
A,q00014,legal,19,0.763193,0.595762
A,q00015,legal,27,0.930569,0.78855
A,q00016,security,24,0.371489,0.154574
A,q00017,security,31,0.627507,0.138862
A,q00018,procurement,28,0.542364,0.425208
A,q00019,legal,27,0.936379,0.784617
A,q00020,legal,24,0.261808,0.254698
A,q00021,procurement,22,0.693663,0.563788
A,q00022,security,23,0.289523,0.138862
A,q00023,legal,27,0.930569,0.78855
A,q00024,security,31,0.643404,0.712374
A,q00025,legal,38,0.933746,0.655548
A,q00026,security,27,0.305235,0.393758
A,q00027,security,33,0.591927,0.848603
A,q00028,legal,38,0.933746,0.655548
A,q00029,legal,24,0.930569,0.72733
A,q00030,security,31,0.747159,0.674571
A,q00031,security,33,0.591927,0.848603
A,q00032,legal,24,0.848238,0.602808
A,q00033,procurement,24,0.567227,0.325429
A,q00034,procurement,29,0.168152,0.138862
A,q00035,procurement,27,0.538886,0.424926
A,q00036,legal,27,0.851236,0.658181
A,q00037,procurement,17,0.358954,0.069431
A,q00038,legal,22,1.0,0.703407
A,q00039,legal,24,0.261808,0.254698
A,q00040,security,19,0.591927,0.358954
A,q00041,security,33,0.367921,0.274265
A,q00042,procurement,23,0.233651,0.444097
A,q00043,procurement,27,0.800694,0.31488
A,q00044,security,30,0.532141,0.463644
A,q00045,security,30,0.532141,0.463644
A,q00046,procurement,32,0.420217,0.800694
A,q00047,legal,24,0.838957,0.790951
A,q00048,legal,27,0.866948,0.793584
A,q00049,security,31,0.448215,0.289523
A,q00050,legal,25,0.547398,0.422575
A,q00051,procurement,22,0.220092,0.478422
A,q00052,security,22,0.563788,0.293456
A,q00053,security,18,0.378501,0.563788
A,q00054,security,18,0.378501,0.563788
A,q00055,legal,25,0.70151,0.930569
A,q00056,procurement,24,0.567227,0.325429
A,q00057,security,27,0.358954,0.358954
A,q00058,legal,27,0.851236,0.658181
A,q00059,legal,26,0.936379,0.44803
A,q00060,legal,32,1.0,0.855348
A,q00061,legal,24,0.677728,0.399569
A,q00062,legal,31,0.936379,0.430421
A,q00063,legal,24,0.205117,0.063621
A,q00064,procurement,27,0.538886,0.424926
A,q00065,legal,26,0.870125,0.473387
A,q00066,legal,24,0.30316,0.280882
A,q00067,procurement,27,0.800694,0.31488
A,q00068,legal,31,0.652088,0.469
A,q00069,legal,19,0.763193,0.595762
A,q00070,procurement,29,0.690648,0.063621
A,q00071,security,31,0.627507,0.138862
A,q00072,procurement,23,0.358954,0.469
A,q00073,procurement,29,0.469,0.073364
A,q00074,security,19,0.510352,0.469
A,q00075,legal,27,0.936379,0.784617
A,q00076,security,24,0.371489,0.154574
A,q00077,procurement,29,0.715551,0.085143
A,q00078,procurement,28,0.542364,0.425208
A,q00079,procurement,28,0.693663,0.286346
A,q00080,legal,38,1.0,0.754269
A,q00081,security,23,0.293456,0.307015
A,q00082,procurement,27,0.538886,0.424926
A,q00083,security,19,0.510352,0.469
A,q00084,security,33,0.274548,0.188444
A,q00085,procurement,29,0.715551,0.085143
A,q00086,legal,22,1.0,0.703407
A,q00087,procurement,23,0.307015,0.073364
A,q00088,security,22,0.677273,0.637152
A,q00089,security,19,0.591927,0.358954
A,q00090,procurement,27,0.0,0.0
A,q00091,security,18,0.378501,0.563788
A,q00092,security,18,0.513529,0.627409
A,q00093,security,26,0.305235,0.248908
A,q00094,legal,24,0.930569,0.72733
A,q00095,procurement,32,0.351068,0.790951
A,q00096,security,33,0.357076,0.274265
A,q00097,legal,25,0.415281,0.488645
A,q00098,security,19,0.591927,0.358954
A,q00099,legal,28,0.852171,0.078398
A,q00100,legal,27,0.841591,0.61804
A,q00101,legal,25,0.547398,0.422575
A,q00102,procurement,23,0.510716,0.248908
A,q00103,security,31,0.643404,0.712374
A,q00104,legal,26,0.870125,0.473387
A,q00105,security,27,0.358954,0.358954
A,q00106,procurement,29,0.547398,0.202483
A,q00107,procurement,29,0.570404,0.396392
A,q00108,legal,25,0.70151,0.930569
A,q00109,procurement,32,0.440067,0.72733
A,q00110,security,24,0.371489,0.154574
A,q00111,procurement,26,0.278198,0.215018
A,q00112,procurement,21,0.25833,0.312049
A,q00113,security,18,0.513529,0.627409
A,q00114,security,23,0.289523,0.138862
A,q00115,legal,31,0.936379,0.646402
A,q00116,procurement,29,0.469,0.073364
A,q00117,procurement,29,0.672239,0.220092
A,q00118,legal,28,0.852171,0.078398
A,q00119,procurement,23,0.510716,0.248908
A,q00120,procurement,29,0.469,0.073364
A,q00121,procurement,17,0.337886,0.29849
A,q00122,procurement,21,0.094788,0.246186
A,q00123,legal,25,0.926636,0.936379
A,q00124,legal,38,0.933746,0.655548
A,q00125,legal,25,0.547398,0.422575
A,q00126,procurement,21,0.25833,0.312049
A,q00127,procurement,22,0.693663,0.563788
A,q00128,security,31,0.632541,0.399569
A,q00129,legal,32,0.866948,0.870125
A,q00130,legal,19,0.763193,0.595762
A,q00131,legal,28,0.598875,0.268737
A,q00132,procurement,29,0.672239,0.220092
A,q00133,security,18,0.513529,0.627409
A,q00134,security,42,0.742125,0.936379
