query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.138862,0.205117,0.0,0.148764
q00001,procurement,27,0.577149,0.632541,0.29849,0.767027
q00002,legal,26,1.0,1.0,0.224663,0.936379
q00003,legal,25,0.451667,0.547853,0.066254,0.678504
q00004,procurement,26,0.327761,0.522496,0.399569,0.29849
q00005,procurement,29,0.630043,0.72733,0.358954,0.453743
q00006,procurement,21,0.779171,0.469454,0.249664,0.572756
q00007,security,33,0.683084,0.790951,0.599329,0.444097
q00008,procurement,23,0.242618,0.469,0.330138,0.57369
q00009,legal,31,1.0,1.0,0.750637,0.936379
q00010,security,31,0.936379,0.936379,0.558076,1.0
q00011,security,24,0.547398,0.542364,0.500973,0.711618
q00012,security,30,0.503607,0.648932,0.0,0.541588
q00013,security,26,0.49464,0.574337,0.274265,0.521296
q00014,legal,19,0.852171,0.701973,0.248908,0.781984
q00015,legal,27,1.0,0.930569,0.544676,0.791727
q00016,security,24,0.504906,0.547398,0.529444,0.860382
q00017,security,31,0.642187,0.793584,0.0,0.561713
q00018,procurement,28,0.422575,0.637152,0.358954,0.407317
q00019,legal,27,1.0,1.0,0.477967,0.930569
q00020,legal,24,0.432318,0.362848,0.221193,0.538886
q00021,procurement,22,0.866948,0.432318,0.283713,0.502204
q00022,security,23,0.611795,0.358954,0.0,0.293416
q00023,legal,27,1.0,0.930569,0.544676,0.791727
q00024,security,31,0.870125,0.630043,0.605985,0.841493
q00025,legal,38,0.926636,0.762416,0.627409,0.864315
q00026,security,27,0.648932,0.715551,0.188444,0.42884
q00027,security,33,0.683084,0.790951,0.599329,0.444097
q00028,legal,38,0.926636,0.762416,0.627409,0.864315
q00029,legal,24,1.0,0.936379,0.416382,0.539187
q00030,security,31,0.863015,0.763095,0.588467,0.936379
q00031,security,33,0.683084,0.790951,0.599329,0.444097
q00032,legal,24,0.933746,0.857205,0.233651,0.611775
q00033,procurement,24,0.510716,0.718363,0.293456,0.522496
q00034,procurement,29,0.650513,0.637152,0.0,0.066254
q00035,procurement,27,0.577149,0.632541,0.29849,0.767027
q00036,legal,27,1.0,1.0,0.425208,0.870125
q00037,procurement,17,0.0,0.289523,0.066254,0.085143
q00038,legal,22,1.0,1.0,0.283713,0.681681
q00039,legal,24,0.432318,0.362848,0.221193,0.538886
q00040,security,19,0.523174,0.428385,0.283713,0.604686
q00041,security,33,0.293416,0.648932,0.078398,0.283713
q00042,procurement,23,0.538431,0.428365,0.355777,0.415281
q00043,procurement,27,0.715186,0.866948,0.078398,0.742125
q00044,security,30,0.510716,0.718363,0.085143,0.568004
q00045,security,30,0.510716,0.718363,0.085143,0.568004
q00046,procurement,32,0.930569,0.746705,0.538431,0.8237
q00047,legal,24,0.866948,0.914857,0.375768,0.233651
q00048,legal,27,0.933746,1.0,0.434175,0.680905
q00049,security,31,0.637152,0.686715,0.289523,1.0
q00050,legal,25,0.522496,0.646119,0.094788,0.444097
q00051,procurement,22,0.613653,0.358954,0.138862,0.422575
q00052,security,22,0.506784,0.542364,0.357076,0.866948
q00053,security,18,0.138862,0.205117,0.0,0.148764
q00054,security,18,0.138862,0.205117,0.0,0.148764
q00055,legal,25,0.861138,0.841591,0.532141,0.451667
q00056,procurement,24,0.510716,0.718363,0.293456,0.522496
q00057,security,27,0.72733,0.863015,0.358954,0.632541
q00058,legal,27,1.0,1.0,0.425208,0.870125
q00059,legal,26,1.0,1.0,0.224663,0.936379
q00060,legal,32,1.0,1.0,0.472157,1.0
q00061,legal,24,0.625334,0.831848,0.094788,0.577149
q00062,legal,31,1.0,1.0,0.68045,0.864315
q00063,legal,24,0.303082,0.598875,0.085143,0.151762
q00064,procurement,27,0.577149,0.632541,0.29849,0.767027
q00065,legal,26,1.0,1.0,0.18341,0.864315
q00066,legal,24,0.309352,0.395314,0.142019,0.501749
q00067,procurement,27,0.715186,0.866948,0.078398,0.742125
q00068,legal,31,0.811556,0.690648,0.358954,0.74167
q00069,legal,19,0.852171,0.701973,0.248908,0.781984
q00070,procurement,29,0.752969,0.690194,0.069431,0.527106
q00071,security,31,0.642187,0.793584,0.0,0.561713
q00072,procurement,23,0.563788,0.535254,0.374666,0.35971
q00073,procurement,29,0.469,0.706584,0.205117,0.220092
q00074,security,19,0.453743,0.428385,0.220092,0.503324
