query_id,pool,n_relevant,C0_sample_only,C1_business_context,C2_context_plus_metadata,C3_narrow_objective,L0_pooled,L1_chunks
q00000,logistics,16,0.617764,0.343697,0.31488,0.538886,0.205117,0.447932
q00001,engineering,17,0.870125,1.0,0.936379,0.936379,0.864315,1.0
q00002,logistics,16,0.384311,0.305235,0.29849,0.378599,0.220092,0.469
q00003,engineering,14,0.400023,0.385048,0.356232,0.535254,0.432318,0.563788
q00004,legal,14,0.503607,0.451865,0.069431,0.0,0.0,0.069431
q00005,procurement,18,0.188444,0.305235,0.330138,0.595762,0.173187,0.63322
q00006,engineering,13,0.327307,0.444097,0.453743,0.469,0.415281,0.469
q00007,logistics,15,0.696938,0.563788,0.563788,0.554143,0.16422,0.538886
q00008,finance,21,0.778807,0.765593,0.784617,0.630664,0.523251,0.852171
q00009,security,13,0.469,0.161043,0.094788,0.563788,0.110046,0.623574
q00010,procurement,16,0.469,0.094788,0.204834,0.220092,0.0,0.073364
q00011,legal,20,0.775239,0.708441,0.820069,0.601572,0.691128,0.841591
q00012,engineering,15,0.552265,0.602506,0.538886,0.602052,0.49118,0.72733
q00013,security,28,0.857205,0.522496,0.643404,0.936379,0.753814,1.0
q00014,procurement,14,0.110046,0.139618,0.069431,0.0,0.094788,0.085143
q00015,security,17,0.220092,0.204834,0.204834,0.358954,0.0,0.289977
q00016,engineering,14,1.0,0.718363,0.790951,0.781805,0.242618,0.507718
q00017,finance,20,0.78855,0.848238,0.790951,0.693761,0.212226,0.72733
q00018,legal,16,0.841591,0.855348,0.766349,0.583715,0.362111,0.706584
q00019,procurement,16,0.0,0.0,0.138862,0.220092,0.069431,0.358954
q00020,security,19,0.220092,0.358954,0.358954,0.790951,0.220092,0.551331
q00021,finance,17,0.777872,0.538886,0.681681,0.453743,0.208294,0.533075
q00022,legal,20,0.936379,0.841591,0.930569,0.848238,0.337208,0.857981
q00023,procurement,16,0.627409,0.469,0.429141,0.220092,0.0,0.220092
q00024,legal,27,0.785916,0.642187,0.800694,0.563788,0.538431,0.325429
q00025,security,24,0.772838,0.69684,0.693663,0.936379,0.675416,0.863015
q00026,engineering,20,0.648932,0.790951,0.72733,0.696162,0.519997,0.712552
q00027,legal,16,0.848603,0.790951,0.681681,0.547398,0.358954,0.68045
q00028,security,17,0.358954,0.136985,0.161043,0.321951,0.094788,0.245731
q00029,legal,13,0.55197,0.545156,0.343697,0.063621,0.358954,0.334051
q00030,procurement,18,0.781805,0.611019,0.579783,0.642187,0.136985,0.358954
q00031,engineering,23,0.790951,0.72733,0.72733,0.72733,0.400023,0.72733
q00032,finance,17,0.547398,0.462992,0.506784,0.574337,0.390927,0.527106
q00033,security,12,0.648932,0.424926,0.532141,0.699474,0.378501,0.289977
q00034,procurement,16,0.453743,0.538431,0.424926,0.220092,0.0,0.094788
q00035,legal,15,0.337208,0.242618,0.243098,0.230474,0.151397,0.571635
q00036,engineering,23,0.790951,0.72733,0.72733,0.72733,0.400023,0.72733
q00037,engineering,15,0.517461,0.633297,0.41245,0.715551,0.613653,0.72733
q00038,security,24,0.731447,0.675416,0.712552,0.870125,0.677728,0.504061
q00039,finance,20,0.78855,0.848238,0.790951,0.693761,0.212226,0.72733
q00040,procurement,17,0.138862,0.220092,0.283713,0.220092,0.078398,0.147829
q00041,legal,20,0.775239,0.708441,0.820069,0.601572,0.691128,0.841591
q00042,finance,11,0.138862,0.381134,0.248908,0.274548,0.066254,0.073364
q00043,legal,15,0.860382,0.690648,0.81659,0.398428,0.321951,0.762416
q00044,legal,20,0.78855,0.708441,0.726413,0.721802,0.620762,0.800694
q00045,security,13,0.444097,0.110046,0.110046,0.469,0.094788,0.601572
q00046,legal,20,0.78855,0.708441,0.726413,0.721802,0.620762,0.800694
q00047,security,18,0.0,0.0,0.0,0.358954,0.069431,0.151762
q00048,engineering,15,0.517461,0.633297,0.41245,0.715551,0.613653,0.72733
q00049,logistics,13,0.519997,0.444097,0.428385,0.425208,0.495939,0.554143
q00050,finance,15,0.565825,0.715186,0.800694,0.493679,0.617284,0.705808
q00051,procurement,16,0.0,0.0,0.110046,0.066254,0.0,0.29849
q00052,logistics,25,0.642187,0.620397,0.630043,0.715186,0.513508,0.718363
q00053,legal,20,1.0,0.861138,0.724153,0.705808,0.135685,0.261808
q00054,procurement,16,0.453743,0.110046,0.233651,0.286346,0.0,0.138862
q00055,procurement,11,0.469,0.173187,0.154574,0.605985,0.147829,0.148764
q00056,engineering,14,1.0,0.718363,0.790951,0.781805,0.242618,0.507718
q00057,logistics,18,0.094788,0.110046,0.136985,0.358954,0.063621,0.563788
q00058,procurement,16,0.469,0.469,0.330138,0.220092,0.0,0.063621
q00059,security,18,0.506784,0.428385,0.432318,0.469,0.069431,0.519997
