item_index,label,gate_score,passed
326,1,1.061228,1
486,1,1.044367,1
508,0,-0.988607,0
446,1,0.471789,1
868,0,-1.552501,0
248,1,-0.050551,1
617,0,-1.209034,0
929,0,-1.585808,0
494,1,1.675107,1
616,0,-0.362771,1
587,0,-0.683625,1
548,0,-1.405473,0
880,0,-1.389491,0
68,1,1.337294,1
42,1,1.82884,1
461,1,-0.783848,0
58,1,0.905274,1
296,1,1.254905,1
787,0,-0.866353,0
847,0,-1.325553,0
396,1,0.715494,1
634,0,-1.490518,0
155,1,-0.954833,0
373,1,0.212164,1
37,1,0.884618,1
751,0,-0.701535,1
976,0,-0.922558,0
951,0,-0.461948,1
168,1,0.864974,1
397,1,1.548205,1
980,0,-0.50287,1
358,1,0.06992,1
66,1,1.469637,1
38,1,1.600867,1
700,0,-1.367383,0
148,1,0.918624,1
305,1,-0.227841,1
357,1,0.86026,1
323,1,1.515926,1
767,0,0.046467,1
385,1,1.829822,1
16,1,0.72766,1
715,0,-1.292617,0
405,1,1.45035,1
802,0,-0.823382,0
824,0,0.380153,1
167,1,2.267548,1
153,1,2.68377,1
631,0,-0.371695,1
383,1,0.860404,1
415,1,0.051768,1
800,0,-2.029091,0
128,1,2.784787,1
672,0,-1.139437,0
414,1,0.621222,1
92,1,1.751411,1
854,0,-1.565626,0
520,0,-0.901233,0
860,0,-0.978945,0
3,1,1.390379,1
996,0,-0.812355,0
793,0,-1.559475,0
239,1,1.162029,1
374,1,0.404057,1
45,1,1.20219,1
427,1,-0.386746,1
506,0,-0.932994,0
679,0,-0.693751,1
603,0,0.221475,1
406,1,1.103265,1
289,1,1.504991,1
378,1,-0.421545,1
572,0,-1.072496,0
226,1,1.689523,1
657,0,0.463628,1
902,0,-0.96524,0
468,1,0.295602,1
157,1,1.389872,1
721,0,-0.857185,0
177,1,1.238797,1
739,0,-0.740533,1
493,1,0.636118,1
561,0,-0.870475,0
496,1,0.950281,1
282,1,1.38065,1
761,0,-1.240044,0
509,0,-0.098445,1
789,0,-1.800667,0
905,0,-0.427527,1
318,1,1.452889,1
471,1,0.747422,1
810,0,-0.627222,1
209,1,0.975243,1
522,0,0.747729,1
804,0,-1.583812,0
274,1,0.492697,1
642,0,-0.256026,1
202,1,0.677081,1
911,0,-0.991714,0
942,0,-1.449218,0
807,0,0.367285,1
940,0,-0.243196,1
762,0,-0.852825,0
542,0,-0.413589,1
482,1,-0.989186,0
983,0,-0.970909,0
53,1,0.605807,1
913,0,-0.87183,0
284,1,1.475333,1
319,1,0.183422,1
921,0,-0.830934,0
726,0,-0.972317,0
359,1,-0.159335,1
705,0,0.303731,1
164,1,0.234684,1
716,0,-0.390907,1
939,0,-1.271555,0
175,1,0.445937,1
667,0,-0.550347,1
756,0,-0.43279,1
788,0,-1.722463,0
742,0,-0.346019,1
643,0,-0.406885,1
982,0,-0.871647,0
945,0,-0.161056,1
924,0,-1.099726,0
538,0,0.495872,1
270,1,1.397358,1
729,0,-1.157624,0
669,0,0.277036,1
904,0,-0.815274,0
457,1,-0.331791,1
251,1,-0.136437,1
563,0,-0.931958,0
885,0,-1.763996,0
932,0,-0.959314,0
386,1,1.41526,1
766,0,-0.45763,1
475,1,0.509173,1
544,0,-0.516614,1
360,1,1.577644,1
849,0,-1.092877,0
882,0,-1.44616,0
29,1,3.126977,1
593,0,-0.694223,1
865,0,-0.700615,1
553,0,0.267955,1
132,1,0.679163,1
879,0,-1.040857,0
233,1,1.098998,1
428,1,0.294244,1
372,1,1.321132,1
775,0,0.251099,1
273,1,1.445447,1
517,0,-1.136366,0
401,1,1.211292,1
281,1,1.608139,1
500,0,-0.316641,1
215,1,0.198149,1
595,0,-0.545069,1
995,0,-0.377949,1
205,1,1.687039,1
17,1,1.05604,1
481,1,1.230194,1
328,1,-0.287959,1
497,1,1.773766,1
247,1,1.079027,1
786,0,0.12918,1
629,0,-1.031341,0
127,1,2.867758,1
375,1,0.919533,1
114,1,1.177187,1
575,0,-0.712427,1
472,1,1.997836,1
993,0,-1.088929,0
526,0,-1.493915,0
974,0,-0.540637,1
988,0,-1.218069,0
70,1,1.313036,1
903,0,-1.25501,0
809,0,0.238688,1
473,1,1.881796,1
966,0,-0.769644,0
765,0,-1.428773,0
554,0,-1.573566,0
959,0,0.493636,1
516,0,-1.079563,0
110,1,0.284458,1
212,1,1.801802,1
187,1,0.12807,1
298,1,-0.322524,1
135,1,1.805928,1
198,1,1.589458,1
749,0,-1.108709,0
740,0,-0.778421,0
56,1,0.335576,1
44,1,-1.056866,0
834,0,-1.276987,0
884,0,0.05171,1
72,1,2.102795,1
524,0,0.345215,1
674,0,-0.86958,0
620,0,-1.252561,0
549,0,-0.855657,0
867,0,-1.422304,0
926,0,-1.326728,0
673,0,-1.454238,0
363,1,-0.401767,1
947,0,-1.363203,0
619,0,-0.118176,1
956,0,-0.49057,1
476,1,1.296404,1
839,0,-1.465141,0
90,1,1.852406,1
922,0,0.542743,1
519,0,-1.152597,0
354,1,1.193678,1
422,1,1.061699,1
877,0,-0.838458,0
161,1,0.7153,1
339,1,1.289392,1
978,0,0.006049,1
820,0,-0.426347,1
234,1,0.35693,1
861,0,-0.564002,1
855,0,-0.856138,0
829,0,-0.649871,1
259,1,2.044338,1
774,0,-0.432154,1
46,1,1.591768,1
189,1,1.04467,1
568,0,-1.352707,0
977,0,-1.067318,0
613,0,-0.981186,0
311,1,0.961205,1
614,0,0.056705,1
199,1,1.262398,1
972,0,-0.791315,0
778,0,-1.139632,0
14,1,2.125055,1
107,1,2.376982,1
377,1,1.423627,1
732,0,-1.443493,0
714,0,-0.307313,1
838,0,-0.681094,1
389,1,2.21375,1
750,0,-1.261142,0
746,0,-1.371517,0
925,0,-0.51989,1
113,1,1.144441,1
819,0,-1.03376,0
709,0,-1.101601,0
588,0,-1.164418,0
382,1,-0.339814,1
743,0,-1.510124,0
723,0,0.067969,1
480,1,-0.018117,1
577,0,-1.171651,0
813,0,0.404017,1
140,1,1.197228,1
684,0,-1.312654,0
227,1,-0.452404,1
790,0,-0.954026,0
845,0,-0.80581,0
241,1,1.491369,1
368,1,0.555891,1
533,0,-1.236337,0
936,0,-0.163922,1
23,1,-0.720522,1
490,1,-0.885148,0
409,1,-0.235669,1
997,0,0.622538,1
60,1,1.491822,1
645,0,-1.119508,0
158,1,0.724444,1
300,1,0.570553,1
534,0,-0.376298,1
817,0,-1.152223,0
442,1,-0.08839,1
337,1,0.685072,1
697,0,-0.297248,1
343,1,0.543582,1
960,0,-1.163407,0
728,0,-0.618871,1
186,1,0.543103,1
717,0,-0.636807,1
55,1,1.028302,1
445,1,0.218528,1
650,0,-0.922787,0
677,0,-0.706863,1
859,0,-0.616493,1
656,0,-0.802759,0
39,1,1.268329,1
610,0,0.26081,1
850,0,-0.788633,0
711,0,-1.549027,0
450,1,-1.288791,0
477,1,-0.817389,0
652,0,-1.157053,0
338,1,1.287674,1
221,1,1.101284,1
897,0,-0.349883,1
399,1,-1.396097,0
143,1,-1.529484,0
408,1,-0.109576,1
232,1,2.53804,1
469,1,0.606375,1
564,0,-0.962308,0
668,0,0.352792,1
730,0,-1.40875,0
515,0,-0.989839,0
57,1,2.227162,1
466,1,1.989242,1
286,1,0.442233,1
551,0,0.166457,1
400,1,0.144976,1
856,0,0.080238,1
237,1,0.462882,1
950,0,-0.444292,1
792,0,-0.215348,1
235,1,1.98164,1
701,0,-1.231934,0
49,1,0.465576,1
686,0,-1.576591,0
695,0,-1.322576,0
901,0,-0.88759,0
398,1,2.062284,1
986,0,-0.436076,1
217,1,2.081633,1
324,1,1.008608,1
527,0,-0.923206,0
594,0,-0.926917,0
228,1,1.095352,1
499,1,0.388003,1
459,1,1.08749,1
881,0,-0.46094,1
536,0,-0.862169,0
670,0,-1.364225,0
149,1,1.020174,1
34,1,2.121927,1
420,1,0.542761,1
139,1,2.41562,1
964,0,-1.491634,0
345,1,0.414249,1
384,1,1.290197,1
5,1,1.606428,1
919,0,-1.241686,0
734,0,-0.975386,0
596,0,-0.735067,1
503,0,0.825413,1
119,1,1.392822,1
898,0,-0.963184,0
799,0,-1.564837,0
704,0,-1.31211,0
973,0,-0.560404,1
637,0,-0.15242,1
857,0,-1.959244,0
720,0,-1.179506,0
303,1,-0.19846,1
747,0,-1.161964,0
429,1,0.363695,1
659,0,-0.485667,1
611,0,-0.526922,1
387,1,0.456585,1
236,1,-0.849982,0
485,1,0.01604,1
181,1,0.938072,1
576,0,-0.545681,1
753,0,-1.063802,0
487,1,-0.642385,1
571,0,-1.425445,0
126,1,1.867142,1
906,0,0.049638,1
20,1,-1.000401,0
431,1,-0.467656,1
253,1,1.118985,1
574,0,0.118603,1
74,1,0.757362,1
448,1,-0.982296,0
309,1,1.979663,1
555,0,-0.355812,1
791,0,-1.627973,0
602,0,-0.659137,1
195,1,1.447627,1
82,1,1.600584,1
94,1,1.310113,1
350,1,2.280854,1
706,0,-0.483396,1
708,0,-0.591287,1
639,0,-0.900704,0
421,1,0.939419,1
116,1,0.458439,1
540,0,-0.164506,1
272,1,1.046675,1
453,1,1.109514,1
166,1,1.65758,1
671,0,-0.061858,1
423,1,-0.185693,1
754,0,-0.725696,1
912,0,-1.501934,0
580,0,0.185553,1
585,0,-0.961744,0
530,0,-1.579384,0
182,1,1.258254,1
909,0,-1.086834,0
658,0,-0.886062,0
394,1,0.586151,1
331,1,0.028725,1
425,1,0.338597,1
95,1,0.480309,1
712,0,-0.963082,0
365,1,0.708012,1
948,0,-0.211045,1
21,1,1.051107,1
830,0,-1.458941,0
443,1,0.407236,1
254,1,0.052888,1
862,0,-0.058369,1
836,0,-1.244746,0
191,1,1.004645,1
73,1,1.145613,1
69,1,2.31671,1
28,1,1.995336,1
299,1,0.41922,1
61,1,1.633652,1
301,1,1.648448,1
518,0,-1.168016,0
98,1,-0.764924,0
597,0,-0.697559,1
162,1,-0.664378,1
640,0,-1.690915,0
71,1,0.621891,1
142,1,0.885546,1
979,0,-0.563047,1
992,0,-0.720558,1
852,0,-1.043117,0
815,0,-1.308164,0
682,0,-0.792356,0
10,1,1.187083,1
336,1,1.139907,1
615,0,-0.194268,1
136,1,1.032589,1
35,1,0.942343,1
504,0,-1.233273,0
432,1,-0.394243,1
267,1,1.579087,1
99,1,1.229848,1
463,1,-0.316207,1
347,1,0.836525,1
371,1,1.538591,1
174,1,0.070722,1
899,0,0.233806,1
96,1,-0.015446,1
131,1,1.665007,1
654,0,-0.231652,1
130,1,2.405972,1
718,0,-0.496006,1
987,0,-0.533662,1
102,1,0.675847,1
133,1,0.321277,1
138,1,0.101546,1
969,0,-0.934352,0
826,0,-1.520487,0
430,1,-0.148537,1
152,1,1.697922,1
268,1,0.57544,1
426,1,0.41281,1
818,0,-0.014524,1
894,0,-1.731395,0
871,0,-0.554167,1
2,1,0.609553,1
683,0,-0.751409,0
491,1,-0.550062,1
872,0,-0.939993,0
937,0,-0.445796,1
218,1,0.680955,1
93,1,1.690958,1
773,0,-1.000756,0
111,1,0.234033,1
260,1,0.629655,1
105,1,0.93405,1
277,1,1.040575,1
121,1,1.779924,1
159,1,1.663343,1
18,1,0.021142,1
479,1,2.344306,1
424,1,0.666405,1
184,1,-0.09478,1
124,1,2.549993,1
967,0,-2.174517,0
190,1,0.436007,1
213,1,0.794086,1
994,0,-0.81106,0
203,1,0.463874,1
531,0,-0.542411,1
26,1,1.944793,1
702,0,-1.569287,0
185,1,1.004872,1
777,0,-1.111992,0
188,1,1.271466,1
