query_id,top_k_alpha_ndcg,top_k_s_recall,top_k_ndcg10,top_k_recall10,top_k_ild,top_k_distractor_rate,mmr_0.7_alpha_ndcg,mmr_0.7_s_recall,mmr_0.7_ndcg10,mmr_0.7_recall10,mmr_0.7_ild,mmr_0.7_distractor_rate,mmr_0.3_alpha_ndcg,mmr_0.3_s_recall,mmr_0.3_ndcg10,mmr_0.3_recall10,mmr_0.3_ild,mmr_0.3_distractor_rate,dpp_alpha_ndcg,dpp_s_recall,dpp_ndcg10,dpp_recall10,dpp_ild,dpp_distractor_rate,cluster_rr_alpha_ndcg,cluster_rr_s_recall,cluster_rr_ndcg10,cluster_rr_recall10,cluster_rr_ild,cluster_rr_distractor_rate,outlier_0.2_alpha_ndcg,outlier_0.2_s_recall,outlier_0.2_ndcg10,outlier_0.2_recall10,outlier_0.2_ild,outlier_0.2_distractor_rate,outlier_0.4_alpha_ndcg,outlier_0.4_s_recall,outlier_0.4_ndcg10,outlier_0.4_recall10,outlier_0.4_ild,outlier_0.4_distractor_rate
q0000,0.794968,0.6,1.0,0.166667,0.279432,0.0,0.753854,0.6,1.0,0.166667,0.364595,0.0,0.747916,0.6,1.0,0.166667,0.395161,0.0,0.859187,1.0,0.889954,0.15,0.445348,0.1,0.74366,0.6,1.0,0.166667,0.276774,0.0,0.93019,1.0,1.0,0.166667,0.299307,0.0,0.931039,1.0,0.936379,0.15,0.316805,0.1
q0001,0.765363,0.5,1.0,0.166667,0.248647,0.0,0.813985,0.5,0.905212,0.15,0.271339,0.1,0.711671,0.5,0.706563,0.116667,0.304667,0.3,0.773161,0.5,0.677273,0.1,0.35824,0.4,0.817532,0.5,1.0,0.166667,0.257294,0.0,0.737945,0.5,0.870125,0.133333,0.274621,0.2,0.678046,0.5,0.72733,0.1,0.302409,0.4
q0002,0.462514,0.25,0.933746,0.15,0.302483,0.1,0.462698,0.25,1.0,0.166667,0.322728,0.0,0.724248,0.75,0.672239,0.1,0.463576,0.4,0.716823,0.75,0.613653,0.083333,0.493551,0.5,0.44343,0.25,0.643768,0.1,0.324174,0.4,0.54908,0.5,0.933746,0.15,0.349937,0.1,0.688666,0.75,0.926636,0.15,0.346854,0.1
q0003,0.589445,0.333333,1.0,0.166667,0.319481,0.0,0.593356,0.333333,1.0,0.166667,0.360905,0.0,0.910231,0.833333,0.905212,0.15,0.43345,0.1,0.852684,0.666667,0.926636,0.15,0.459071,0.1,0.679948,0.5,0.851236,0.133333,0.338739,0.2,0.645316,0.5,0.933746,0.15,0.368028,0.1,0.801696,0.833333,0.926636,0.15,0.387349,0.1
q0004,0.404636,0.2,0.74167,0.116667,0.364782,0.3,0.619962,0.6,0.820069,0.133333,0.419101,0.2,0.712175,0.8,0.642187,0.083333,0.47724,0.5,0.809964,1.0,0.770204,0.116667,0.468848,0.3,0.540658,0.4,0.811556,0.133333,0.40202,0.2,0.519863,0.4,0.74167,0.116667,0.423666,0.3,0.595984,0.6,0.678049,0.1,0.403821,0.4
q0005,0.625164,0.333333,0.905212,0.15,0.390987,0.1,0.756196,0.666667,0.914857,0.15,0.446775,0.1,0.880899,0.833333,0.930569,0.15,0.501091,0.1,0.885261,0.833333,0.914857,0.15,0.509154,0.1,0.676001,0.5,0.857205,0.133333,0.449353,0.2,0.695479,0.5,0.905212,0.15,0.441494,0.1,0.736505,0.5,0.905212,0.15,0.440681,0.1
q0006,0.412596,0.2,0.74167,0.116667,0.272329,0.3,0.36585,0.2,0.577905,0.1,0.281446,0.4,0.621576,0.8,0.535709,0.083333,0.475732,0.5,0.635339,0.8,0.545521,0.083333,0.499386,0.5,0.544144,0.4,0.680905,0.1,0.378021,0.4,0.569431,0.6,0.74167,0.116667,0.374327,0.3,0.647385,0.8,0.675416,0.1,0.457194,0.4
q0007,0.297251,0.166667,0.575074,0.116667,0.27563,0.3,0.570843,0.5,0.637889,0.116667,0.371582,0.3,0.61522,0.5,0.713654,0.133333,0.366251,0.2,0.59397,0.5,0.635256,0.116667,0.390814,0.3,0.528602,0.5,0.575074,0.116667,0.359204,0.3,0.470474,0.5,0.575074,0.116667,0.31915,0.3,0.469668,0.5,0.445199,0.083333,0.303634,0.5
q0008,0.449305,0.25,0.905212,0.15,0.313977,0.1,0.451802,0.25,0.933746,0.15,0.33542,0.1,0.81276,1.0,0.767027,0.116667,0.442578,0.3,0.760502,1.0,0.721802,0.116667,0.43583,0.3,0.448974,0.25,0.841591,0.133333,0.323784,0.2,0.53669,0.5,0.841591,0.133333,0.351468,0.2,0.584116,0.5,0.769526,0.116667,0.329544,0.3
q0009,0.617873,0.333333,1.0,0.166667,0.287535,0.0,0.676918,0.5,1.0,0.166667,0.337086,0.0,0.811991,0.666667,0.841493,0.133333,0.396006,0.2,0.811991,0.666667,0.841493,0.133333,0.415124,0.2,0.701919,0.5,1.0,0.166667,0.289584,0.0,0.6908,0.5,0.936379,0.15,0.295892,0.1,0.79512,0.666667,0.930569,0.15,0.306087,0.1
