workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.289977,0.110046
A,q00001,procurement,27,0.790951,0.653147
A,q00002,legal,26,1.0,0.247031
A,q00003,legal,25,0.708441,0.343697
A,q00004,procurement,26,0.539641,0.0
A,q00005,procurement,29,0.532621,0.220092
A,q00006,procurement,21,0.706584,0.469
A,q00007,security,33,0.936379,0.763095
A,q00008,procurement,23,0.110046,0.283713
A,q00009,legal,31,1.0,0.860382
A,q00010,security,31,1.0,0.800694
A,q00011,security,24,0.718363,0.469
A,q00012,security,30,0.870125,0.648932
A,q00013,security,26,0.648932,0.507238
A,q00014,legal,19,0.930569,0.715551
A,q00015,legal,27,1.0,0.488547
A,q00016,security,24,0.72733,0.63322
A,q00017,security,31,0.800694,0.646856
A,q00018,procurement,28,0.800694,0.330138
A,q00019,legal,27,1.0,0.728086
A,q00020,legal,24,0.366025,0.476847
A,q00021,procurement,22,0.648932,0.700773
A,q00022,security,23,0.532621,0.358954
A,q00023,legal,27,1.0,0.488547
A,q00024,security,31,0.864315,0.583618
A,q00025,legal,38,1.0,0.671759
A,q00026,security,27,0.800694,0.632541
A,q00027,security,33,0.936379,0.763095
A,q00028,legal,38,1.0,0.671759
A,q00029,legal,24,0.936379,0.794883
A,q00030,security,31,0.936379,0.768227
A,q00031,security,33,0.936379,0.763095
A,q00032,legal,24,0.864315,0.548135
A,q00033,procurement,24,0.513529,0.523174
A,q00034,procurement,29,0.368856,0.110046
A,q00035,procurement,27,0.790951,0.653147
A,q00036,legal,27,1.0,0.905212
A,q00037,procurement,17,0.271088,0.289523
A,q00038,legal,22,0.936379,0.613653
A,q00039,legal,24,0.366025,0.476847
A,q00040,security,19,0.0,0.425208
A,q00041,security,33,0.495939,0.357076
A,q00042,procurement,23,0.378599,0.563788
A,q00043,procurement,27,0.866948,0.576669
A,q00044,security,30,0.857205,0.648932
A,q00045,security,30,0.857205,0.648932
A,q00046,procurement,32,0.870125,0.527106
A,q00047,legal,24,0.785916,0.631144
A,q00048,legal,27,0.933746,0.536554
A,q00049,security,31,0.760079,0.705905
A,q00050,legal,25,0.781984,0.393278
A,q00051,procurement,22,0.138862,0.078398
A,q00052,security,22,0.712552,0.630043
A,q00053,security,18,0.289977,0.110046
A,q00054,security,18,0.289977,0.110046
A,q00055,legal,25,0.757382,0.346853
A,q00056,procurement,24,0.513529,0.523174
A,q00057,security,27,0.72733,0.793584
A,q00058,legal,27,1.0,0.905212
A,q00059,legal,26,1.0,0.247031
A,q00060,legal,32,1.0,0.870125
A,q00061,legal,24,0.640591,0.355777
A,q00062,legal,31,1.0,0.936379
A,q00063,legal,24,0.422575,0.073364
A,q00064,procurement,27,0.790951,0.653147
