query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.204834,0.289977,0.0,0.297272
q00001,procurement,27,0.627409,0.790951,0.29849,0.513529
q00002,legal,26,1.0,1.0,0.224663,0.778807
q00003,legal,25,0.698796,0.708441,0.066254,0.513529
q00004,procurement,26,0.457182,0.539641,0.399569,0.202483
q00005,procurement,29,0.718363,0.532621,0.358954,0.367921
q00006,procurement,21,0.620397,0.706584,0.249664,0.449887
q00007,security,33,0.72733,0.936379,0.599329,0.650033
q00008,procurement,23,0.330138,0.110046,0.330138,0.432318
q00009,legal,31,1.0,1.0,0.750637,1.0
q00010,security,31,1.0,1.0,0.558076,1.0
q00011,security,24,0.49464,0.718363,0.500973,0.921602
q00012,security,30,0.469,0.870125,0.0,0.855348
q00013,security,26,0.648932,0.648932,0.274265,0.522496
q00014,legal,19,0.866948,0.930569,0.248908,0.678504
q00015,legal,27,0.933746,1.0,0.544676,0.779171
q00016,security,24,0.510069,0.72733,0.529444,0.936379
q00017,security,31,0.646856,0.800694,0.0,0.442022
q00018,procurement,28,0.49464,0.800694,0.358954,0.249664
q00019,legal,27,1.0,1.0,0.477967,1.0
q00020,legal,24,0.318794,0.366025,0.221193,0.551785
q00021,procurement,22,0.648932,0.648932,0.283713,0.581082
q00022,security,23,0.432318,0.532621,0.0,0.220092
q00023,legal,27,0.933746,1.0,0.544676,0.779171
q00024,security,31,1.0,0.864315,0.605985,0.769526
q00025,legal,38,1.0,1.0,0.627409,0.716485
q00026,security,27,0.933746,0.800694,0.188444,0.179477
q00027,security,33,0.72733,0.936379,0.599329,0.650033
q00028,legal,38,1.0,1.0,0.627409,0.716485
q00029,legal,24,1.0,0.936379,0.416382,0.715186
q00030,security,31,1.0,0.936379,0.588467,0.933746
q00031,security,33,0.72733,0.936379,0.599329,0.650033
q00032,legal,24,0.784982,0.864315,0.233651,0.747159
q00033,procurement,24,0.481535,0.513529,0.293456,0.243098
q00034,procurement,29,0.40414,0.368856,0.0,0.138862
q00035,procurement,27,0.627409,0.790951,0.29849,0.513529
q00036,legal,27,0.933746,1.0,0.425208,0.870125
q00037,procurement,17,0.248908,0.271088,0.066254,0.307015
q00038,legal,22,1.0,0.936379,0.283713,0.692985
q00039,legal,24,0.318794,0.366025,0.221193,0.551785
q00040,security,19,0.0,0.0,0.283713,0.632541
q00041,security,33,0.57116,0.495939,0.078398,0.510352
q00042,procurement,23,0.400023,0.378599,0.355777,0.289523
q00043,procurement,27,0.841591,0.866948,0.078398,0.790951
q00044,security,30,0.538431,0.857205,0.085143,0.797517
q00045,security,30,0.538431,0.857205,0.085143,0.797517
q00046,procurement,32,0.933746,0.870125,0.538431,0.620762
q00047,legal,24,0.722295,0.785916,0.375768,0.656982
q00048,legal,27,0.933746,0.933746,0.434175,0.760079
q00049,security,31,0.661831,0.760079,0.289523,0.870125
q00050,legal,25,0.763095,0.781984,0.094788,0.510352
q00051,procurement,22,0.623574,0.138862,0.138862,0.073364
q00052,security,22,0.538431,0.712552,0.357076,0.866948
q00053,security,18,0.204834,0.289977,0.0,0.297272
q00054,security,18,0.204834,0.289977,0.0,0.297272
q00055,legal,25,0.703407,0.757382,0.532141,0.246186
q00056,procurement,24,0.481535,0.513529,0.293456,0.243098
q00057,security,27,0.800694,0.72733,0.358954,0.299905
q00058,legal,27,0.933746,1.0,0.425208,0.870125
q00059,legal,26,1.0,1.0,0.224663,0.778807
q00060,legal,32,1.0,1.0,0.472157,1.0
q00061,legal,24,0.611795,0.640591,0.094788,0.390927
q00062,legal,31,1.0,1.0,0.68045,0.930569
q00063,legal,24,0.428385,0.422575,0.085143,0.0
q00064,procurement,27,0.627409,0.790951,0.29849,0.513529
q00065,legal,26,1.0,1.0,0.18341,0.791727
q00066,legal,24,0.302404,0.286692,0.142019,0.533075
q00067,procurement,27,0.841591,0.866948,0.078398,0.790951
q00068,legal,31,0.724153,0.752969,0.358954,0.55908
q00069,legal,19,0.866948,0.930569,0.248908,0.678504
q00070,procurement,29,0.576971,0.763095,0.069431,0.678049
q00071,security,31,0.646856,0.800694,0.0,0.442022
q00072,procurement,23,0.532621,0.428385,0.374666,0.459533
q00073,procurement,29,0.316462,0.689829,0.205117,0.220092
q00074,security,19,0.283713,0.289523,0.220092,0.469
q00075,legal,27,1.0,1.0,0.477967,1.0
q00076,security,24,0.510069,0.72733,0.529444,0.936379
q00077,procurement,29,0.836459,0.565825,0.215383,0.561713
q00078,procurement,28,0.49464,0.800694,0.358954,0.249664
q00079,procurement,28,0.715551,0.851236,0.220092,0.133052
q00080,legal,38,1.0,1.0,0.602052,0.779908
q00081,security,23,0.358954,0.535254,0.073364,0.110046
q00082,procurement,27,0.627409,0.790951,0.29849,0.513529
q00083,security,19,0.283713,0.289523,0.220092,0.469
q00084,security,33,0.243552,0.330138,0.094788,0.222128
q00085,procurement,29,0.836459,0.565825,0.215383,0.561713
q00086,legal,22,1.0,0.936379,0.283713,0.692985
q00087,procurement,23,0.161043,0.358954,0.0,0.078398
q00088,security,22,0.469,0.936379,0.214084,0.914857
q00089,security,19,0.0,0.0,0.283713,0.632541
q00090,procurement,27,0.0,0.231773,0.0,0.073364
q00091,security,18,0.204834,0.289977,0.0,0.297272
q00092,security,18,0.469454,0.494357,0.147829,0.283713
q00093,security,26,0.800694,0.800694,0.151397,0.488645
q00094,legal,24,1.0,0.936379,0.416382,0.715186
q00095,procurement,32,0.866948,0.870125,0.519997,0.67587
q00096,security,33,0.354245,0.453743,0.147829,0.403502
q00097,legal,25,0.429141,0.576971,0.066254,0.271088
q00098,security,19,0.0,0.0,0.283713,0.632541
q00099,legal,28,0.781805,0.775239,0.399569,0.630664
q00100,legal,27,0.820523,0.921602,0.138862,0.284449
q00101,legal,25,0.763095,0.781984,0.094788,0.510352
q00102,procurement,23,0.563788,0.349487,0.202483,0.110046
q00103,security,31,1.0,0.864315,0.605985,0.769526
q00104,legal,26,1.0,1.0,0.18341,0.791727
q00105,security,27,0.800694,0.72733,0.358954,0.299905
q00106,procurement,29,0.358954,0.554143,0.069431,0.408536
q00107,procurement,29,0.718363,0.532621,0.358954,0.367921
q00108,legal,25,0.703407,0.757382,0.532141,0.246186
q00109,procurement,32,0.921602,0.926636,0.523174,0.63322
q00110,security,24,0.510069,0.72733,0.529444,0.936379
q00111,procurement,26,0.760079,0.770204,0.554143,0.74167
q00112,procurement,21,0.620397,0.706584,0.249664,0.449887
q00113,security,18,0.469454,0.494357,0.147829,0.283713
q00114,security,23,0.432318,0.532621,0.0,0.220092
q00115,legal,31,1.0,1.0,0.608317,0.921602
q00116,procurement,29,0.316462,0.689829,0.205117,0.220092
q00117,procurement,29,0.72733,0.547398,0.242618,0.212226
q00118,legal,28,0.781805,0.775239,0.399569,0.630664
q00119,procurement,23,0.563788,0.349487,0.202483,0.110046
q00120,procurement,29,0.316462,0.689829,0.205117,0.220092
q00121,procurement,17,0.110046,0.168152,0.066254,0.632541
q00122,procurement,21,0.518119,0.538431,0.094788,0.0
q00123,legal,25,0.797517,0.775994,0.472933,0.362848
q00124,legal,38,1.0,1.0,0.627409,0.716485
q00125,legal,25,0.763095,0.781984,0.094788,0.510352
q00126,procurement,21,0.620397,0.706584,0.249664,0.449887
q00127,procurement,22,0.648932,0.648932,0.283713,0.581082
q00128,security,31,0.72733,0.800694,0.073364,0.791727
q00129,legal,32,1.0,1.0,0.456997,0.863015
q00130,legal,19,0.866948,0.930569,0.248908,0.678504
q00131,legal,28,0.620397,0.712552,0.44092,0.608297
q00132,procurement,29,0.72733,0.547398,0.242618,0.212226
q00133,security,18,0.469454,0.494357,0.147829,0.283713
q00134,security,42,1.0,1.0,0.413128,1.0
q00135,legal,32,1.0,0.921602,0.678504,0.775337
q00136,procurement,23,0.400023,0.378599,0.355777,0.289523
q00137,security,33,0.72733,0.936379,0.599329,0.650033
q00138,security,31,1.0,0.864315,0.605985,0.769526
q00139,security,30,0.469,0.870125,0.0,0.855348
q00140,procurement,27,0.627409,0.790951,0.29849,0.513529
q00141,security,23,0.506784,0.469,0.063621,0.29849
q00142,security,42,1.0,1.0,0.413128,1.0
q00143,security,31,1.0,0.936379,0.588467,0.933746
q00144,security,31,0.661831,0.760079,0.289523,0.870125
q00145,procurement,24,0.481535,0.513529,0.293456,0.243098
q00146,security,19,0.0,0.0,0.283713,0.632541
q00147,procurement,22,0.648932,0.648932,0.283713,0.581082
q00148,legal,19,0.926636,1.0,0.179931,0.507539
q00149,security,31,0.72733,0.800694,0.073364,0.791727
