dataset,questions,manifest
locomo,1986,data/version_a/locomo/manifest.json
musique,1000,data/version_a/musique/manifest.json
2wikimultihopqa,1000,data/version_a/2wikimultihopqa/manifest.json
longmemeval_s,500,data/version_a/longmemeval_s/manifest.json
longmemeval_oracle,500,data/version_a/longmemeval_oracle/manifest.json
multihoprag,2556,data/version_a/multihoprag/manifest.json
factconsolidation_sh_6k,100,data/version_a/factconsolidation_sh_6k/manifest.json
factconsolidation_mh_6k,100,data/version_a/factconsolidation_mh_6k/manifest.json
factconsolidation_sh_32k,100,data/version_a/factconsolidation_sh_32k/manifest.json
factconsolidation_mh_32k,100,data/version_a/factconsolidation_mh_32k/manifest.json
factconsolidation_sh_64k,100,data/version_a/factconsolidation_sh_64k/manifest.json
factconsolidation_mh_64k,100,data/version_a/factconsolidation_mh_64k/manifest.json
factconsolidation_sh_262k,100,data/version_a/factconsolidation_sh_262k/manifest.json
factconsolidation_mh_262k,100,data/version_a/factconsolidation_mh_262k/manifest.json
personamem_v2_32k,5000,data/version_a/personamem_v2_32k/manifest.json
personamem_v2_128k,5000,data/version_a/personamem_v2_128k/manifest.json
beam_100k,400,data/version_a/beam_100k/manifest.json
beam_500k,700,data/version_a/beam_500k/manifest.json
beam_1m,700,data/version_a/beam_1m/manifest.json
beam_10m,200,data/version_a/beam_10m/manifest.json
