accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,config_sha256,context_budget_tokens,correct,cost_per_correct_basis,dataset,empty_answer_questions,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,index_llm_usd,index_seconds,index_storage_bytes,indexed_groups,judge,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,reader,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,scope,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,source_corpus_bytes,source_groups,source_tokens,source_tokens_complete,status,unanswered,unscored,variant,verified_correct_fraction_of_full
0.605,0.605,1,0.009029248760330578,5.4626955,4.061663187982049,5.478768314881018,4651974.0,526324.0,1000,1000,all,412c63d7698d2407eeff1e51ccb4f4566fc1921924e911521f702eeeb978844e,4000,605.0,exact_match,2wikimultihopqa,3,0.0,0.605,0.6572217736542484,5.4626955,5.4626955,0.0,113.35919408302289,10230210,1,gemini-2.5-flash-lite,5.4626955,3998.943,0.6572217736542484,1000,1000,gemini-3.6-flash,1000,1000,0,"{""all_evidence_at_budget"": 0.48, ""evidence_recall_at_budget"": 0.75475, ""recall_at_10"": 0.718, ""recall_at_100"": 0.804, ""recall_at_5"": 0.67575}",0.0438501040043775,0.05188263816235121,1000,full,F1 / exact match,"[""f1""]",1000,4.103317916509695,5.5233038088714235,3439888,1,624234.0,True,complete,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.605
,,1,,2.166063000000001,4.547325958497822,6.030225839596824,1613564.0,254904.0,400,0,all,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.13313759999999988,,,2.1602625000000004,2.2925596999999986,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,2.166063000000001,3999.74,0.36401339285714285,400,400,gemini-3.6-flash,400,355,0,"{""all_evidence_at_budget"": 0.27323943661971833, ""evidence_recall_at_budget"": 0.3904196898563096, ""recall_at_10"": 0.4476802227506453, ""recall_at_100"": 0.8014760786943885, ""recall_at_5"": 0.37033575188504764}",0.06765185404219665,0.10810957947396671,400,full,graded rubric mean,"[""beam_rubric_mean""]",400,4.604177624947624,6.099054613991756,13375834,20,2845367.0,True,complete,0,0,beam_100k,
,,1,,3.7656547499999995,4.548370353964856,6.093803798197769,2775958.0,448983.0,700,0,all,1595ff9332ea6e3bf5e5d3ac191d6799dfeb1258bbdc8c3f8ca12accf41ba1eb,4000,,,beam_1m,0,0.3055403000000003,,,3.7596509999999994,4.061516899999999,0.0,8938.686431374168,387061111,35,gemini-2.5-flash-lite,3.7656547499999995,3999.7357142857145,0.3169187023294166,700,700,gemini-3.6-flash,700,625,0,"{""all_evidence_at_budget"": 0.136, ""evidence_recall_at_budget"": 0.24973326975544363, ""recall_at_10"": 0.3031038916307001, ""recall_at_100"": 0.5891712056610234, ""recall_at_5"": 0.22617266470024763}",0.06426068750442937,0.11222660238854577,700,full,graded rubric mean,"[""beam_rubric_mean""]",700,4.61668381196796,6.176412037279806,175005220,35,39717906.0,True,complete,0,0,beam_1m,
,,1,,3.801625499999999,4.4496190209756605,6.063252519382513,2807344.0,452298.0,700,0,all,ef8d6107d7b95c43d48722c1265343cfb27e86f4ff925e67c34b877546f33d26,4000,,,beam_500k,0,0.2461923,,,3.7967474999999986,4.041792900000004,0.0,4410.598246745125,187098861,35,gemini-2.5-flash-lite,3.801625499999999,3999.7657142857142,0.3117819858712716,700,700,gemini-3.6-flash,700,629,0,"{""all_evidence_at_budget"": 0.21462639109697934, ""evidence_recall_at_budget"": 0.3404641220385165, ""recall_at_10"": 0.4120211928602932, ""recall_at_100"": 0.6936514933122234, ""recall_at_5"": 0.31759555064053335}",0.06137458299053833,0.08789552053494844,700,full,graded rubric mean,"[""beam_rubric_mean""]",700,4.5186947499460075,6.147354914297465,85197627,35,19317471.0,True,complete,0,0,beam_500k,
0.09,0.09,0,0.07031316666666669,0.6328185000000002,5.082601604022784,5.727607180993073,488208.0,71110.0,100,100,all,7cc46f7bfff4a1bcdaaf19e9952ee8ec48544fe797a8fb31494f97a0418d81cf,4000,9.0,binary_correct,factconsolidation_mh_262k,0,0.0,,,0.6328185000000002,0.6328185000000002,0.0,68.95345004094997,3070671,1,gemini-2.5-flash-lite,0.6328185000000002,4000.0,0.09,100,100,gemini-3.6-flash,100,0,0,{},0.05377697848598473,0.08042733065376523,100,full,substring exact match,"[""substring_exact_match""]",100,5.143352396029513,5.774865376844536,1457929,1,321873.0,True,complete,0,0,factconsolidation_mh_262k,0.09
0.17,0.17,0,0.03644448529411765,0.6195562500000001,5.09281012500287,5.901155941339675,483470.0,68521.0,100,100,all,ee70506aab6cc4eaaa5a8881c8ad8f3ddb53561d5a43237568abbc1b98e93c5a,4000,17.0,binary_correct,factconsolidation_mh_32k,0,0.0,,,0.6195562500000001,0.6195562500000001,0.0,18.745330542034935,382274,1,gemini-2.5-flash-lite,0.6195562500000001,3998.2,0.17,100,100,gemini-3.6-flash,100,0,0,{},0.092869646003237,0.1399352985492442,100,full,substring exact match,"[""substring_exact_match""]",100,5.205612771009328,5.982403290749062,177871,1,38279.0,True,complete,0,0,factconsolidation_mh_32k,0.17
0.15,0.15,0,0.04177490000000001,0.6266235000000001,4.934280062007019,5.798416885480401,482343.0,70631.0,100,100,all,793b9ee12611ecd5ced029f5cfdb272ec9a899824861b16c4b5a848446bb8092,4000,15.0,binary_correct,factconsolidation_mh_64k,0,0.0,,,0.6266235000000001,0.6266235000000001,0.0,29.044938958017156,761391,1,gemini-2.5-flash-lite,0.6266235000000001,3999.69,0.15,100,100,gemini-3.6-flash,100,0,0,{},0.06654414552031085,0.14830163092701693,100,full,substring exact match,"[""substring_exact_match""]",100,5.002493457548553,5.868836272309999,356176,1,77984.0,True,complete,0,0,factconsolidation_mh_64k,0.15
0.6,0.6,0,0.009740962500000002,0.5844577500000001,4.233099687495269,5.644155299989507,477347.0,60386.0,100,100,all,aaac2861a2683488d868d838f806cbcd917c8911f051ea8889b7ac56d41371d4,4000,60.0,binary_correct,factconsolidation_mh_6k,0,0.0,,,0.5844577500000001,0.5844577500000001,0.0,8.178039040998556,74514,1,gemini-2.5-flash-lite,0.5844577500000001,4000.0,0.6,100,100,gemini-3.6-flash,100,0,0,{},0.036313604010501876,0.05442360863089559,100,full,substring exact match,"[""substring_exact_match""]",100,4.2804118339845445,5.683394405865693,33824,1,7082.0,True,complete,0,0,factconsolidation_mh_6k,0.6
0.74,0.74,0,0.006739692567567565,0.4987372499999998,2.5579574784787837,5.109468347314396,490198.0,34957.0,100,100,all,7a0a9ba948a79b4988825d3aced609b117ca4b37dbe32022ebe23a500cef01fb,4000,74.0,binary_correct,factconsolidation_sh_262k,0,0.0,,,0.4987372499999998,0.4987372499999998,0.0,70.83521175000351,3070671,1,gemini-2.5-flash-lite,0.4987372499999998,4000.0,0.74,100,100,gemini-3.6-flash,100,0,0,{},0.0525652919895947,0.07261817674152553,100,full,substring exact match,"[""substring_exact_match""]",100,2.603766687505413,5.165375878903433,1457929,1,321873.0,True,complete,0,0,factconsolidation_sh_262k,0.74
0.92,0.92,0,0.0049361249999999995,0.45412349999999996,2.3422092919936404,3.682276754156919,482513.0,24597.0,100,100,all,423ea7903708958df6a07004ddf4d636b249f4277be1dfc5c647ba7a697d4c6c,4000,92.0,binary_correct,factconsolidation_sh_32k,0,0.0,,,0.45412349999999996,0.45412349999999996,0.0,14.772280000033788,382274,1,gemini-2.5-flash-lite,0.45412349999999996,3998.29,0.92,100,100,gemini-3.6-flash,100,0,0,{},0.041432416532188654,0.05335162848932668,100,full,substring exact match,"[""substring_exact_match""]",100,2.381012854486471,3.723386331257643,177871,1,38279.0,True,complete,0,0,factconsolidation_sh_32k,0.92
