accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,correct,cost_per_correct_basis,dataset,empty_answer_questions,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,status,type,unanswered,unscored,verified_correct_fraction_of_full
,,0,,0.20250674999999996,4.139462812512647,6.074368100325228,160394.0,21923.0,40,0,abstention,,,beam_100k,0,0.004947000000000001,,,0.20250674999999996,0.20745375000000005,0.20250674999999996,3999.95,0.85,40,40,40,0,0,{},0.06062072850181721,0.08551132947031873,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.2226383955276106,6.130780237840372,complete,abstention,0,0,
,,0,,0.21899325000000003,4.602803416986717,5.965520819029188,160076.0,26383.0,40,0,contradiction_resolution,,,beam_100k,0,0.0195555,,,0.21899325000000003,0.23809035,0.21899325000000003,4000.0,0.259375,40,40,40,40,0,"{""all_evidence_at_budget"": 0.375, ""evidence_recall_at_budget"": 0.6775, ""recall_at_10"": 0.69, ""recall_at_100"": 0.9325, ""recall_at_5"": 0.6608333333333334}",0.065917083498789,0.08751487258705307,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.668989396013785,6.022555762782576,complete,contradiction_resolution,0,0,
,,0,,0.23359350000000004,5.3742527084832545,6.030225839596824,159953.0,30301.0,40,0,event_ordering,,,beam_100k,0,0.029776699999999993,,,0.23359350000000004,0.26337020000000005,0.23359350000000004,4000.0,0.02773809523809524,40,40,40,40,0,"{""all_evidence_at_budget"": 0.0, ""evidence_recall_at_budget"": 0.026180555555555554, ""recall_at_10"": 0.026180555555555554, ""recall_at_100"": 0.406984126984127, ""recall_at_5"": 0.023402777777777776}",0.06335420851246454,0.11700572502450085,40,graded rubric mean,"[""beam_rubric_mean""]",40,5.440975000470644,6.07613088186772,complete,event_ordering,0,0,
,,0,,0.19731749999999998,4.000496208493132,5.9064740732661445,161360.0,20346.0,40,0,information_extraction,,,beam_100k,0,0.011265100000000004,,,0.19731749999999998,0.2085826,0.19731749999999998,3999.575,0.5020833333333333,40,40,40,40,0,"{""all_evidence_at_budget"": 0.475, ""evidence_recall_at_budget"": 0.5666666666666667, ""recall_at_10"": 0.6083333333333333, ""recall_at_100"": 0.9333333333333333, ""recall_at_5"": 0.55}",0.06749097898136824,0.10635205207508988,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.077296000497881,5.965366730187088,complete,information_extraction,0,0,
,,0,,0.20982899999999996,4.422526250535157,5.850643395571387,159677.0,24019.0,40,0,instruction_following,,,beam_100k,0,0.0072063,,,0.20982899999999996,0.21703530000000001,0.20982899999999996,3999.4,0.2875,40,40,40,40,0,"{""all_evidence_at_budget"": 0.05, ""evidence_recall_at_budget"": 0.075, ""recall_at_10"": 0.1, ""recall_at_100"": 0.76875, ""recall_at_5"": 0.075}",0.06969204201595858,0.10430978990916626,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.484832187532447,5.928977072698762,complete,instruction_following,0,0,
,,0,,0.20937749999999997,4.480704020999838,5.820389172885916,163450.0,23144.0,40,0,knowledge_update,,,beam_100k,0,0.004826300000000002,,,0.20937749999999997,0.21420380000000003,0.20937749999999997,3999.525,0.525,40,40,40,40,0,"{""all_evidence_at_budget"": 0.525, ""evidence_recall_at_budget"": 0.6958333333333333, ""recall_at_10"": 0.8083333333333333, ""recall_at_100"": 0.9375, ""recall_at_5"": 0.63125}",0.06985204148804769,0.09817828121595075,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.587945250503253,5.890409953441121,complete,knowledge_update,0,0,
,,0,,0.22009575000000006,4.83076837551198,5.9521488148893695,162281.0,26236.0,40,0,multi_session_reasoning,,,beam_100k,0,0.012127600000000002,,,0.22009575000000006,0.23222335000000002,0.22009575000000006,3999.9,0.30333333333333334,40,40,40,40,0,"{""all_evidence_at_budget"": 0.125, ""evidence_recall_at_budget"": 0.3276136363636364, ""recall_at_10"": 0.4471590909090909, ""recall_at_100"": 0.8225252525252525, ""recall_at_5"": 0.29450757575757575}",0.07238777101156302,0.1067773672955809,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.90670191749814,6.02916806008434,complete,multi_session_reasoning,0,0,
,,0,,0.22293975000000005,4.87000552052632,6.08976094968093,159208.0,27609.0,40,0,preference_following,,,beam_100k,0,0.009448100000000001,,,0.22293975000000005,0.23238785000000003,0.22293975000000005,3999.55,0.5083333333333333,40,40,40,39,0,"{""all_evidence_at_budget"": 0.23076923076923078, ""evidence_recall_at_budget"": 0.2564102564102564, ""recall_at_10"": 0.34615384615384615, ""recall_at_100"": 0.8247863247863247, ""recall_at_5"": 0.2564102564102564}",0.07304389600176364,0.10744199548207686,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.950776729005156,6.15322216990753,complete,preference_following,0,0,
,,1,,0.23301900000000003,5.373562312481226,6.158889006252866,161602.0,29818.0,40,0,summarization,,,beam_100k,0,0.024998000000000006,,,0.22721850000000005,0.25194450000000007,0.23301900000000003,3999.5,0.014270833333333333,40,40,40,36,0,"{""all_evidence_at_budget"": 0.0, ""evidence_recall_at_budget"": 0.07908950617283951, ""recall_at_10"": 0.11739518197851531, ""recall_at_100"": 0.5637120210036877, ""recall_at_5"": 0.07137345679012345}",0.08007895800983533,0.1234056434303056,40,graded rubric mean,"[""beam_rubric_mean""]",40,5.453505291516194,6.260666651846258,complete,summarization,0,0,
,,0,,0.218391,4.418209708499489,5.636776881245896,165563.0,25125.0,40,0,temporal_reasoning,,,beam_100k,0,0.008987,,,0.218391,0.22726800000000003,0.218391,4000.0,0.3625,40,40,40,40,0,"{""all_evidence_at_budget"": 0.65, ""evidence_recall_at_budget"": 0.775, ""recall_at_10"": 0.85, ""recall_at_100"": 1.0, ""recall_at_5"": 0.7375}",0.06727797898929566,0.12117465867486313,40,graded rubric mean,"[""beam_rubric_mean""]",40,4.499341707996791,5.716859227081295,complete,temporal_reasoning,0,0,
