accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,correct,cost_per_correct_basis,dataset,empty_answer_questions,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,status,type,unanswered,unscored,verified_correct_fraction_of_full
,,0,,0.35795324999999983,4.081909437023569,5.902602335755363,278056.0,39843.0,70,0,abstention,,,beam_1m,0,0.0106006,,,0.35795324999999983,0.36855385000000007,0.35795324999999983,3999.8714285714286,0.8214285714285714,70,70,70,0,0,{},0.05828004199429415,0.10048938139516393,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.136287978530163,5.952143737499135,complete,abstention,0,0,
,,0,,0.35773950000000015,4.047725812997669,5.546106287499424,276006.0,40196.0,70,0,contradiction_resolution,,,beam_1m,0,0.03402490000000001,,,0.35773950000000015,0.38970469999999996,0.35773950000000015,3999.342857142857,0.2,70,70,70,70,0,"{""all_evidence_at_budget"": 0.2571428571428571, ""evidence_recall_at_budget"": 0.45287414965986394, ""recall_at_10"": 0.5088265306122449, ""recall_at_100"": 0.7361394557823129, ""recall_at_5"": 0.4091836734693878}",0.06346624999423511,0.09811839999456423,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.102107166982023,5.603391581369214,complete,contradiction_resolution,0,0,
,,0,,0.40431750000000005,5.226731916482095,6.102880021353485,275505.0,52717.0,70,0,event_ordering,,,beam_1m,0,0.08181830000000001,,,0.40431750000000005,0.4861278999999999,0.40431750000000005,3999.3714285714286,0.011196660482374768,70,70,70,70,0,"{""all_evidence_at_budget"": 0.0, ""evidence_recall_at_budget"": 0.018418671612333223, ""recall_at_10"": 0.023323367846579568, ""recall_at_100"": 0.12765522673877744, ""recall_at_5"": 0.011856371478604518}",0.06422412500251085,0.10189251699484883,70,graded rubric mean,"[""beam_rubric_mean""]",70,5.295970082457643,6.178496365557658,complete,event_ordering,0,0,
,,0,,0.35786400000000024,4.267298916500295,5.8997111751377815,277742.0,39882.0,70,0,information_extraction,,,beam_1m,0,0.022452199999999988,,,0.35786400000000024,0.38020469999999995,0.35786400000000024,3999.8142857142857,0.3952380952380952,70,70,70,70,0,"{""all_evidence_at_budget"": 0.2714285714285714, ""evidence_recall_at_budget"": 0.30833333333333335, ""recall_at_10"": 0.38571428571428573, ""recall_at_100"": 0.7309523809523809, ""recall_at_5"": 0.29523809523809524}",0.06256220853538252,0.11341726248792829,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.349262936972082,5.970691924990388,complete,information_extraction,0,0,
,,0,,0.38010600000000005,4.613141374982661,5.913568700189352,274603.0,46441.0,70,0,instruction_following,,,beam_1m,0,0.019828699999999998,,,0.38010600000000005,0.3994639,0.38010600000000005,4000.0,0.25476190476190474,70,70,70,70,0,"{""all_evidence_at_budget"": 0.05714285714285714, ""evidence_recall_at_budget"": 0.0880952380952381, ""recall_at_10"": 0.10714285714285714, ""recall_at_100"": 0.5380952380952381, ""recall_at_5"": 0.08095238095238096}",0.06744087499100715,0.0932444539561402,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.713429957977496,5.973648221252369,complete,instruction_following,0,0,
,,0,,0.35905725,4.176068958506221,6.120789799999328,281833.0,39382.0,70,0,knowledge_update,,,beam_1m,0,0.009020700000000001,,,0.35905725,0.3680779499999999,0.35905725,3999.714285714286,0.4785714285714286,70,70,70,70,0,"{""all_evidence_at_budget"": 0.24285714285714285, ""evidence_recall_at_budget"": 0.4927721088435374, ""recall_at_10"": 0.5937244897959184, ""recall_at_100"": 0.8627210884353742, ""recall_at_5"": 0.45479591836734695}",0.06608362501719967,0.11682592296856455,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.265081500023371,6.198714576897327,complete,knowledge_update,0,0,
,,0,,0.3805574999999998,4.5332499589712825,6.090504768892424,277685.0,45945.0,70,0,multi_session_reasoning,,,beam_1m,0,0.03172249999999999,,,0.3805574999999998,0.41228000000000015,0.3805574999999998,3999.7571428571428,0.25035714285714283,70,70,70,70,0,"{""all_evidence_at_budget"": 0.02857142857142857, ""evidence_recall_at_budget"": 0.19844155844155845, ""recall_at_10"": 0.27231756338899193, ""recall_at_100"": 0.6439230774698755, ""recall_at_5"": 0.17748917748917747}",0.06758133348193951,0.10647281873098106,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.599667021480855,6.15782182541152,complete,multi_session_reasoning,0,0,
,,0,,0.38594925,5.010427625034936,6.279967649822356,274639.0,47992.0,70,0,preference_following,,,beam_1m,0,0.0225472,,,0.38594925,0.40849645000000007,0.38594925,3999.9285714285716,0.5125,70,70,70,69,0,"{""all_evidence_at_budget"": 0.07246376811594203, ""evidence_recall_at_budget"": 0.15417529330572807, ""recall_at_10"": 0.21335403726708074, ""recall_at_100"": 0.5024499654934438, ""recall_at_5"": 0.1288129744651484}",0.06469374996959232,0.09279616890125908,70,graded rubric mean,"[""beam_rubric_mean""]",70,5.076317416533129,6.350360616439138,complete,preference_following,0,0,
,,1,,0.4013722499999999,5.373526250506984,6.282778841856635,276058.0,51821.0,70,0,summarization,,,beam_1m,0,0.05735159999999999,,,0.3953684999999999,0.4525829000000002,0.4013722499999999,3999.9714285714285,0.020133219954648524,70,70,70,66,0,"{""all_evidence_at_budget"": 0.0, ""evidence_recall_at_budget"": 0.041244319885264835, ""recall_at_10"": 0.07658471048820285, ""recall_at_100"": 0.2877178694907742, ""recall_at_5"": 0.037358057148709115}",0.06701797898858786,0.13142456426285204,70,graded rubric mean,"[""beam_rubric_mean""]",70,5.448354021529667,6.35632383300981,complete,summarization,0,0,
,,0,,0.3807382499999999,4.3912964585179,5.6624601984076435,283831.0,44764.0,70,0,temporal_reasoning,,,beam_1m,0,0.0161736,,,0.3807382499999999,0.39602455,0.3807382499999999,3999.5857142857144,0.225,70,70,70,70,0,"{""all_evidence_at_budget"": 0.2857142857142857, ""evidence_recall_at_budget"": 0.47996598639455784, ""recall_at_10"": 0.5327210884353741, ""recall_at_100"": 0.854421768707483, ""recall_at_5"": 0.42768707482993196}",0.06720604147994891,0.1061045723967254,70,graded rubric mean,"[""beam_rubric_mean""]",70,4.457324583490845,5.734180092555471,complete,temporal_reasoning,0,0,
