accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,correct,cost_per_correct_basis,dataset,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,status,type,unanswered,unscored,verified_correct_fraction_of_full
,,0,,0.005538,6.11152212502202,6.11152212502202,3709.0,735.0,1,0,abstention,,,beam_100k,0.00012020000000000002,,,0.005538,0.0056582,0.005538,4000.0,1.0,1,40,1,0,0,{},0.027365249989088625,0.027365249989088625,1,graded rubric mean,"[""beam_rubric_mean""]",1,6.138887375011109,6.138887375011109,incomplete,abstention,39,39,
,,0,,0,,,0,0,0,0,contradiction_resolution,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,contradiction_resolution,40,40,
,,0,,0,,,0,0,0,0,event_ordering,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,event_ordering,40,40,
,,0,,0,,,0,0,0,0,information_extraction,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,information_extraction,40,40,
,,0,,0,,,0,0,0,0,instruction_following,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,instruction_following,40,40,
,,0,,0,,,0,0,0,0,knowledge_update,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,knowledge_update,40,40,
,,0,,0,,,0,0,0,0,multi_session_reasoning,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,multi_session_reasoning,40,40,
,,0,,0,,,0,0,0,0,preference_following,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,preference_following,40,40,
,,0,,0,,,0,0,0,0,summarization,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,summarization,40,40,
,,0,,0,,,0,0,0,0,temporal_reasoning,,,beam_100k,0,,,0,0,0,,,0,40,0,0,0,{},,,0,graded rubric mean,"[""beam_rubric_mean""]",0,,,incomplete,temporal_reasoning,40,40,
