dataset,comparison,type,paired,delta
2wikimultihopqa,B-A,bridge_comparison,24,0.06862745098039215
2wikimultihopqa,B-A,comparison,24,0.0
2wikimultihopqa,B-A,compositional,41,-0.014634146341463414
2wikimultihopqa,B-A,inference,11,-0.015810276679841896
2wikimultihopqa,C-B,bridge_comparison,24,0.08333333333333333
2wikimultihopqa,C-B,comparison,24,0.0
2wikimultihopqa,C-B,compositional,41,0.02032520325203252
2wikimultihopqa,C-B,inference,11,0.0
2wikimultihopqa,D-C,bridge_comparison,24,-0.1388888888888889
2wikimultihopqa,D-C,comparison,24,0.0
2wikimultihopqa,D-C,compositional,41,-0.03008130081300813
2wikimultihopqa,D-C,inference,11,-0.08333333333333333
beam_100k,B-A,abstention,10,0.0
beam_100k,B-A,contradiction_resolution,10,-0.075
beam_100k,B-A,event_ordering,10,0.02
beam_100k,B-A,information_extraction,10,0.0
beam_100k,B-A,instruction_following,10,0.1
beam_100k,B-A,knowledge_update,10,-0.1
beam_100k,B-A,multi_session_reasoning,10,0.0
beam_100k,B-A,preference_following,10,0.0
beam_100k,B-A,summarization,10,0.0
beam_100k,B-A,temporal_reasoning,10,-0.05
beam_100k,C-B,abstention,10,0.0
beam_100k,C-B,contradiction_resolution,10,0.0125
beam_100k,C-B,event_ordering,10,0.0
beam_100k,C-B,information_extraction,10,0.0
beam_100k,C-B,instruction_following,10,-0.1
beam_100k,C-B,knowledge_update,10,0.05
beam_100k,C-B,multi_session_reasoning,10,-0.1
beam_100k,C-B,preference_following,10,0.0
beam_100k,C-B,summarization,10,0.0
beam_100k,C-B,temporal_reasoning,10,0.05
beam_100k,D-C,abstention,10,0.1
beam_100k,D-C,contradiction_resolution,10,-0.025
beam_100k,D-C,event_ordering,10,0.004999999999999999
beam_100k,D-C,information_extraction,10,0.025
beam_100k,D-C,instruction_following,10,-0.025
beam_100k,D-C,knowledge_update,10,-0.05
beam_100k,D-C,multi_session_reasoning,10,-0.1
beam_100k,D-C,preference_following,10,0.15
beam_100k,D-C,summarization,10,0.020416666666666666
beam_100k,D-C,temporal_reasoning,10,0.0
beam_1m,B-A,abstention,10,0.0
beam_1m,B-A,contradiction_resolution,10,-0.0625
beam_1m,B-A,event_ordering,10,0.01111111111111111
beam_1m,B-A,information_extraction,10,0.0
beam_1m,B-A,instruction_following,10,0.2
beam_1m,B-A,knowledge_update,10,-0.05
beam_1m,B-A,multi_session_reasoning,10,0.0
beam_1m,B-A,preference_following,10,-0.03333333333333333
beam_1m,B-A,summarization,10,0.0
beam_1m,B-A,temporal_reasoning,10,0.025
beam_1m,C-B,abstention,10,0.0
beam_1m,C-B,contradiction_resolution,10,0.05
beam_1m,C-B,event_ordering,10,-0.01111111111111111
beam_1m,C-B,information_extraction,10,0.0
beam_1m,C-B,instruction_following,10,0.04166666666666667
beam_1m,C-B,knowledge_update,10,-0.1
beam_1m,C-B,multi_session_reasoning,10,-0.03333333333333333
beam_1m,C-B,preference_following,10,0.08333333333333333
beam_1m,C-B,summarization,10,0.02
beam_1m,C-B,temporal_reasoning,10,0.0
beam_1m,D-C,abstention,10,0.0
beam_1m,D-C,contradiction_resolution,10,0.0
beam_1m,D-C,event_ordering,10,0.01
beam_1m,D-C,information_extraction,10,0.05
beam_1m,D-C,instruction_following,10,-0.03333333333333335
beam_1m,D-C,knowledge_update,10,0.15
beam_1m,D-C,multi_session_reasoning,10,0.03333333333333333
beam_1m,D-C,preference_following,10,-0.05
beam_1m,D-C,summarization,10,-0.02
beam_1m,D-C,temporal_reasoning,10,-0.05
beam_500k,B-A,abstention,10,0.0
beam_500k,B-A,contradiction_resolution,10,-0.025
beam_500k,B-A,event_ordering,10,0.0
beam_500k,B-A,information_extraction,10,0.0
beam_500k,B-A,instruction_following,10,-0.1
beam_500k,B-A,knowledge_update,10,0.1
beam_500k,B-A,multi_session_reasoning,10,-0.08333333333333333
beam_500k,B-A,preference_following,10,-0.033333333333333326
beam_500k,B-A,summarization,10,0.03624999999999999
beam_500k,B-A,temporal_reasoning,10,-0.1
beam_500k,C-B,abstention,10,0.0
beam_500k,C-B,contradiction_resolution,10,-0.1
beam_500k,C-B,event_ordering,10,0.0
beam_500k,C-B,information_extraction,10,0.0
beam_500k,C-B,instruction_following,10,0.0
beam_500k,C-B,knowledge_update,10,0.0
beam_500k,C-B,multi_session_reasoning,10,0.08333333333333333
beam_500k,C-B,preference_following,10,-0.09583333333333334
beam_500k,C-B,summarization,10,-0.04625
beam_500k,C-B,temporal_reasoning,10,0.1
beam_500k,D-C,abstention,10,-0.1
beam_500k,D-C,contradiction_resolution,10,0.175
beam_500k,D-C,event_ordering,10,0.0
beam_500k,D-C,information_extraction,10,-0.0875
beam_500k,D-C,instruction_following,10,-0.05
beam_500k,D-C,knowledge_update,10,0.1
beam_500k,D-C,multi_session_reasoning,10,0.03333333333333333
beam_500k,D-C,preference_following,10,0.04583333333333332
beam_500k,D-C,summarization,10,0.06
beam_500k,D-C,temporal_reasoning,10,0.15
factconsolidation_mh_262k,B-A,multi_hop,100,-0.01
factconsolidation_mh_262k,C-B,multi_hop,100,0.0
factconsolidation_mh_262k,D-C,multi_hop,100,0.0
factconsolidation_mh_32k,B-A,multi_hop,100,0.01
factconsolidation_mh_32k,C-B,multi_hop,100,-0.1
factconsolidation_mh_32k,D-C,multi_hop,100,0.17
factconsolidation_mh_64k,B-A,multi_hop,100,0.01
factconsolidation_mh_64k,C-B,multi_hop,100,-0.01
factconsolidation_mh_64k,D-C,multi_hop,100,0.01
factconsolidation_mh_6k,B-A,multi_hop,100,-0.03
factconsolidation_mh_6k,C-B,multi_hop,100,-0.02
factconsolidation_mh_6k,D-C,multi_hop,100,0.04
factconsolidation_sh_262k,B-A,single_hop,100,0.05
factconsolidation_sh_262k,C-B,single_hop,100,-0.19
factconsolidation_sh_262k,D-C,single_hop,100,0.09
factconsolidation_sh_32k,B-A,single_hop,100,0.0
factconsolidation_sh_32k,C-B,single_hop,100,-0.13
factconsolidation_sh_32k,D-C,single_hop,100,0.12
factconsolidation_sh_64k,B-A,single_hop,100,0.04
factconsolidation_sh_64k,C-B,single_hop,100,-0.16
factconsolidation_sh_64k,D-C,single_hop,100,0.16
factconsolidation_sh_6k,B-A,single_hop,100,-0.13
factconsolidation_sh_6k,C-B,single_hop,100,-0.03
factconsolidation_sh_6k,D-C,single_hop,100,0.02
locomo,B-A,multi_hop,14,-0.14285714285714285
locomo,B-A,open_domain,5,0.0
locomo,B-A,single_hop,42,-0.023809523809523808
locomo,B-A,temporal,16,-0.125
locomo,C-B,multi_hop,14,0.07142857142857142
locomo,C-B,open_domain,5,0.0
locomo,C-B,single_hop,42,-0.047619047619047616
locomo,C-B,temporal,16,0.0625
locomo,D-C,multi_hop,14,0.07142857142857142
locomo,D-C,open_domain,5,0.0
locomo,D-C,single_hop,42,0.023809523809523808
locomo,D-C,temporal,16,-0.0625
locomo,B-A,adversarial,23,0.08695652173913043
locomo,C-B,adversarial,23,0.0
locomo,D-C,adversarial,23,-0.08695652173913043
longmemeval_oracle,B-A,knowledge-update,15,0.13333333333333333
longmemeval_oracle,B-A,multi-session,27,-0.07407407407407407
longmemeval_oracle,B-A,single-session-assistant,11,0.0
longmemeval_oracle,B-A,single-session-preference,6,0.0
longmemeval_oracle,B-A,single-session-user,14,0.0
longmemeval_oracle,B-A,temporal-reasoning,27,-0.07407407407407407
longmemeval_oracle,C-B,knowledge-update,15,0.0
longmemeval_oracle,C-B,multi-session,27,0.14814814814814814
longmemeval_oracle,C-B,single-session-assistant,11,0.0
longmemeval_oracle,C-B,single-session-preference,6,0.0
longmemeval_oracle,C-B,single-session-user,14,0.07142857142857142
longmemeval_oracle,C-B,temporal-reasoning,27,0.037037037037037035
longmemeval_oracle,D-C,knowledge-update,15,-0.06666666666666667
longmemeval_oracle,D-C,multi-session,27,-0.037037037037037035
longmemeval_oracle,D-C,single-session-assistant,11,0.0
longmemeval_oracle,D-C,single-session-preference,6,0.16666666666666666
longmemeval_oracle,D-C,single-session-user,14,0.0
longmemeval_oracle,D-C,temporal-reasoning,27,-0.1111111111111111
longmemeval_s,B-A,knowledge-update,15,0.06666666666666667
longmemeval_s,B-A,multi-session,27,-0.037037037037037035
longmemeval_s,B-A,single-session-assistant,11,0.0
longmemeval_s,B-A,single-session-preference,6,0.3333333333333333
longmemeval_s,B-A,single-session-user,14,0.07142857142857142
longmemeval_s,B-A,temporal-reasoning,27,0.0
longmemeval_s,C-B,knowledge-update,15,-0.06666666666666667
longmemeval_s,C-B,multi-session,27,0.037037037037037035
longmemeval_s,C-B,single-session-assistant,11,0.0
longmemeval_s,C-B,single-session-preference,6,0.0
longmemeval_s,C-B,single-session-user,14,0.0
longmemeval_s,C-B,temporal-reasoning,27,-0.037037037037037035
longmemeval_s,D-C,knowledge-update,15,0.13333333333333333
longmemeval_s,D-C,multi-session,27,-0.037037037037037035
longmemeval_s,D-C,single-session-assistant,11,0.0
longmemeval_s,D-C,single-session-preference,6,-0.3333333333333333
longmemeval_s,D-C,single-session-user,14,0.0
longmemeval_s,D-C,temporal-reasoning,27,0.07407407407407407
multihoprag,B-A,comparison_query,33,0.030303030303030304
multihoprag,B-A,inference_query,32,0.0625
multihoprag,B-A,null_query,12,0.0
multihoprag,B-A,temporal_query,23,-0.08695652173913043
multihoprag,C-B,comparison_query,33,-0.06060606060606061
multihoprag,C-B,inference_query,32,0.03125
multihoprag,C-B,null_query,12,0.0
multihoprag,C-B,temporal_query,23,0.13043478260869565
multihoprag,D-C,comparison_query,33,0.030303030303030304
multihoprag,D-C,inference_query,32,0.03125
multihoprag,D-C,null_query,12,0.0
multihoprag,D-C,temporal_query,23,-0.043478260869565216
musique,B-A,2hop,52,0.001043827966904892
musique,B-A,3hop1,24,-0.03693783068783069
musique,B-A,3hop2,7,-0.03571428571428571
musique,B-A,4hop1,11,-0.18181818181818182
musique,B-A,4hop2,3,0.16666666666666666
musique,B-A,4hop3,3,-0.2222222222222222
musique,C-B,2hop,52,-0.008333333333333333
musique,C-B,3hop1,24,0.05147058823529412
musique,C-B,3hop2,7,-0.09999999999999999
musique,C-B,4hop1,11,-0.09090909090909091
musique,C-B,4hop2,3,0.3333333333333333
musique,C-B,4hop3,3,0.0
musique,D-C,2hop,52,0.05693708001400309
musique,D-C,3hop1,24,-0.052739385227775326
musique,D-C,3hop2,7,0.15584415584415584
musique,D-C,4hop1,11,0.13636363636363635
musique,D-C,4hop2,3,-0.3333333333333333
musique,D-C,4hop3,3,0.2222222222222222
personamem_v2_128k,B-A,anti_stereotypical_pref,17,0.0
personamem_v2_128k,B-A,ask_to_forget,21,0.0
personamem_v2_128k,B-A,health_and_medical_conditions,11,0.0
personamem_v2_128k,B-A,neutral_preferences,17,0.0
personamem_v2_128k,B-A,sensitive_info,10,-0.1
personamem_v2_128k,B-A,stereotypical_pref,11,-0.09090909090909091
personamem_v2_128k,B-A,therapy_background,13,0.07692307692307693
personamem_v2_128k,C-B,anti_stereotypical_pref,17,0.0
personamem_v2_128k,C-B,ask_to_forget,21,0.0
personamem_v2_128k,C-B,health_and_medical_conditions,11,0.0
personamem_v2_128k,C-B,neutral_preferences,17,0.0
