dataset,cohort,comparison,paired,requested,full_dataset,scope,status,metric,reference_score,score,delta,cluster_ci_low,cluster_ci_high,A_score,delta_vs_A,answer_usd,judge_usd,standalone_shared_fact_setup_usd,answer_plus_setup_usd,total_serving_cost_per_correct,cost_per_correct,correct_basis,changed_contexts,empty_answers
2wikimultihopqa,headline,B-A,100,100,1000,screen,complete,f1,0.571832644763591,0.5805641025641026,0.008731457800511655,,,0.571832644763591,0.008731457800511655,0.5590019999999999,0,0.3431731999999999,0.9021751999999998,0.017022173584905657,0.010547207547169809,exact_match,100,0
2wikimultihopqa,headline,C-B,100,100,1000,screen,complete,f1,0.5805641025641026,0.6088974358974358,0.02833333333333321,,,0.571832644763591,0.037064791133844865,0.5587365,0,0.3431731999999999,0.9019096999999998,0.016105530357142853,0.0099774375,exact_match,40,0
2wikimultihopqa,headline,D-C,100,100,1000,screen,complete,f1,0.6088974358974358,0.5540641025641025,-0.05483333333333329,,,0.571832644763591,-0.017768542199488424,0.5676487499999997,0,0.3431731999999999,0.9108219499999997,0.017859253921568622,0.011130367647058818,exact_match,100,0
beam_100k,headline,B-A,100,100,400,screen,complete,beam_rubric_mean,0.39020833333333327,0.3797083333333333,-0.010499999999999954,-0.0612752557544757,0.0348195030473511,0.39020833333333327,-0.010499999999999954,0.5371499999999999,0.03262489999999999,0.5893937,1.1265437,,,,40,0
beam_100k,headline,C-B,100,100,400,screen,complete,beam_rubric_mean,0.3797083333333333,0.37095833333333333,-0.00874999999999998,-0.0625,0.048324579831932744,0.39020833333333327,-0.019249999999999934,0.5360565,0.032559899999999996,0.5893937,1.1254502,,,,40,0
beam_100k,headline,D-C,100,100,400,screen,complete,beam_rubric_mean,0.37095833333333333,0.381,0.010041666666666671,-0.04357562603354594,0.06029027698480666,0.39020833333333327,-0.009208333333333263,0.5461695000000002,0.032621,0.5893937,1.1355632000000002,,,,99,0
beam_1m,headline,B-A,100,100,700,screen,complete,beam_rubric_mean,0.26666666666666666,0.2756944444444444,0.009027777777777746,-0.020052597990777337,0.0411739777432712,0.26666666666666666,0.009027777777777746,0.540303,0.04369240000000002,0.6658013,1.2061043,,,,43,0
beam_1m,headline,C-B,100,100,700,screen,complete,beam_rubric_mean,0.2756944444444444,0.28075000000000006,0.005055555555555646,-0.02329562991021324,0.029929428111744903,0.26666666666666666,0.014083333333333392,0.5429332499999998,0.043760900000000026,0.6658013,1.20873455,,,,43,0
beam_1m,headline,D-C,100,100,700,screen,complete,beam_rubric_mean,0.28075000000000006,0.28975,0.008999999999999952,-0.02596133025795519,0.04909370199692775,0.26666666666666666,0.023083333333333345,0.5433442500000002,0.043881199999999995,0.6658013,1.2091455500000001,,,,95,0
beam_500k,headline,B-A,100,100,700,screen,complete,beam_rubric_mean,0.26766666666666666,0.247125,-0.020541666666666653,-0.05607946537990196,0.016341851096874385,0.26766666666666666,-0.020541666666666653,0.5443125,0.033153199999999994,0.6474272000000001,1.1917397,,,,50,0
beam_500k,headline,C-B,100,100,700,screen,complete,beam_rubric_mean,0.247125,0.24125,-0.005875000000000019,-0.046817531179138325,0.03376053370786513,0.26766666666666666,-0.02641666666666667,0.5468497500000001,0.03288149999999999,0.6474272000000001,1.1942769500000003,,,,50,0
beam_500k,headline,D-C,100,100,700,screen,complete,beam_rubric_mean,0.24125,0.27391666666666664,0.03266666666666665,-0.014670370370370375,0.08181893189318931,0.26766666666666666,0.006249999999999978,0.5495220000000001,0.03283429999999999,0.6474272000000001,1.1969492000000002,,,,98,0
factconsolidation_mh_262k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.09,0.08,-0.009999999999999995,,,0.09,-0.009999999999999995,0.6175672500000001,0,0.3497642999999997,0.9673315499999998,0.12091644374999998,0.07719590625000002,binary_correct,100,0
factconsolidation_mh_262k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.08,0.08,0.0,,,0.09,-0.009999999999999995,0.6396284999999999,0,0.3497642999999997,0.9893927999999996,0.12367409999999995,0.07995356249999999,binary_correct,100,1
factconsolidation_mh_262k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.08,0.08,0.0,,,0.09,-0.009999999999999995,0.6390194999999999,0,0.3497642999999997,0.9887837999999995,0.12359797499999994,0.07987743749999998,binary_correct,100,0
factconsolidation_mh_32k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.17,0.18,0.009999999999999981,,,0.17,0.009999999999999981,0.59949225,0,0.09509989999999996,0.6945921499999999,0.03858845277777777,0.033305125,binary_correct,100,0
factconsolidation_mh_32k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.18,0.08,-0.09999999999999999,,,0.17,-0.09000000000000001,0.6387817500000001,0,0.09509989999999996,0.73388165,0.09173520625,0.07984771875000002,binary_correct,100,0
factconsolidation_mh_32k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.08,0.25,0.16999999999999998,,,0.17,0.07999999999999999,0.6207675000000001,0,0.09509989999999996,0.7158674,0.028634696,0.024830700000000004,binary_correct,99,1
factconsolidation_mh_64k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.15,0.16,0.010000000000000009,,,0.15,0.010000000000000009,0.6038062499999999,0,0.17488390000000012,0.77869015,0.048668134375,0.03773789062499999,binary_correct,100,0
factconsolidation_mh_64k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.16,0.15,-0.010000000000000009,,,0.15,0.0,0.6323070000000001,0,0.17488390000000012,0.8071909000000002,0.05381272666666668,0.042153800000000005,binary_correct,100,0
factconsolidation_mh_64k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.15,0.16,0.010000000000000009,,,0.15,0.010000000000000009,0.6217155000000003,0,0.17488390000000012,0.7965994000000004,0.049787462500000025,0.03885721875000002,binary_correct,100,0
factconsolidation_mh_6k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.6,0.57,-0.030000000000000027,,,0.6,-0.030000000000000027,0.5678220000000002,0,0.017294200000000003,0.5851162000000002,0.010265196491228073,0.009961789473684214,binary_correct,100,0
factconsolidation_mh_6k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.57,0.55,-0.019999999999999907,,,0.6,-0.04999999999999993,0.5750047499999996,0,0.017294200000000003,0.5922989499999997,0.010769071818181812,0.010454631818181811,binary_correct,100,0
factconsolidation_mh_6k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.55,0.59,0.039999999999999925,,,0.6,-0.010000000000000009,0.56584725,0,0.017294200000000003,0.5831414500000001,0.00988375338983051,0.009590631355932204,binary_correct,100,0
