run,role,status,calls,usd
bcd-B-2wikimultihopqa,answer,done,100,0.559002
bcd-B-beam_100k,answer,done,40,0.217005
bcd-B-beam_100k,judge,done,102,0.008628
bcd-B-beam_1m,answer,done,43,0.230724
bcd-B-beam_1m,judge,done,136,0.013238300000000001
bcd-B-beam_500k,answer,done,50,0.26720775
bcd-B-beam_500k,judge,done,95,0.011932400000000001
bcd-B-factconsolidation_mh_262k,answer,done,100,0.61756725
bcd-B-factconsolidation_mh_32k,answer,done,100,0.59949225
bcd-B-factconsolidation_mh_64k,answer,done,100,0.60380625
bcd-B-factconsolidation_mh_6k,answer,done,100,0.567822
bcd-B-factconsolidation_sh_262k,answer,done,100,0.488529
bcd-B-factconsolidation_sh_32k,answer,done,100,0.45040425
bcd-B-factconsolidation_sh_64k,answer,done,100,0.459882
bcd-B-factconsolidation_sh_6k,answer,done,102,0.45152175
bcd-B-locomo,answer,done,106,0.5984715
bcd-B-locomo,judge,done,57,0.0005746000000000001
bcd-B-longmemeval_oracle,answer,done,81,0.38561025
bcd-B-longmemeval_oracle,judge,done,47,0.0008701
bcd-B-longmemeval_s,answer,done,83,0.425976
bcd-B-longmemeval_s,judge,done,59,0.0010226
bcd-B-multihoprag,answer,done,82,0.45009224999999997
bcd-B-multihoprag,judge,done,46,0.0006553
bcd-B-musique,answer,done,99,0.57966825
bcd-B-personamem_v2_128k,answer,done,63,0.37117275
bcd-B-personamem_v2_32k,answer,done,67,0.39636975
bcd-C-2wikimultihopqa,answer,done,40,0.22523625
bcd-C-beam_100k,answer,done,40,0.2159115
bcd-C-beam_100k,judge,done,93,0.0086154
bcd-C-beam_1m,answer,done,43,0.23335424999999999
bcd-C-beam_1m,judge,done,142,0.012195300000000001
bcd-C-beam_500k,answer,done,50,0.269745
bcd-C-beam_500k,judge,done,93,0.0114339
bcd-C-factconsolidation_mh_262k,answer,done,100,0.6396285
bcd-C-factconsolidation_mh_32k,answer,done,100,0.63878175
bcd-C-factconsolidation_mh_64k,answer,done,100,0.632307
bcd-C-factconsolidation_mh_6k,answer,done,100,0.57500475
bcd-C-factconsolidation_sh_262k,answer,done,100,0.5126175
bcd-C-factconsolidation_sh_32k,answer,done,100,0.4853415
bcd-C-factconsolidation_sh_64k,answer,done,100,0.48118425
bcd-C-factconsolidation_sh_6k,answer,done,102,0.4694565
bcd-C-locomo,answer,done,106,0.60854925
bcd-C-locomo,judge,done,52,0.0005447000000000001
bcd-C-longmemeval_oracle,answer,done,81,0.39918375
bcd-C-longmemeval_oracle,judge,done,41,0.0007117
bcd-C-longmemeval_s,answer,done,83,0.430638
bcd-C-longmemeval_s,judge,done,45,0.0008382
bcd-C-multihoprag,answer,done,82,0.4493535
bcd-C-multihoprag,judge,done,38,0.0005591
bcd-C-musique,answer,done,57,0.3346425
bcd-C-personamem_v2_128k,answer,done,7,0.0415395
bcd-C-personamem_v2_32k,answer,done,5,0.02949525
bcd-D-2wikimultihopqa,answer,done,100,0.56764875
bcd-D-beam_100k,answer,done,107,0.584409
bcd-D-beam_100k,judge,done,319,0.030011100000000002
bcd-D-beam_1m,answer,done,95,0.51791775
bcd-D-beam_1m,judge,done,409,0.033054
bcd-D-beam_500k,answer,done,98,0.53769825
bcd-D-beam_500k,judge,done,287,0.025876100000000003
bcd-D-factconsolidation_mh_262k,answer,done,100,0.6390195
bcd-D-factconsolidation_mh_32k,answer,done,99,0.614256
bcd-D-factconsolidation_mh_64k,answer,done,100,0.6217155
bcd-D-factconsolidation_mh_6k,answer,done,100,0.56584725
bcd-D-factconsolidation_sh_262k,answer,done,99,0.4868025
bcd-D-factconsolidation_sh_32k,answer,done,99,0.454551
bcd-D-factconsolidation_sh_64k,answer,done,100,0.4538955
bcd-D-factconsolidation_sh_6k,answer,done,102,0.460239
bcd-D-locomo,answer,done,110,0.6327075
bcd-D-locomo,judge,done,58,0.0006057
bcd-D-longmemeval_oracle,answer,done,82,0.40909125
bcd-D-longmemeval_oracle,judge,done,44,0.0008119000000000001
bcd-D-longmemeval_s,answer,done,89,0.46719075
bcd-D-longmemeval_s,judge,done,51,0.0009533
bcd-D-multihoprag,answer,done,99,0.5368725
bcd-D-multihoprag,judge,done,45,0.0006599
bcd-D-musique,answer,done,97,0.56859375
bcd-D-personamem_v2_128k,answer,done,84,0.4909005
bcd-D-personamem_v2_32k,answer,done,86,0.5112795
bcd-extract-2wikimultihopqa,extract,done,712,0.3431732
bcd-extract-beam_100k,extract,done,970,0.5893937
bcd-extract-beam_1m,extract,done,1132,0.6658013
bcd-extract-beam_500k,extract,done,1085,0.6474272000000001
bcd-extract-factconsolidation_mh_262k,extract,done,485,0.34976430000000003
bcd-extract-factconsolidation_mh_32k,extract,done,132,0.0950999
bcd-extract-factconsolidation_mh_64k,extract,done,244,0.1748839
bcd-extract-factconsolidation_mh_6k,extract,done,26,0.0172942
bcd-extract-factconsolidation_sh_262k,extract,done,490,0.3545787
bcd-extract-factconsolidation_sh_32k,extract,done,134,0.09590850000000001
bcd-extract-factconsolidation_sh_64k,extract,done,239,0.1699291
bcd-extract-factconsolidation_sh_6k,extract,done,26,0.0176966
bcd-extract-locomo,extract,done,606,0.0921498
bcd-extract-longmemeval_oracle,extract,done,317,0.1609846
bcd-extract-longmemeval_s,extract,done,958,0.46058960000000004
bcd-extract-multihoprag,extract,done,501,0.3982582
bcd-extract-musique,extract,done,739,0.40040580000000003
bcd-extract-personamem_v2_128k,extract,done,818,0.2591234
bcd-extract-personamem_v2_32k,extract,done,827,0.3159284
