dataset,comparison,type,paired,delta
beam_100k,B-A,abstention,1,0.0
beam_100k,B-A,contradiction_resolution,1,0.0
beam_100k,B-A,event_ordering,1,0.0
beam_100k,B-A,information_extraction,1,0.0
beam_100k,B-A,instruction_following,1,0.0
beam_100k,B-A,knowledge_update,1,0.0
beam_100k,B-A,multi_session_reasoning,1,0.0
beam_100k,B-A,preference_following,1,0.0
beam_100k,B-A,summarization,1,0.0
beam_100k,B-A,temporal_reasoning,1,0.0
beam_100k,C-B,abstention,1,0.0
beam_100k,C-B,contradiction_resolution,1,0.0
beam_100k,C-B,event_ordering,1,0.0
beam_100k,C-B,information_extraction,1,0.0
beam_100k,C-B,instruction_following,1,0.0
beam_100k,C-B,knowledge_update,1,1.0
beam_100k,C-B,multi_session_reasoning,1,0.0
beam_100k,C-B,preference_following,1,0.0
beam_100k,C-B,summarization,1,0.0
beam_100k,C-B,temporal_reasoning,1,0.0
beam_100k,D-C,abstention,1,0.0
beam_100k,D-C,contradiction_resolution,1,0.0
beam_100k,D-C,event_ordering,1,0.0
beam_100k,D-C,information_extraction,1,0.0
beam_100k,D-C,instruction_following,1,0.0
beam_100k,D-C,knowledge_update,1,-1.0
beam_100k,D-C,multi_session_reasoning,1,0.0
beam_100k,D-C,preference_following,1,1.0
beam_100k,D-C,summarization,1,0.0
beam_100k,D-C,temporal_reasoning,1,0.0
locomo,B-A,multi_hop,1,0.0
locomo,B-A,open_domain,1,0.0
locomo,B-A,single_hop,4,0.0
locomo,B-A,temporal,2,-0.5
locomo,C-B,multi_hop,1,0.0
locomo,C-B,open_domain,1,0.0
locomo,C-B,single_hop,4,0.0
locomo,C-B,temporal,2,0.0
locomo,D-C,multi_hop,1,-1.0
locomo,D-C,open_domain,1,0.0
locomo,D-C,single_hop,4,0.0
locomo,D-C,temporal,2,0.0
locomo,B-A,adversarial,2,0.0
locomo,C-B,adversarial,2,0.0
locomo,D-C,adversarial,2,0.0
